# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.175
metadata : {}


# id : NWRW1800000046.175.1.1
朴의원, 명품시계 2점·안마의자 1점… 아들·부인, 시계 9점·명품가방 2점

朴의원,	朴/SH+의원/NNG+,/SP
명품시계	명품/NNG+시계/NNG
2점·안마의자	2/SN+점/NNB+·/SP+안마/NNG+의자/NNG
1점…	1/SN+점/NNB+…/SE
아들·부인,	아들/NNG+·/SP+부인/NNG+,/SP
시계	시계/NNG
9점·명품가방	9/SN+점/NNB+·/SP+명품/NNG+가방/NNG
2점	2/SN+점/NNB


# id : NWRW1800000046.175.2.1
檢, 금품수수 내역 공개 명품시계 7개는 돌려줘… 朴의원 "불출마·野탈당"

檢,	檢/SH+,/SP
금품수수	금품/NNG+수수/NNG
내역	내역/NNG
공개	공개/NNG
명품시계	명품/NNG+시계/NNG
7개는	7/SN+개/NNB+는/JX
돌려줘…	돌려주/VV+어/EF+…/SE
朴의원	朴/SH+의원/NNG
"불출마·野탈당"	"/SS+불/XPN+출마/NNG+·/SP+野/SH+탈당/NNG+"/SS


# id : NWRW1800000046.175.3.1
정치자금법 위반 혐의 등으로 구속영장이 청구된 새정치민주연합 박기춘(58·경기 남양주을·사진) 의원과 그의 가족은 분양 대행업자로부터 3000만원이 넘는 시계를 비롯해 명품 시계 총 11점과 명품 가방 2점, 안마 의자 등을 받았던 것으로 나타났다.

정치자금법	정치/NNG+자금법/NNG
위반	위반/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
구속영장이	구속/NNG+영장/NNG+이/JKS
청구된	청구/NNG+되/XSV+ㄴ/ETM
새정치민주연합	새정치민주연합/NNP
박기춘(58·경기	박기춘/NNP+(/SS+58/SN+·/SP+경기/NNP
남양주을·사진)	남양주을/NNP+·/SP+사진/NNG+)/SS
의원과	의원/NNG+과/JC
그의	그/NP+의/JKG
가족은	가족/NNG+은/JX
분양	분양/NNG
대행업자로부터	대행업자/NNG+로부터/JKB
3000만원이	3000/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
시계를	시계/NNG+를/JKO
비롯해	비롯하/VV+아/EC
명품	명품/NNG
시계	시계/NNG
총	총/MMA
11점과	11/SN+점/NNB+과/JC
가방	가방/NNG
2점,	2/SN+점/NNB+,/SP
안마	안마/NNG
의자	의자/NNG
등을	등/NNB+을/JKO
받았던	받/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.4.1
검찰은 10일 서울중앙지법에서 열린 박 의원의 측근 정모(50)씨에 대한 공판에서 그동안 알려지지 않았던 박 의원의 금품수수 내역을 공개했다.

검찰은	검찰/NNG+은/JX
10일	10/SN+일/NNB
서울중앙지법에서	서울중앙지법/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
박	박/NNP
의원의	의원/NNG+의/JKG
