# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.102
metadata : {}


# id : NWRW1800000045.102.1.1
[스마트 컨슈머]건강한 전립선 시원한 소변, 자신감이 살아난다…보령 쏘팔메토

[스마트	[/SS+스마트/NNG
컨슈머]건강한	컨슈머/NNG+]/SS+건강/NNG+하/XSA+ㄴ/ETM
전립선	전립선/NNG
시원한	시원하/VA+ㄴ/ETM
소변,	소변/NNG+,/SP
자신감이	자신감/NNG+이/JKS
살아난다…보령	살아나/VV+ㄴ다/EF+…/SE+보령/NNP
쏘팔메토	쏘팔메토/NNP


# id : NWRW1800000045.102.2.1
남성들이 전립샘(전립선)을 갖고 있는 한 전립샘 질환은 언제든지 그리고 예고 없이 찾아온다.

남성들이	남성/NNG+들/XSN+이/JKS
전립샘(전립선)을	전립샘/NNG+(/SS+전립선/NNG+)/SS+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
한	한/NNG
전립샘	전립샘/NNG
질환은	질환/NNG+은/JX
언제든지	언제/NP+든지/JX
그리고	그리고/MAJ
예고	예고/NNG
없이	없이/MAG
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.102.2.2
전립샘은 남성들에게만 있는 생식기관이다.

전립샘은	전립샘/NNG+은/JX
남성들에게만	남성/NNG+들/XSN+에게/JKB+만/JX
있는	있/VA+는/ETM
생식기관이다.	생식/NNG+기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.102.2.3
호두만 한 크기의 호르몬기관이다.

호두만	호두/NNG+만/JX
한	하/VA+ㄴ/ETM
크기의	크기/NNG+의/JKG
호르몬기관이다.	호르몬/NNG+기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.102.2.4
방광 출구와 요도를 감싸고 있으며, 전립샘 액을 분비해 정액을 만들고 정자를 보호하는 기능을 한다.

방광	방광/NNG
출구와	출구/NNG+와/JC
요도를	요도/NNG+를/JKO
감싸고	감싸/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
전립샘	전립샘/NNG
액을	액/NNG+을/JKO
분비해	분비/NNG+하/XSV+아/EC
정액을	정액/NNG+을/JKO
만들고	만들/VV+고/EC
정자를	정자/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.102.2.5
전립샘은 한번 불편해지면 회복하는 데 오랜 시간이 걸리고 회복하더라도 다시 나빠지기를 반복하는 경우가 많다.

전립샘은	전립샘/NNG+은/JX
한번	한번/MAG
불편해지면	불편/NNG+하/XSA+아/EC+지/VX+면/EC
회복하는	회복/NNG+하/XSV+는/ETM
데	데/NNB
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸리고	걸리/VV+고/EC
회복하더라도	회복/NNG+하/XSV+더라도/EC
다시	다시/MAG
나빠지기를	나쁘/VA+아/EC+지/VX+기/ETN+를/JKO
반복하는	반복/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.102.2.6
쏘팔메토는 국내 최초 전립샘 건강 기능식품 소재로 북아메리카 대서양 해안을 따라 야생화처럼 자라는 작은 야자나무의 일종이다.

쏘팔메토는	쏘팔메토/NNP+는/JX
국내	국내/NNG
최초	최초/NNG
전립샘	전립샘/NNG
건강	건강/NNG
기능식품	기능/NNG+식품/NNG
소재로	소재/NNG+로/JKB
북아메리카	북아메리카/NNP
대서양	대서양/NNP
해안을	해안/NNG+을/JKO
따라	따르/VV+아/EC
야생화처럼	야생화/NNG+처럼/JKB
자라는	자라/VV+는/ETM
작은	작/VA+은/ETM
야자나무의	야자나무/NNG+의/JKG
일종이다.	일종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.102.2.7
수명이 700년이나 되는 쏘팔메토는 가뭄과 해충에 강하고 불에도 거의 파괴되지 않는 강인한 생명력을 가지고 있다.

수명이	수명/NNG+이/JKS
700년이나	700/SN+년/NNB+이나/JX
되는	되/VV+는/ETM
쏘팔메토는	쏘팔메토/NNP+는/JX
가뭄과	가뭄/NNG+과/JC
해충에	해충/NNG+에/JKB
강하고	강하/VA+고/EC
불에도	불/NNG+에/JKB+도/JX
거의	거의/MAG
파괴되지	파괴/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
