# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.254
metadata : {}


# id : NWRW1800000024.254.1.1
‘엘피지 하이브리드차’는 국내용?

‘엘피지	‘/SS+엘피지/NNG
하이브리드차’는	하이브리드/NNG+차/NNG+’/SS+는/JX
국내용?	국내/NNG+용/XSN+?/SF


# id : NWRW1800000024.254.2.1
요즘 자동차산업의 열쇳말은 연비다.

요즘	요즘/NNG
자동차산업의	자동차/NNG+산업/NNG+의/JKG
열쇳말은	열쇳말/NNG+은/JX
연비다.	연비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.2.2
고유가 시대를 맞아 각국 정부가 연비와 친환경 기준을 제시하고 규제에 나서고 있다.

고유가	고/XPN+유가/NNG
시대를	시대/NNG+를/JKO
맞아	맞/VV+아/EC
각국	각국/NNG
정부가	정부/NNG+가/JKS
연비와	연비/NNG+와/JC
친환경	친/XPN+환경/NNG
기준을	기준/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
규제에	규제/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.254.2.3
그래서 두 가지 이상의 동력원을 사용하는 하이브리드 차가 뜨고 있다.

그래서	그래서/MAJ
두	두/MMN
가지	가지/NNB
이상의	이상/NNG+의/JKG
동력원을	동력원/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
하이브리드	하이브리드/NNG
차가	차/NNG+가/JKS
뜨고	뜨/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.254.2.4
하이브리드 차는 고속으로 달릴 때는 석유제품을 사용하고 저속으로 달릴 때는 고속주행 때 충전된 배터리로 가기 때문에 일반 자동차보다 연비가 더 좋아 미래의 자동차로 꼽힌다.

하이브리드	하이브리드/NNG
차는	차/NNG+는/JX
고속으로	고속/NNG+으로/JKB
달릴	달리/VV+ㄹ/ETM
때는	때/NNG+는/JX
석유제품을	석유/NNG+제품/NNG+을/JKO
사용하고	사용/NNG+하/XSV+고/EC
저속으로	저속/NNG+으로/JKB
고속주행	고속/NNG+주행/NNG
때	때/NNG
충전된	충전/NNG+되/XSV+ㄴ/ETM
배터리로	배터리/NNG+로/JKB
가기	가/VV+기/ETN
때문에	때문/NNB+에/JKB
일반	일반/NNG
자동차보다	자동차/NNG+보다/JKB
연비가	연비/NNG+가/JKS
더	더/MAG
좋아	좋/VA+아/EC
미래의	미래/NNG+의/JKG
자동차로	자동차/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.2.5
일본 도요타가 세계 최초의 하이브리드 차인 프리우스를 개발한 이후 현대·기아차를 비롯해 후발 업체들이 개발에 뛰어들었으나 아직 도요타가 선점한 특허의 벽을 넘지 못했다.

일본	일본/NNP
도요타가	도요타/NNP+가/JKS
세계	세계/NNG
최초의	최초/NNG+의/JKG
하이브리드	하이브리드/NNG
차인	차/NNG+이/VCP+ㄴ/ETM
프리우스를	프리우스/NNP+를/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
현대·기아차를	현대/NNP+·/SP+기아차/NNP+를/JKO
비롯해	비롯하/VV+아/EC
후발	후발/NNG
업체들이	업체/NNG+들/XSN+이/JKS
개발에	개발/NNG+에/JKB
뛰어들었으나	뛰어들/VV+었/EP+으나/EC
아직	아직/MAG
선점한	선점/NNG+하/XSV+ㄴ/ETM
특허의	특허/NNG+의/JKG
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.254.3.1
최근 현대차가 하이브리드 차량인 ‘아반떼 엘피아이 하이브리드’를 선보였다.

최근	최근/NNG
현대차가	현대차/NNP+가/JKS
하이브리드	하이브리드/NNG
차량인	차량/NNG+이/VCP+ㄴ/ETM
‘아반떼	‘/SS+아반떼/NNP
엘피아이	엘피아이/NNG
하이브리드’를	하이브리드/NNG+’/SS+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.254.3.2
몇 년 전 개발용 하이브리드 차를 만든 데 이어 비로소 상업화에 성공했다는 평가를 받고 있다.

몇	몇/NR
년	년/NNB
전	전/NNG
개발용	개발/NNG+용/XSN
하이브리드	하이브리드/NNG
차를	차/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
비로소	비로소/MAG
상업화에	상업/NNG+화/XSN+에/JKB
성공했다는	성공/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.254.3.3
그러나 업계에서는 진정한 하이브리드 차로 보기 어렵다는 반론도 나온다.

그러나	그러나/MAJ
업계에서는	업계/NNG+에서/JKB+는/JX
진정한	진정하/VA+ㄴ/ETM
하이브리드	하이브리드/NNG
차로	차/NNG+로/JKB
보기	보/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
반론도	반론/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.3.4
휘발유 엔진에 전기모터를 장착하는 세계적 추세와는 달리 엘피지 하이브리드를 선보였기 때문이다.

휘발유	휘발유/NNG
엔진에	엔진/NNG+에/JKB
전기모터를	전기/NNG+모터/NNG+를/JKO
장착하는	장착/NNG+하/XSV+는/ETM
세계적	세계/NNG+적/XSN
추세와는	추세/NNG+와/JKB+는/JX
달리	달리/MAG
엘피지	엘피지/NNG
하이브리드를	하이브리드/NNG+를/JKO
선보였기	선보이/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.3.5
장애인용이나 영업용으로만 쓸 수 있던 엘피지를 일반 승용차에 사용할 수 있도록 한 것도 ‘변칙’ 행위 아니냐는 지적도 있다.

장애인용이나	장애인/NNG+용/XSN+이나/JC
영업용으로만	영업/NNG+용/XSN+으로/JKB+만/JX
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
엘피지를	엘피지/NNG+를/JKO
일반	일반/NNG
승용차에	승용차/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
것도	것/NNB+도/JX
‘변칙’	‘/SS+변칙/NNG+’/SS
행위	행위/NNG
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.254.3.6
하이브리드 차의 핵심인 연비도 리터당 17.8㎞로 프리우스의 30㎞는 물론 혼다 시빅 하이브리드의 23.2㎞보다 낮다.

하이브리드	하이브리드/NNG
차의	차/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
연비도	연비/NNG+도/JX
리터당	리터/NNG+당/XSN
17.8㎞로	17/SN+./SP+8/SN+㎞/SW+로/JKB
프리우스의	프리우스/NNP+의/JKG
30㎞는	30/SN+㎞/SW+는/JX
물론	물론/MAG
혼다	혼다/NNP
시빅	시빅/NNP
하이브리드의	하이브리드/NNG+의/JKG
23.2㎞보다	23/SN+./SP+2/SN+㎞/SW+보다/JKB
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000024.254.3.7
현대차가 선보인 베르나 디젤(21.0㎞)보다도 떨어진다.

현대차가	현대차/NNP+가/JKS
선보인	선보이/VV+ㄴ/ETM
베르나	베르나/NNP
디젤(21.0㎞)보다도	디젤/NNG+(/SS+21/SN+./SP+0/SN+㎞/SW+)/SS+보다/JKB+도/JX
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.3.8
현대·기아차의 하이브리드 차는 과연 한국에서만 통하는 하이브리드 차인 것일까?

현대·기아차의	현대/NNP+·/SP+기아차/NNP+의/JKG
하이브리드	하이브리드/NNG
차는	차/NNG+는/JX
과연	과연/MAG
한국에서만	한국/NNP+에서/JKB+만/JX
통하는	통하/VV+는/ETM
차인	차/NNG+이/VCP+ㄴ/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000024.254.4.1
■ 연비의 마술은 엘피지의 싼 가격 덕분?=국내에서 엘피지는 세금이 적어 휘발유 값의 절반 정도로 싸다.

■	■/SW
연비의	연비/NNG+의/JKG
마술은	마술/NNG+은/JX
엘피지의	엘피지/NNG+의/JKG
싼	싸/VA+ㄴ/ETM
가격	가격/NNG
덕분?=국내에서	덕분/NNG+?/SF+=/SW+국내/NNG+에서/JKB
엘피지는	엘피지/NNG+는/JX
세금이	세금/NNG+이/JKS
적어	적/VA+어/EC
휘발유	휘발유/NNG
값의	값/NNG+의/JKG
절반	절반/NNG
정도로	정도/NNG+로/JKB
싸다.	싸/VA+다/EF+./SF


# id : NWRW1800000024.254.4.2
대신 장애인이나 국가유공자, 택시, 렌터카, 승합차와 레저용 차, 그리고 최근 정부가 허용한 1000㏄ 이하 경차만 쓸 수 있다.

대신	대신/NNG
장애인이나	장애인/NNG+이나/JC
국가유공자,	국가/NNG+유공자/NNG+,/SP
택시,	택시/NNG+,/SP
렌터카,	렌터카/NNG+,/SP
승합차와	승합차/NNG+와/JC
레저용	레저/NNG+용/XSN
차,	차/NNG+,/SP
그리고	그리고/MAJ
최근	최근/NNG
정부가	정부/NNG+가/JKS
허용한	허용/NNG+하/XSV+ㄴ/ETM
1000㏄	1000/SN+㏄/SW
이하	이하/NNG
경차만	경차/NNG+만/JX
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.254.4.3
따라서 이번에 나온 아반떼 하이브리드와 포르테 하이브리드는 유일하게 엘피지를 쓸 수 있는 일반 승용차다.

따라서	따라서/MAJ
이번에	이번/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
아반떼	아반떼/NNP
하이브리드와	하이브리드/NNG+와/JC
포르테	포르테/NNG
하이브리드는	하이브리드/NNG+는/JX
유일하게	유일/NNG+하/XSA+게/EC
엘피지를	엘피지/NNG+를/JKO
