# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.34
metadata : {}


# id : NWRW1800000030.34.1.1
美 국방부 최악 해킹피해… 기밀파일 2만4000건 유출 •린 국방부 부장관 공개 "외국 정보기관의 소행" 사실상 중국 지목한 듯

美	美/SH
국방부	국방부/NNG
최악	최악/NNG
해킹피해…	해킹/NNG+피해/NNG+…/SE
기밀파일	기밀/NNG+파일/NNG
2만4000건	2/SN+만/NR+4000/SN+건/NNB
유출	유출/NNG
•린	•/SW+린/NNP
부장관	부장관/NNG
공개	공개/NNG
"외국	"/SS+외국/NNG
정보기관의	정보기관/NNG+의/JKG
소행"	소행/NNG+"/SS
사실상	사실/NNG+상/XSN
중국	중국/NNP
지목한	지목/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000030.34.2.1
•린 국방부 부장관 공개 "외국 정보기관의 소행" 사실상 중국 지목한 듯

•린	•/SW+린/NNP
국방부	국방부/NNG
부장관	부장관/NNG
공개	공개/NNG
"외국	"/SS+외국/NNG
정보기관의	정보기관/NNG+의/JKG
소행"	소행/NNG+"/SS
사실상	사실/NNG+상/XSN
중국	중국/NNP
지목한	지목/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000030.34.3.1
미 군수업체가 컴퓨터에 보관 중이던 미군의 무기 시스템 관련 파일 2만4000건이 지난 3월 외국정보기관의 해킹 공격을 받아 도난당했다고 미 국방부가 14일(현지시각) 밝혔다.

미	미/NNP
군수업체가	군수업체/NNG+가/JKS
컴퓨터에	컴퓨터/NNG+에/JKB
보관	보관/NNG
중이던	중/NNB+이/VCP+던/ETM
미군의	미군/NNG+의/JKG
무기	무기/NNG
시스템	시스템/NNG
관련	관련/NNG
파일	파일/NNG
2만4000건이	2/SN+만/NR+4000/SN+건/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
외국정보기관의	외국/NNG+정보기관/NNG+의/JKG
해킹	해킹/NNG
공격을	공격/NNG+을/JKO
받아	받/VV+아/EC
도난당했다고	도난/NNG+당하/XSV+았/EP+다고/EC
국방부가	국방부/NNG+가/JKS
14일(현지시각)	14/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.34.3.2
이는 미 국방부를 상대로 일어난 단일 해킹으로는 사상 최대 규모 중 하나이다.

이는	이/NP+는/JX
미	미/NNP
국방부를	국방부/NNG+를/JKO
상대로	상대/NNG+로/JKB
일어난	일어나/VV+ㄴ/ETM
단일	단일/NNG
해킹으로는	해킹/NNG+으로/JKB+는/JX
사상	사상/NNG
최대	최대/NNG
규모	규모/NNG
중	중/NNB
하나이다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000030.34.4.1
윌리엄 린 국방부 부장관은 이날 미군의 종합적인 사이버안보 전략을 발표하면서 이 같은 사실을 공개했다.

윌리엄	윌리엄/NNP
린	린/NNP
국방부	국방부/NNG
