# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.18
metadata : {}


# id : NWRW1800000045.18.1.1
SKT, 사물인터넷 中시장 공략… 현지 브랜드 ‘롄유’ 선보여

SKT,	SKT/SL+,/SP
사물인터넷	사물/NNG+인터넷/NNG
中시장	中/SH+시장/NNG
공략…	공략/NNG+…/SE
현지	현지/NNG
브랜드	브랜드/NNG
‘롄유’	‘/SS+롄유/NNP+’/SS
선보여	선보이/VV+어/EC


# id : NWRW1800000045.18.2.1
MWC 상하이 2015

MWC	MWC/SL
상하이	상하이/NNP
2015	2015/SN


# id : NWRW1800000045.18.3.1
SK텔레콤이 중국어로 ‘특별한 연결(聯尤·롄유)’이라는 뜻을 가진 스마트 기기 브랜드를 앞세워 중국 시장 공략에 나선다.

SK텔레콤이	SK텔레콤/NNP+이/JKS
중국어로	중국어/NNP+로/JKB
‘특별한	‘/SS+특별/NNG+하/XSA+ㄴ/ETM
연결(聯尤·롄유)’이라는	연결/NNG+(/SS+聯尤/SH+·/SP+롄유/NNP+)/SS+’/SS+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
스마트	스마트/NNG
기기	기기/NNG
브랜드를	브랜드/NNG+를/JKO
앞세워	앞세우/VV+어/EC
중국	중국/NNP
시장	시장/NNG
공략에	공략/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.18.3.2
SK텔레콤이 새 중국어 브랜드까지 만든 것은 모든 것이 연결되는 사물인터넷(IoT) 기기 보급을 통해 IoT 서비스 플랫폼 기업으로 도약하겠다는 의지를 반영한 것이라는 분석이 나온다.

SK텔레콤이	SK텔레콤/NNP+이/JKS
새	새/MMA
중국어	중국어/NNP
브랜드까지	브랜드/NNG+까지/JX
만든	만들/VV+ㄴ/ETM
것은	것/NNB+은/JX
모든	모든/MMN
것이	것/NNB+이/JKS
연결되는	연결/NNG+되/XSV+는/ETM
사물인터넷(IoT)	사물/NNG+인터넷/NNG+(/SS+IoT/SL+)/SS
기기	기기/NNG
보급을	보급/NNG+을/JKO
통해	통하/VV+아/EC
IoT	IoT/SL
서비스	서비스/NNG
플랫폼	플랫폼/NNG
기업으로	기업/NNG+으로/JKB
도약하겠다는	도약/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.18.4.1
SK텔레콤은 15일 중국 상하이(上海)에서 열린 아시아 최대 이동통신 박람회 ‘모바일 월드 콩그레스(MWC) 상하이 2015’에서 중국어 ‘라이프웨어(Lifeware)’ 제품 브랜드인 롄유를 공개했다.

SK텔레콤은	SK텔레콤/NNP+은/JX
15일	15/SN+일/NNB
중국	중국/NNP
상하이(上海)에서	상하이/NNP+(/SS+上海/SH+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
아시아	아시아/NNP
최대	최대/NNG
이동통신	이동/NNG+통신/NNG
박람회	박람회/NNG
‘모바일	‘/SS+모바일/NNG
월드	월드/NNG
콩그레스(MWC)	콩그레스/NNG+(/SS+MWC/SL+)/SS
상하이	상하이/NNP
2015’에서	2015/SN+’/SS+에서/JKB
중국어	중국어/NNP
‘라이프웨어(Lifeware)’	‘/SS+라이프/NNG+웨어/NNG+(/SS+Lifeware/SL+)/SS+’/SS
제품	제품/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
롄유를	롄유/NNP+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.18.4.2
라이프웨어는 일상생활을 뜻하는 라이프(Life)와 하드웨어·소프트웨어의 웨어(Ware)를 합친 신조어로 이용자의 삶에 새로운 가치를 더해 주는 스마트 기기를 뜻한다.

라이프웨어는	라이프/NNG+웨어/NNG+는/JX
일상생활을	일상생활/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
라이프(Life)와	라이프/NNG+(/SS+Life/SL+)/SS+와/JC
하드웨어·소프트웨어의	하드웨어/NNG+·/SP+소프트웨어/NNG+의/JKG
웨어(Ware)를	웨어/NNG+(/SS+Ware/SL+)/SS+를/JKO
합친	합치/VV+ㄴ/ETM
신조어로	신조어/NNG+로/JKB
이용자의	이용자/NNG+의/JKG
삶에	삶/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
주는	주/VX+는/ETM
스마트	스마트/NNG
