# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.182
metadata : {}


# id : NWRW1800000033.182.1.1
[휴지통]“내 아들을 괴롭히다니”… 학교 찾아가 주먹날린 아빠

[휴지통]“내	[/SS+휴지통/NNG+]/SS+“/SS+나/NP+의/JKG
아들을	아들/NNG+을/JKO
괴롭히다니”…	괴롭히/VV+다니/EF+”/SS+…/SE
학교	학교/NNG
찾아가	찾아가/VV+아/EC
주먹날린	주먹/NNG+날리/VV+ㄴ/ETM
아빠	아빠/NNG


# id : NWRW1800000033.182.2.1
중학생 2명 폭행… 뒤늦게 후회

중학생	중학/NNG+생/XSN
2명	2/SN+명/NNB
폭행…	폭행/NNG+…/SE
뒤늦게	뒤늦/VA+게/EC
후회	후회/NNG


# id : NWRW1800000033.182.3.1
“내 아들 괴롭힌 녀석들 당장 나와.”

“내	“/SS+나/NP+의/JKG
아들	아들/NNG
괴롭힌	괴롭히/VV+ㄴ/ETM
녀석들	녀석/NNB+들/XSN
당장	당장/NNG
나와.”	나오/VV+아/EF+./SF+”/SS


# id : NWRW1800000033.182.4.1
22일 오전 8시 반경 대구 수성구의 한 중학교 1학년 2반 교실 앞.

22일	22/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
반경	반/NNG+경/XSN
대구	대구/NNP
수성구의	수성구/NNP+의/JKG
한	한/MMN
중학교	중학교/NNG
1학년	1/SN+학년/NNG
2반	2/SN+반/NNG
교실	교실/NNG
앞.	앞/NNG+./SF


# id : NWRW1800000033.182.4.2
정모 군(13)과 아버지(44)가 교실에 들어가지 않고 복도에 섰다.

정모	정/NNP+모/NP
군(13)과	군/NNB+(/SS+13/SN+)/SS+과/JC
아버지(44)가	아버지/NNG+(/SS+44/SN+)/SS+가/JKS
교실에	교실/NNG+에/JKB
들어가지	들어가/VV+지/EC
않고	않/VX+고/EC
복도에	복도/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.182.4.3
아버지는 상중(喪中)인 담임교사를 대신해 나온 학년 부장교사에게 아들을 괴롭혀 온 조모(13), 허모 군(13)을 따로 봐야겠다고 요청했다.

아버지는	아버지/NNG+는/JX
상중(喪中)인	상중/NNG+(/SS+喪中/SH+)/SS+이/VCP+ㄴ/ETM
담임교사를	담임/NNG+교사/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
나온	나오/VV+ㄴ/ETM
학년	학년/NNG
부장교사에게	부장/NNG+교사/NNG+에게/JKB
아들을	아들/NNG+을/JKO
괴롭혀	괴롭히/VV+어/EC
온	오/VX+ㄴ/ETM
조모(13),	조/NNP+모/NP+(/SS+13/SN+)/SS+,/SP
허모	허/NNP+모/NP
군(13)을	군/NNB+(/SS+13/SN+)/SS+을/JKO
따로	따로/MAG
봐야겠다고	보/VV+아야/EC+하/VX+겠/EP+다고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.182.4.4
얼마 후 이 교사가 두 학생을 데리고 교실을 나서는 순간 정 군의 아버지는 다짜고짜 해당 학생들의 얼굴에 주먹을 날렸다.

얼마	얼마/NNG
후	후/NNG
이	이/NNP
교사가	교사/NNG+가/JKS
두	두/MMN
학생을	학생/NNG+을/JKO
데리고	데리/VV+고/EC
교실을	교실/NNG+을/JKO
나서는	나서/VV+는/ETM
순간	순간/NNG
정	정/NNP
군의	군/NNB+의/JKG
아버지는	아버지/NNG+는/JX
다짜고짜	다짜고짜/MAG
해당	해당/NNG
학생들의	학생/NNG+들/XSN+의/JKG
얼굴에	얼굴/NNG+에/JKB
주먹을	주먹/NNG+을/JKO
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.182.4.5
아버지는 소란을 듣고 달려온 몇몇 교사의 만류로 폭행을 잠시 멈췄다가 10여 분 뒤 다시 학생들에게 주먹을 휘둘렀다.

아버지는	아버지/NNG+는/JX
소란을	소란/NNG+을/JKO
듣고	듣/VV+고/EC
달려온	달려오/VV+ㄴ/ETM
몇몇	몇몇/NR
교사의	교사/NNG+의/JKG
만류로	만류/NNG+로/JKB
폭행을	폭행/NNG+을/JKO
잠시	잠시/MAG
멈췄다가	멈추/VV+었/EP+다가/EC
10여	10/SN+여/XSN
분	분/NNB
뒤	뒤/NNG
다시	다시/MAG
학생들에게	학생/NNG+들/XSN+에게/JKB
주먹을	주먹/NNG+을/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.182.4.6
학생들은 전치 2주의 타박상을 입었다.

학생들은	학생/NNG+들/XSN+은/JX
전치	전치/NNG
2주의	2/SN+주/NNB+의/JKG
타박상을	타박상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.182.4.7
특히 조 군은 정신적 충격으로 병원에 입원했다.

특히	특히/MAG
조	조/NNP
군은	군/NNB+은/JX
정신적	정신/NNG+적/XSN
충격으로	충격/NNG+으로/JKB
병원에	병원/NNG+에/JKB
입원했다.	입원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.182.4.8
아버지는 전날 아들이 지난달부터 조 군 등이 의자를 빼거나 어깨를 툭툭 치는 등 계속 괴롭혀 왔다는 글을 쓴 것을 보고 화가 나서 학교를 찾은 것으로 조사됐다.

아버지는	아버지/NNG+는/JX
전날	전날/NNG
아들이	아들/NNG+이/JKS
지난달부터	지난달/NNG+부터/JX
조	조/NNP
군	군/NNG
등이	등/NNB+이/JKS
의자를	의자/NNG+를/JKO
빼거나	빼/VV+거나/EC
어깨를	어깨/NNG+를/JKO
툭툭	툭툭/MAG
치는	치/VV+는/ETM
등	등/NNB
계속	계속/MAG
괴롭혀	괴롭히/VV+어/EC
왔다는	오/VX+았/EP+다는/ETM
글을	글/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
화가	화/NNG+가/JKS
나서	나/VV+아서/EC
학교를	학교/NNG+를/JKO
찾은	찾/VV+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.182.4.9
