# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.6
metadata : {}


# id : NWRW1800000054.6.1.1
미세먼지 때문에?… 5월 생산·소비 동시에 감소

미세먼지	미세/NNG+먼지/NNG
때문에?…	때문/NNB+에/JKB+?/SF+…/SE
5월	5/SN+월/NNB
생산·소비	생산/NNG+·/SP+소비/NNG
동시에	동시/NNG+에/JKB
감소	감소/NNG


# id : NWRW1800000054.6.2.1
외부 활동 자제하며 소비 줄어… 서비스업 하락세 반전도 영향

외부	외부/NNG
활동	활동/NNG
자제하며	자제/NNG+하/XSV+며/EC
소비	소비/NNG
줄어…	줄/VV+어/EF+…/SE
서비스업	서비스업/NNG
하락세	하락세/NNG
반전도	반전/NNG+도/JX
영향	영향/NNG


# id : NWRW1800000054.6.3.1
꾸준히 상승세를 그리던 경기 지표가 5월에 꺾이는 양상을 보였다.

꾸준히	꾸준히/MAG
상승세를	상승세/NNG+를/JKO
그리던	그리/VV+던/ETM
경기	경기/NNG
지표가	지표/NNG+가/JKS
5월에	5/SN+월/NNB+에/JKB
꺾이는	꺾이/VV+는/ETM
양상을	양상/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.6.3.2
올 들어 처음으로 생산과 소비가 동시에 마이너스를 기록했다.

올	올/NNG
들어	들/VV+어/EC
처음으로	처음/NNG+으로/JKB
생산과	생산/NNG+과/JC
소비가	소비/NNG+가/JKS
동시에	동시/NNG+에/JKB
마이너스를	마이너스/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.3.3
5월 초 황금연휴가 있었지만 미세먼지가 심해 경제 활동이 위축된 탓이 컸던 것으로 분석된다.

5월	5/SN+월/NNB
초	초/NNB
황금연휴가	황금연휴/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
미세먼지가	미세/NNG+먼지/NNG+가/JKS
심해	심하/VA+아/EC
경제	경제/NNG
활동이	활동/NNG+이/JKS
위축된	위축/NNG+되/XSV+ㄴ/ETM
탓이	탓/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.6.4.1
30일 통계청이 내놓은 5월 산업활동 동향을 보면, 소비를 뜻하는 소매 판매는 4월보다 0.9% 감소했다.

30일	30/SN+일/NNB
통계청이	통계청/NNG+이/JKS
내놓은	내놓/VV+은/ETM
5월	5/SN+월/NNB
산업활동	산업/NNG+활동/NNG
동향을	동향/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
소비를	소비/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
소매	소매/NNG
판매는	판매/NNG+는/JX
4월보다	4/SN+월/NNB+보다/JKB
0.9%	0/SN+./SP+9/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.4.2
4월에 0.7% 증가했던 것에 비하면 한풀 꺾였고, -2.1%를 기록한 올해 1월 이후 감소폭이 가장 컸다.

4월에	4/SN+월/NNB+에/JKB
0.7%	0/SN+./SP+7/SN+%/SW
증가했던	증가/NNG+하/XSV+았/EP+던/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
한풀	한풀/MAG
꺾였고,	꺾이/VV+었/EP+고/EC+,/SP
-2.1%를	-/SO+2/SN+./SP+1/SN+%/SW+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
올해	올해/NNG
1월	1/SN+월/NNB
이후	이후/NNG
감소폭이	감소/NNG+폭/NNG+이/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.6.4.3
5월 초 석가탄신일, 어린이날, 대선으로 이어지는 황금연휴가 있었는데도 소비가 뒷걸음질 친 것이다.

5월	5/SN+월/NNB
초	초/NNB
석가탄신일,	석가/NNG+탄신일/NNG+,/SP
어린이날,	어린이날/NNG+,/SP
대선으로	대선/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
황금연휴가	황금연휴/NNG+가/JKS
있었는데도	있/VA+었/EP+는데/EC+도/JX
소비가	소비/NNG+가/JKS
뒷걸음질	뒷걸음/NNG+질/XSN
친	치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.6.4.4
