# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.352
metadata : {}


# id : NWRW1800000030.352.1.1
[호남] 올 광주·전남 경제는 '상승세' 전망

[호남]	[/SS+호남/NNP+]/SS
올	올/NNG
광주·전남	광주/NNP+·/SP+전남/NNP
경제는	경제/NNG+는/JX
'상승세'	'/SS+상승세/NNG+'/SS
전망	전망/NNG


# id : NWRW1800000030.352.2.1
•제조업·수출 증가세… 소비 회복세·고용 개선

•제조업·수출	•/SW+제조업/NNG+·/SP+수출/NNG
증가세…	증가세/NNG+…/SE
소비	소비/NNG
회복세·고용	회복세/NNG+·/SP+고용/NNG
개선	개선/NNG


# id : NWRW1800000030.352.3.1
올해 광주·전남 경제는 전반적으로 '맑다'.

올해	올해/NNG
광주·전남	광주/NNP+·/SP+전남/NNP
경제는	경제/NNG+는/JX
전반적으로	전반/NNG+적/XSN+으로/JKB
'맑다'.	'/SS+맑/VA+다/EF+'/SS+./SF


# id : NWRW1800000030.352.3.2
제조업 생산과 수출 증가세가 유지되고 소비도 회복세를 지속하는 가운데 고용 사정도 점차 개선될 것으로 예상했다.

제조업	제조업/NNG
생산과	생산/NNG+과/JC
수출	수출/NNG
증가세가	증가세/NNG+가/JKS
유지되고	유지/NNG+되/XSV+고/EC
소비도	소비/NNG+도/JX
회복세를	회복세/NNG+를/JKO
지속하는	지속/NNG+하/XSV+는/ETM
가운데	가운데/NNG
고용	고용/NNG
사정도	사정/NNG+도/JX
점차	점차/MAG
개선될	개선/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.352.3.3
한국은행 광주전남본부는 "견조한 상승세"라고 표현했다.

한국은행	한국은행/NNP
광주전남본부는	광주/NNP+전남/NNP+본부/NNG+는/JX
"견조한	"/SS+견조/NNG+하/XSV+ㄴ/ETM
상승세"라고	상승세/NNG+"/SS+라고/JKQ
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.352.4.1
한국은행 광주전남본부는 10일 "올 광주·전남지역 제조업 생산은 조선 등을 제외한 대부분의 주력 업종에서 증가세를 유지하지만, 증가 폭은 그리 높지 않을 것"이라고 전망했다.

한국은행	한국은행/NNP
광주전남본부는	광주/NNP+전남/NNP+본부/NNG+는/JX
10일	10/SN+일/NNB
"올	"/SS+올/NNG
광주·전남지역	광주/NNP+·/SP+전남지역/NNP
제조업	제조업/NNG
생산은	생산/NNG+은/JX
조선	조선/NNG
등을	등/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
대부분의	대/XPN+부분/NNG+의/JKG
주력	주력/NNG
업종에서	업종/NNG+에서/JKB
증가세를	증가세/NNG+를/JKO
유지하지만,	유지/NNG+하/XSV+지만/EC+,/SP
증가	증가/NNG
폭은	폭/NNG+은/JX
그리	그리/MAG
높지	높/VA+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.352.5.1
자동차 부문의 경우 기아자동차 광주공장이 연간 50만대 생산체제를 지난 해 구축, 내수와 수출 호조로 꾸준하게 증가세를 이어갈 것으로 보인다.

