# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.391
metadata : {}


# id : NWRW1800000024.391.1.1
수공, 경인운하 선박 직접확보 나서나

수공,	수공/NNP+,/SP
경인운하	경인운하/NNP
선박	선박/NNG
직접확보	직접/NNG+확보/NNG
나서나	나서/VV+나/EF


# id : NWRW1800000024.391.2.1
경인 아라뱃길(경인운하)이 ‘선박 통행이 없는 거대한 수로’가 될 것이라는 우려가 지속되자, 이 사업을 주관하는 한국수자원공사가 직접 선박을 확보하는 방안을 검토중인 것으로 드러났다.

경인	경인/NNP
아라뱃길(경인운하)이	아라뱃길/NNP+(/SS+경인운하/NNP+)/SS+이/JKS
‘선박	‘/SS+선박/NNG
통행이	통행/NNG+이/JKS
없는	없/VA+는/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
수로’가	수로/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
지속되자,	지속/NNG+되/XSV+자/EC+,/SP
이	이/MMD
사업을	사업/NNG+을/JKO
주관하는	주관/NNG+하/XSV+는/ETM
한국수자원공사가	한국수자원공사/NNP+가/JKS
직접	직접/MAG
선박을	선박/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토중인	검토/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.391.3.1
국회 국토해양위원회 소속 조정식 민주당 의원은 25일 “(경인운하에서 운행할) 선박은 취항선사가 확보하는 게 원칙이지만, 여건상 확보가 어려울 경우 수공에서 확보 대안을 검토”한다는 내용이 담긴 수공의 내부 문건을 <한겨레>에 공개했다.

국회	국회/NNG
국토해양위원회	국토/NNG+해양/NNG+위원회/NNG
소속	소속/NNG
조정식	조정식/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
25일	25/SN+일/NNB
“(경인운하에서	“/SS+(/SS+경인운하/NNP+에서/JKB
운행할)	운행/NNG+하/XSV+ㄹ/ETM+)/SS
선박은	선박/NNG+은/JX
취항선사가	취항/NNG+선사/NNG+가/JKS
확보하는	확보/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
원칙이지만,	원칙/NNG+이/VCP+지만/EC+,/SP
여건상	여건/NNG+상/XSN
확보가	확보/NNG+가/JKS
어려울	어렵/VA+ㄹ/ETM
경우	경우/NNG
수공에서	수공/NNP+에서/JKB
확보	확보/NNG
대안을	대안/NNG+을/JKO
검토”한다는	검토/NNG+”/SS+하/XSV+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
수공의	수공/NNP+의/JKG
내부	내부/NNG
문건을	문건/NNG+을/JKO
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.391.3.2
이 문건은 ‘경인항의 조기 활성화를 위한 컨테이너 선박 확보의 소요시기 파악 및 방안 검토’를 목적으로 지난 7일 수공이 작성한 것이다.

이	이/MMD
문건은	문건/NNG+은/JX
‘경인항의	‘/SS+경인항/NNP+의/JKG
조기	조기/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
컨테이너	컨테이너/NNG
선박	선박/NNG
확보의	확보/NNG+의/JKG
소요시기	소요/NNG+시기/NNG
파악	파악/NNG
및	및/MAG
방안	방안/NNG
검토’를	검토/NNG+’/SS+를/JKO
목적으로	목적/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
수공이	수공/NNP+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.391.4.1
문건은 선박을 확보하기 위한 방안으로 △선박 건조 △기존 컨테이너선 개조 △기존 바다하천겸용선박(R/S선) 구매·용선 등 세 가지를 제시하며, 방안별로 소요되는 기간과 장단점 등을 나열하고 있다.

문건은	문건/NNG+은/JX
선박을	선박/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
△선박	△/SW+선박/NNG
건조	건조/NNG
△기존	△/SW+기존/NNG
컨테이너선	컨테이너선/NNG
개조	개조/NNG
바다하천겸용선박(R/S선)	바다/NNG+하천/NNG+겸용/NNG+선박/NNG+(/SS+R/SL+//SP+S/SL+선/NA+)/SS
구매·용선	구매/NNG+·/SP+용선/NNG
등	등/NNB
세	세/MMN
가지를	가지/NNB+를/JKO
제시하며,	제시/NNG+하/XSV+며/EC+,/SP
방안별로	방안/NNG+별/XSN+로/JKB
소요되는	소요/NNG+되/XSV+는/ETM
기간과	기간/NNG+과/JC
장단점	장단점/NNG
등을	등/NNB+을/JKO
나열하고	나열/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.391.4.2
특히 기존 아르에스선을 구매·용선하는 방안에 대해 “확보 비용이 저렴하고 선박 개조가 불필요하여 즉시 운항이 가능하다”는 이유를 들어 “현실적 대안으로 검토할 필요”가 있다고 문건은 밝혔다.

특히	특히/MAG
기존	기존/NNG
아르에스선을	아르에스선/NNG+을/JKO
구매·용선하는	구매/NNG+·/SP+용선/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
“확보	“/SS+확보/NNG
비용이	비용/NNG+이/JKS
저렴하고	저렴하/VA+고/EC
선박	선박/NNG
개조가	개조/NNG+가/JKS
불필요하여	불/XPN+필요/NNG+하/XSA+아/EC
즉시	즉시/MAG
운항이	운항/NNG+이/JKS
가능하다”는	가능/NNG+하/XSA+다/EF+”/SS+는/ETM
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
