# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.22
metadata : {}


# id : NWRW1800000037.22.1.1
너도나도 “기능성”… 식음료업계, 인증도 안받고 홍보 남발

너도나도	너도나도/MAG
“기능성”…	“/SS+기능/NNG+성/XSN+”/SS+…/SE
식음료업계,	식음료업/NNG+계/XSN+,/SP
인증도	인증/NNG+도/JX
안받고	안/MAG+받/VV+고/EC
홍보	홍보/NNG
남발	남발/NNG


# id : NWRW1800000037.22.2.1
콜라-우유-과일음료 광고에 “마시면 예뻐지고 건강해진다” 특별한 효능 있는 것처럼 표현… 일반식품에 대한 단속기준 미비 소비자들 혼동할 가능성 높아

콜라-우유-과일음료	콜라/NNG+-/SO+우유/NNG+-/SO+과일음료/NNG
광고에	광고/NNG+에/JKB
“마시면	“/SS+마시/VV+면/EC
예뻐지고	예쁘/VA+어/EC+지/VX+고/EC
건강해진다”	건강/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+”/SS
특별한	특별/NNG+하/XSA+ㄴ/ETM
효능	효능/NNG
있는	있/VA+는/ETM
것처럼	것/NNB+처럼/JKB
표현…	표현/NNG+…/SE
일반식품에	일반/NNG+식품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속기준	단속/NNG+기준/NNG
미비	미비/NNG
소비자들	소비자/NNG+들/XSN
혼동할	혼동/NNG+하/XSV+ㄹ/ETM
가능성	가능/NNG+성/XSN
높아	높/VA+아/EF


# id : NWRW1800000037.22.3.1
하이트진로음료는 최근 식이섬유를 넣은 콜라(‘이다 화이버 콜라’)를 내놓았다.

하이트진로음료는	하이트진로음료/NNP+는/JX
최근	최근/NNG
식이섬유를	식이/NNG+섬유/NNG+를/JKO
넣은	넣/VV+은/ETM
콜라(‘이다	콜라/NNG+(/SS+‘/SS+이다/NNP
화이버	화이버/NNP
콜라’)를	콜라/NNG+’/SS+)/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.3.2
업체 측은 500mL 한 병에 식이섬유가 5.3g 들어 있다며 ‘고(高)식이섬유 건강 지향 콜라’와 ‘건강 지향 기능성 음료’라는 문구로 홈페이지에서 제품을 홍보했다.

업체	업체/NNG
측은	측/NNB+은/JX
500mL	500/SN+mL/SW
한	한/MMN
병에	병/NNG+에/JKB
식이섬유가	식이/NNG+섬유/NNG+가/JKS
5.3g	5/SN+./SP+3/SN+g/SW
들어	들/VV+어/EC
있다며	있/VX+다며/EC
