# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.359
metadata : {}


# id : NWRW1800000054.359.1.1
경남 간 유승민 "홍준표, 경남지사 보궐선거 회피는 꼼수"

경남	경남/NNP
간	가/VV+ㄴ/ETM
유승민	유승민/NNP
"홍준표,	"/SS+홍준표/NNP+,/SP
경남지사	경남/NNP+지사/NNG
보궐선거	보궐/NNG+선거/NNG
회피는	회피/NNG+는/JX
꼼수"	꼼수/NNG+"/SS


# id : NWRW1800000054.359.2.1
"조선업 등 지역경제 위기인데 14개월간 道政 공석 돼선 안돼"

"조선업	"/SS+조선업/NNG
등	등/NNB
지역경제	지역/NNG+경제/NNG
위기인데	위기/NNG+이/VCP+ㄴ데/EC
14개월간	14/SN+개월/NNB+간/XSN
道政	道政/SH
공석	공석/NNG
돼선	되/VV+어서/EC+ㄴ/JX
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000054.359.3.1
바른정당 유승민 후보는 6일 경남도지사인 자유한국당 홍준표 후보에 대해 "법의 허점을 악용해서 (경남도지사) 보궐선거가 없도록 하겠다는 것은 굉장히 꼼수"라고 했다.

바른정당	바른정당/NNP
유승민	유승민/NNP
후보는	후보/NNG+는/JX
6일	6/SN+일/NNB
경남도지사인	경남/NNP+도지사/NNG+이/VCP+ㄴ/ETM
자유한국당	자유한국당/NNP
홍준표	홍준표/NNP
후보에	후보/NNG+에/JKB
대해	대하/VV+아/EC
"법의	"/SS+법/NNG+의/JKG
허점을	허점/NNG+을/JKO
악용해서	악용/NNG+하/XSV+아서/EC
(경남도지사)	(/SS+경남/NNP+도지사/NNG+)/SS
보궐선거가	보궐/NNG+선거/NNG+가/JKS
없도록	없/VA+도록/EC
하겠다는	하/VX+겠/EP+다는/ETM
것은	것/NNB+은/JX
굉장히	굉장히/MAG
꼼수"라고	꼼수/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.359.3.2
유 후보는 이날 부산·경남(PK) 지역 1박2일 투어에 앞서 가진 경남도의회 기자회견에서 "경남 경제가 지금 어려운데 저는 경남지사 선거를 오는 5월 9일 대선과 함께 해야 한다는 입장"이라며 이같이 밝혔다.

유	유/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
부산·경남(PK)	부산/NNP+·/SP+경남/NNP+(/SS+PK/SL+)/SS
지역	지역/NNG
1박2일	1/SN+박/NNB+2/SN+일/NNB
투어에	투어/NNG+에/JKB
앞서	앞서/VV+어/EC
가진	가지/VV+ㄴ/ETM
경남도의회	경남도의회/NNP
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"경남	"/SS+경남/NNP
경제가	경제/NNG+가/JKS
지금	지금/MAG
어려운데	어렵/VA+ㄴ데/EC
저는	저/NP+는/JX
경남지사	경남/NNP+지사/NNG
선거를	선거/NNG+를/JKO
오는	오/VV+는/ETM
5월	5/SN+월/NNB
9일	9/SN+일/NNB
대선과	대선/NNG+과/JKB
함께	함께/MAG
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장"이라며	입장/NNG+"/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.359.4.1
유 후보는 "경남이 (그동안) 겪어보지 못한 경제 위기이고, 조선업이 어떻게 되느냐에 따라 마이너스 성장을 할지 모르는데 도정을 책임지는 자리가 14개월간 공석이 돼서는 절대 안 된다"며 "홍 지사가 대통령 선거에 출마하는 본인의 피선거권은 확실히 챙기면서 340만 도민의 참정권·선거권을 행사하지 못하도록 방해해도 되는지 굉장히 유감이며 며칠 남은 기간에 분명히 입장을 정리해달라"고 했다.

유	유/NNP
후보는	후보/NNG+는/JX
"경남이	"/SS+경남/NNP+이/JKS
(그동안)	(/SS+그동안/NNG+)/SS
겪어보지	겪/VV+어/EC+보/VX+지/EC
못한	못하/VX+ㄴ/ETM
경제	경제/NNG
위기이고,	위기/NNG+이/VCP+고/EC+,/SP
조선업이	조선업/NNG+이/JKS
어떻게	어떻/VA+게/EC
되느냐에	되/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
마이너스	마이너스/NNG
성장을	성장/NNG+을/JKO
할지	하/VV+ㄹ지/EF
모르는데	모르/VV+는데/EC
도정을	도정/NNG+을/JKO
책임지는	책임지/VV+는/ETM
자리가	자리/NNG+가/JKS
14개월간	14/SN+개월/NNB+간/XSN
공석이	공석/NNG+이/JKC
돼서는	되/VV+어서/EC+는/JX
절대	절대/MAG
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"홍	"/SS+홍/NNP
지사가	지사/NNG+가/JKS
대통령	대통령/NNG
선거에	선거/NNG+에/JKB
출마하는	출마/NNG+하/XSV+는/ETM
본인의	본인/NNG+의/JKG
피선거권은	피/XPN+선거/NNG+권/XSN+은/JX
확실히	확실히/MAG
챙기면서	챙기/VV+면서/EC
340만	340/SN+만/NR
도민의	도민/NNG+의/JKG
참정권·선거권을	참정/NNG+권/XSN+·/SP+선거/NNG+권/XSN+을/JKO
행사하지	행사/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
방해해도	방해/NNG+하/XSV+아도/EC
되는지	되/VV+는지/EC
굉장히	굉장히/MAG
유감이며	유감/NNG+이/VCP+며/EC
며칠	며칠/NNG
남은	남/VV+은/ETM
기간에	기간/NNG+에/JKB
분명히	분명히/MAG
입장을	입장/NNG+을/JKO
정리해달라"고	정리/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.359.5.1
홍 후보는 예산 낭비 등을 이유로 대선 출마를 위한 공직자 사퇴 시한인 오는 9일 늦게 사퇴하고 10일 선관위에 사퇴를 통보해 경남도지사 보궐선거를 치르지 않도록 하겠다는 입장이다.

홍	홍/NNP
후보는	후보/NNG+는/JX
예산	예산/NNG
낭비	낭비/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
대선	대선/NNG
출마를	출마/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공직자	공직자/NNG
사퇴	사퇴/NNG
시한인	시한/NNG+이/VCP+ㄴ/ETM
오는	오/VV+는/ETM
9일	9/SN+일/NNB
늦게	늦/VA+게/EC
사퇴하고	사퇴/NNG+하/XSV+고/EC
10일	10/SN+일/NNB
선관위에	선관위/NNG+에/JKB
사퇴를	사퇴/NNG+를/JKO
통보해	통보/NNG+하/XSV+아/EC
경남도지사	경남/NNP+도지사/NNG
보궐선거를	보궐/NNG+선거/NNG+를/JKO
치르지	치르/VV+지/EC
않도록	않/VX+도록/EC
하겠다는	하/VX+겠/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.359.5.2
보궐선거가 있으려면 홍 후보가 그 이전에 사퇴해야 한다.

보궐선거가	보궐/NNG+선거/NNG+가/JKS
있으려면	있/VA+으려면/EC
홍	홍/NNP
후보가	후보/NNG+가/JKS
그	그/MMD
이전에	이전/NNG+에/JKB
사퇴해야	사퇴/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.359.6.1
유 후보는 자신의 낮은 지지율에 대해선 "많은 분이 보수의 궤멸을 우려하고 있지만, 지금의 구도가 대선일까지는 가지 않으리라 본다"며 "투표일이 가까워질수록 분명 (지지가) 늘어날 것"이라고 했다.

유	유/NNP
후보는	후보/NNG+는/JX
자신의	자신/NNG+의/JKG
낮은	낮/VA+은/ETM
지지율에	지지/NNG+율/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"많은	"/SS+많/VA+은/ETM
분이	분/NNB+이/JKS
보수의	보수/NNG+의/JKG
궤멸을	궤멸/NNG+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
지금의	지금/NNG+의/JKG
구도가	구도/NNG+가/JKS
대선일까지는	대선일/NNG+까지/JX+는/JX
가지	가/VV+지/EC
않으리라	않/VX+으리라/EF
본다"며	보/VX+ㄴ다/EF+"/SS+며/EC
"투표일이	"/SS+투표일/NNG+이/JKS
가까워질수록	가깝/VA+어/EC+지/VX+ㄹ수록/EC
분명	분명/MAG
(지지가)	(/SS+지지/NNG+가/JKS+)/SS
늘어날	늘어나/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.359.6.2
유 후보는 1박2일간의 PK 행보를 마친 뒤 8일 또다시 대구·경북(TK) 지역 민심 투어에 나선다.

유	유/NNP
후보는	후보/NNG+는/JX
1박2일간의	1/SN+박/NNB+2/SN+일/NNB+간/XSN+의/JKG
PK	PK/SL
행보를	행보/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
8일	8/SN+일/NNB
또다시	또다시/MAG
대구·경북(TK)	대구/NNP+·/SP+경북/NNP+(/SS+TK/SL+)/SS
지역	지역/NNG
민심	민심/NNG
투어에	투어/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


