# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.338
metadata : {}


# id : NWRW1800000037.338.1.1
[안보리 대북제재 결의 이후]軍 “北, 핵공격땐 지구상서 소멸될 것”

[안보리	[/SS+안보리/NNG
대북제재	대북/NNG+제재/NNG
결의	결의/NNG
이후]軍	이후/NNG+]/SS+軍/SH
“北,	“/SS+北/SH+,/SP
핵공격땐	핵/NNG+공격/NNG+때/NNG+ㄴ/JX
지구상서	지구/NNG+상/XSN+서/JKB
소멸될	소멸/NNG+되/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000037.338.2.1
北 김정은 “전면전 준비 완료”… 남북불가침합의도 파기 中 “대북결의 철저 이행” 부처에 공문

北	北/SH
김정은	김정은/NNP
“전면전	“/SS+전면전/NNG
준비	준비/NNG
완료”…	완료/NNG+”/SS+…/SE
남북불가침합의도	남북/NNP+불가침/NNG+합의/NNG+도/JX
파기	파기/NNG
中	中/SH
“대북결의	“/SS+대북/NNG+결의/NNG
철저	철저/NNG
이행”	이행/NNG+”/SS
부처에	부처/NNG+에/JKB
공문	공문/NNG


# id : NWRW1800000037.338.3.1
북한이 유엔 안전보장이사회의 대북제재 결의와 한미연합훈련에 반발해 남북 불가침 합의를 전면 폐기하고 판문점 남북 직통전화를 폐쇄한다고 선언했다.

북한이	북한/NNP+이/JKS
유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
대북제재	대북/NNG+제재/NNG
결의와	결의/NNG+와/JC
한미연합훈련에	한미/NNP+연합/NNG+훈련/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
남북	남북/NNP
불가침	불가침/NNG
합의를	합의/NNG+를/JKO
전면	전면/NNG
폐기하고	폐기/NNG+하/XSV+고/EC
판문점	판문점/NNP
직통전화를	직통/NNG+전화/NNG+를/JKO
폐쇄한다고	폐쇄/NNG+하/XSV+ㄴ다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.4.1
8일 북한의 대남기구인 조국평화통일위원회는 성명에서 키리졸브, 독수리 한미연합군사연습을 ‘침략행위’로 규정하며 “정전협정이 백지화되는 3월 11일부터 북남 사이 불가침에 관한 합의들도 전면 무효화될 것”이라고 선언했다.

8일	8/SN+일/NNB
북한의	북한/NNP+의/JKG
대남기구인	대남/NNG+기구/NNG+이/VCP+ㄴ/ETM
조국평화통일위원회는	조국/NNG+평화/NNG+통일/NNG+위원회/NNG+는/JX
성명에서	성명/NNG+에서/JKB
키리졸브,	키리졸브/NNG+,/SP
독수리	독수리/NNG
한미연합군사연습을	한미/NNP+연합/NNG+군사/NNG+연습/NNG+을/JKO
‘침략행위’로	‘/SS+침략/NNG+행위/NNG+’/SS+로/JKB
규정하며	규정/NNG+하/XSV+며/EC
“정전협정이	“/SS+정전/NNG+협정/NNG+이/JKS
백지화되는	백지/NNG+화/XSN+되/XSV+는/ETM
3월	3/SN+월/NNB
11일부터	11/SN+일/NNB+부터/JX
북남	북남/NNP
사이	사이/NNG
불가침에	불가침/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
합의들도	합의/NNG+들/XSN+도/JX
전면	전면/NNG
무효화될	무효/NNG+화/XSN+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.4.2
또 “적들이 우리의 영토 영공 영해를 한 치라도 침범한다면 즉시 보복타격으로 무자비하게 징벌할 것”이라고 말했다.

또	또/MAG
“적들이	“/SS+적/NNG+들/XSN+이/JKS
우리의	우리/NP+의/JKG
영토	영토/NNG
영공	영공/NNG
영해를	영해/NNG+를/JKO
한	하/VV+ㄴ/ETM
치라도	치/NNB+라도/JX
침범한다면	침범/NNG+하/XSV+ㄴ다면/EC
즉시	즉시/MAG
보복타격으로	보복/NNG+타격/NNG+으로/JKB
무자비하게	무/XPN+자비/NNG+하/XSA+게/EC
징벌할	징벌/NNG+하/XSV+ㄹ/ETM
