# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.84
metadata : {}


# id : NWRW1800000021.84.1.1
“술자리-성접대 강요받았다”

“술자리-성접대	“/SS+술자리/NNG+-/SO+성/NNG+접대/NNG
강요받았다”	강요/NNG+받/XSV+았/EP+다/EF+”/SS


# id : NWRW1800000021.84.2.1
자살한 탤런트 장자연 씨(29)가 전 매니저에게 건넨 문건에 “기획사 관계자로부터 술 접대와 잠자리를 강요받고 폭행까지 당했다”는 내용이 담긴 것으로 알려져 파문이 일고 있다.

자살한	자살/NNG+하/XSV+ㄴ/ETM
탤런트	탤런트/NNG
장자연	장자연/NNP
씨(29)가	씨/NNB+(/SS+29/SN+)/SS+가/JKS
전	전/MMD
매니저에게	매니저/NNG+에게/JKB
건넨	건네/VV+ㄴ/ETM
문건에	문건/NNG+에/JKB
“기획사	“/SS+기획사/NNG
관계자로부터	관계자/NNG+로부터/JKB
술	술/NNG
접대와	접대/NNG+와/JC
잠자리를	잠자리/NNG+를/JKO
강요받고	강요/NNG+받/XSV+고/EC
폭행까지	폭행/NNG+까지/JX
당했다”는	당하/VV+았/EP+다/EF+”/SS+는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
파문이	파문/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.84.3.1
13일 KBS 등 일부 언론 보도에 따르면 장 씨가 숨지기 1주일 전 전 매니저 유모 씨(29)에게 전한 자필 문건에는 연예기획사의 특정 관계자에게서 술 접대와 잠자리를 강요당한 내용이 적나라하게 적혀 있다.

13일	13/SN+일/NNB
KBS	KBS/SL
등	등/NNB
일부	일부/NNG
언론	언론/NNG
보도에	보도/NNG+에/JKB
따르면	따르/VV+면/EC
장	장/NNP
씨가	씨/NNB+가/JKS
숨지기	숨지/VV+기/ETN
1주일	1/SN+주일/NNB
전	전/MMD
매니저	매니저/NNG
유모	유/NNP+모/NP
씨(29)에게	씨/NNB+(/SS+29/SN+)/SS+에게/JKB
전한	전하/VV+ㄴ/ETM
자필	자필/NNG
문건에는	문건/NNG+에/JKB+는/JX
연예기획사의	연예/NNG+기획사/NNG+의/JKG
특정	특정/NNG
관계자에게서	관계자/NNG+에게서/JKB
술	술/NNG
접대와	접대/NNG+와/JC
잠자리를	잠자리/NNG+를/JKO
강요당한	강요/NNG+당하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
적나라하게	적나라하/VA+게/EC
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.84.4.1
