# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.236
metadata : {}


# id : NWRW1800000048.236.1.1
‘해킹 의료사고’ 우려 큰데…정부, 원격의료 확대

‘해킹	‘/SS+해킹/NNG
의료사고’	의료/NNG+사고/NNG+’/SS
우려	우려/NNG
큰데…정부,	크/VA+ㄴ데/EF+…/SE+정부/NNG+,/SP
원격의료	원격/NNG+의료/NNG
확대	확대/NNG


# id : NWRW1800000048.236.2.1
동네의원 등 18곳서 최대 50곳으로

동네의원	동네/NNG+의원/NNG
등	등/NNB
18곳서	18/SN+곳/NNG+서/JKB
최대	최대/NNG
50곳으로	50/SN+곳/NNG+으로/JKB


# id : NWRW1800000048.236.3.1
7월부터 군인·수감자에도 실시 방침

7월부터	7/SN+월/NNB+부터/JX
군인·수감자에도	군인/NNG+·/SP+수감자/NNG+에/JKB+도/JX
실시	실시/NNG
방침	방침/NNG


# id : NWRW1800000048.236.4.1
의협 “원격진료 PC, 해킹에 무방비

의협	의협/NNP
“원격진료	“/SS+원격/NNG+진료/NNG
PC,	PC/SL+,/SP
해킹에	해킹/NNG+에/JKB
무방비	무/XPN+방비/NNG


# id : NWRW1800000048.236.5.1
오진·환자정보 유출 우려…검증부터”

오진·환자정보	오진/NNG+·/SP+환자/NNG+정보/NNG
유출	유출/NNG
우려…검증부터”	우려/NNG+…/SE+검증/NNG+부터/JX+”/SS


# id : NWRW1800000048.236.6.1
의료계의 불참 탓에 정부 홀로 진행하고 있는 원격의료 시범사업이 해킹 피해 등을 당할 위험이 높다는 지적이 있는데도, 정부가 이를 무시하고 원격의료 시범사업을 확대한다는 방침이어서 논란이 커지고 있다.

의료계의	의료/NNG+계/XSN+의/JKG
불참	불참/NNG
탓에	탓/NNG+에/JKB
정부	정부/NNG
홀로	홀로/MAG
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
원격의료	원격/NNG+의료/NNG
시범사업이	시범/NNG+사업/NNG+이/JKS
해킹	해킹/NNG
피해	피해/NNG
등을	등/NNB+을/JKO
당할	당하/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높다는	높/VA+다는/ETM
지적이	지적/NNG+이/JKS
있는데도,	있/VA+는데/EC+도/JX+,/SP
정부가	정부/NNG+가/JKS
이를	이/NP+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
시범사업을	시범/NNG+사업/NNG+을/JKO
확대한다는	확대/NNG+하/XSV+ㄴ다는/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
논란이	논란/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.236.7.1
