# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.210
metadata : {}


# id : NWRW1800000036.210.1.1
‘공황장애’ 기관사 선로 뛰어들어 숨져

‘공황장애’	‘/SS+공황/NNG+장애/NNG+’/SS
기관사	기관사/NNG
선로	선로/NNG
뛰어들어	뛰어들/VV+어/EC
숨져	숨지/VV+어/EF


# id : NWRW1800000036.210.2.1
[한겨레] 전직신청 받아들여지지 않아

[한겨레]	[/SS+한겨레/NNP+]/SS
전직신청	전직/NNG+신청/NNG
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않아	않/VX+아/EF


# id : NWRW1800000036.210.3.1
노조 “무리하게 열차 태운 탓”

노조	노조/NNG
“무리하게	“/SS+무리/NNG+하/XSA+게/EC
열차	열차/NNG
태운	태우/VV+ㄴ/ETM
탓”	탓/NNG+”/SS


# id : NWRW1800000036.210.4.1
공황장애(뚜렷한 이유 없이 갑자기 극도의 두려움과 불안을 느끼는 증상)로 입원 치료를 받았던 기관사가 지하철 운행 근무를 마치고 선로에 몸을 던져 목숨을 끊었다.

공황장애(뚜렷한	공황/NNG+장애/NNG+(/SS+뚜렷하/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
갑자기	갑자기/MAG
극도의	극도/NNG+의/JKG
두려움과	두려움/NNG+과/JC
불안을	불안/NNG+을/JKO
느끼는	느끼/VV+는/ETM
증상)로	증상/NNG+)/SS+로/JKB
입원	입원/NNG
치료를	치료/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
기관사가	기관사/NNG+가/JKS
지하철	지하철/NNG
운행	운행/NNG
근무를	근무/NNG+를/JKO
마치고	마치/VV+고/EC
선로에	선로/NNG+에/JKB
몸을	몸/NNG+을/JKO
던져	던지/VV+어/EC
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.210.4.2
이 기관사는 공황장애로 업무를 계속하기 힘들다며 두 차례나 사무직으로 전직 신청을 했지만 받아들여지지 않아 심적 괴로움을 호소해 온 것으로 알려졌다.

이	이/MMD
기관사는	기관사/NNG+는/JX
공황장애로	공황/NNG+장애/NNG+로/JKB
업무를	업무/NNG+를/JKO
계속하기	계속/NNG+하/XSV+기/ETN
힘들다며	힘들/VA+다며/EC
두	두/MMN
차례나	차례/NNG+나/JX
사무직으로	사무직/NNG+으로/JKB
전직	전직/NNG
신청을	신청/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
