# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.223
metadata : {}


# id : NWRW1800000045.223.1.1
“한국-한국계가 우승 못해야 뉴스”

“한국-한국계가	“/SS+한국/NNP+-/SO+한국/NNP+계/XSN+가/JKS
우승	우승/NNG
못해야	못/MAG+하/VV+아야/EC
뉴스”	뉴스/NNG+”/SS


# id : NWRW1800000045.223.2.1
LPGA 시즌 5연승 압도적 경기력… 투어內경계 분위기도 없어져

LPGA	LPGA/SL
시즌	시즌/NNG
5연승	5/SN+연승/NNG
압도적	압도/NNG+적/XSN
경기력…	경기력/NNG+…/SE
투어內경계	투어/NNG+內/SH+경계/NNG
분위기도	분위기/NNG+도/JX
없어져	없어지/VV+어/EF


# id : NWRW1800000045.223.3.1
한국 여자 골퍼들이 시즌 초반 미국여자프로골프(LPGA)투어를 지배하고 있다.

한국	한국/NNP
여자	여자/NNG
골퍼들이	골퍼/NNG+들/XSN+이/JKS
시즌	시즌/NNG
초반	초반/NNG
미국여자프로골프(LPGA)투어를	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG+를/JKO
지배하고	지배/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.223.3.2
개막 후 5개 대회에서 4승을 합작한 성적표만 보면 마치 한국 투어를 보는 듯하다.

개막	개막/NNG
후	후/NNG
5개	5/SN+개/NNB
대회에서	대회/NNG+에서/JKB
4승을	4/SN+승/NNB+을/JKO
합작한	합작/NNG+하/XSV+ㄴ/ETM
성적표만	성적표/NNG+만/JX
보면	보/VV+면/EC
마치	마치/MAG
한국	한국/NNP
투어를	투어/NNG+를/JKO
보는	보/VV+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000045.223.3.3
지난주 태국에서 열린 혼다 타일랜드에서 만난 한 미국 골프 잡지의 기자는 “한국 선수가 우승을 못해야 뉴스가 되는 것 아니냐”며 뼈 있는 농담을 건넸다.

지난주	지난주/NNG
태국에서	태국/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
혼다	혼다/NNP
타일랜드에서	타일랜드/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
한	한/MMN
미국	미국/NNP
골프	골프/NNG
잡지의	잡지/NNG+의/JKG
기자는	기자/NNG+는/JX
“한국	“/SS+한국/NNP
선수가	선수/NNG+가/JKS
우승을	우승/NNG+을/JKO
못해야	못/MAG+하/VV+아야/EC
뉴스가	뉴스/NNG+가/JKC
되는	되/VV+는/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
뼈	뼈/NNG
있는	있/VA+는/ETM
농담을	농담/NNG+을/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.3.4
리디아 고의 우승을 포함하면 한국(계) 선수의 올 시즌 승률은 100%다.

리디아	리디아/NNP
고의	고/NNP+의/JKG
우승을	우승/NNG+을/JKO
포함하면	포함/NNG+하/XSV+면/EC
한국(계)	한국/NNP+(/SS+계/XSN+)/SS
선수의	선수/NNG+의/JKG
올	올/NNG
시즌	시즌/NNG
승률은	승률/NNG+은/JX
100%다.	100/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000045.223.4.1
지난해 박인비가 6월에 우승 물꼬를 튼 뒤 10승을 합작했던 한국 여자골프가 올 시즌에는 뚜껑을 열자마자 전력 질주 양상이다.

지난해	지난해/NNG
박인비가	박인비/NNP+가/JKS
6월에	6/SN+월/NNB+에/JKB
우승	우승/NNG
물꼬를	물꼬/NNG+를/JKO
튼	틀/VV+ㄴ/ETM
뒤	뒤/NNG
10승을	10/SN+승/NNB+을/JKO
합작했던	합작/NNG+하/XSV+았/EP+던/ETM
한국	한국/NNP
여자골프가	여자/NNG+골프/NNG+가/JKS
올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
뚜껑을	뚜껑/NNG+을/JKO
열자마자	열/VV+자마자/EC
전력	전력/NNG
질주	질주/NNG
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.223.4.2
2006년과 2009년 두 차례 기록한 역대 최다승 11승을 뛰어넘는 건 시간문제처럼 보인다.

2006년과	2006/SN+년/NNB+과/JC
2009년	2009/SN+년/NNB
두	두/MMN
차례	차례/NNG
기록한	기록/NNG+하/XSV+ㄴ/ETM
역대	역대/NNG
최다승	최/XPN+다승/NNG
11승을	11/SN+승/NNB+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
건	거/NNB+ㄴ/JX
시간문제처럼	시간문제/NNG+처럼/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.223.5.1
이 같은 독주는 뛰어난 실력을 지닌 선후배들의 조화가 맞아떨어진 덕분이다.

이	이/NP
같은	같/VA+은/ETM
독주는	독주/NNG+는/JX
뛰어난	뛰어나/VA+ㄴ/ETM
실력을	실력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
선후배들의	선후배/NNG+들/XSN+의/JKG
조화가	조화/NNG+가/JKS
맞아떨어진	맞아떨어지/VV+ㄴ/ETM
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.223.5.2
지난해 무관에 그쳤던 최나연, 양희영은 그 어느 때보다 훈련에 매달리며 페이스를 끌어올렸다.

지난해	지난해/NNG
무관에	무관/NNG+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
최나연,	최나연/NNP+,/SP
양희영은	양희영/NNP+은/JX
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
훈련에	훈련/NNG+에/JKB
매달리며	매달리/VV+며/EC
페이스를	페이스/NNG+를/JKO
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.5.3
박인비 역시 지난해 스테이시 루이스에게 밀려 상금, 올해의 선수 등에서 2위에 머문 뒤 훈련 강도를 높였다.

박인비	박인비/NNP
역시	역시/MAG
지난해	지난해/NNG
스테이시	스테이시/NNP
루이스에게	루이스/NNP+에게/JKB
밀려	밀리/VV+어/EC
상금,	상금/NNG+,/SP
올해의	올해/NNG+의/JKG
선수	선수/NNG
등에서	등/NNB+에서/JKB
2위에	2/SN+위/NNB+에/JKB
머문	머물/VV+ㄴ/ETM
뒤	뒤/NNG
훈련	훈련/NNG
강도를	강도/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.5.4
한국여자프로골프(KLPGA)투어가 한 해 30개 안팎까지 대회를 치를 정도로 성장해 화수분처럼 유망주를 배출한 것도 영향을 미쳤다.

한국여자프로골프(KLPGA)투어가	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS+투어/NNG+가/JKS
한	한/MMN
해	해/NNG
30개	30/SN+개/NNB
안팎까지	안팎/NNG+까지/JX
대회를	대회/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
성장해	성장/NNG+하/XSV+아/EC
화수분처럼	화수분/NNG+처럼/JKB
유망주를	유망주/NNG+를/JKO
배출한	배출/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.5.5
2016년 리우데자네이루 올림픽도 한국 선수들을 채찍질하고 있다.

2016년	2016/SN+년/NNB
리우데자네이루	리우데자네이루/NNP
올림픽도	올림픽/NNG+도/JX
한국	한국/NNP
선수들을	선수/NNG+들/XSN+을/JKO
채찍질하고	채찍/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.223.5.6
올림픽에는 내년 7월 현재 세계 랭킹 15위 이내에 있는 한국 선수 중 최대 4명까지 출전할 수 있다.

올림픽에는	올림픽/NNG+에/JKB+는/JX
내년	내년/NNG
7월	7/SN+월/NNB
현재	현재/MAG
세계	세계/NNG
랭킹	랭킹/NNG
15위	15/SN+위/NNB
이내에	이내/NNG+에/JKB
있는	있/VA+는/ETM
한국	한국/NNP
