# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.84
metadata : {}


# id : NWRW1800000041.84.1.1
[프리미엄뷰]힘내라 대한민국 내 사랑, 대한국인, 신나게 노래해요 자랑스러운 우리 영웅들

[프리미엄뷰]힘내라	[/SS+프리미엄뷰/NNG+]/SS+힘내/VV+어라/EF
대한민국	대한민국/NNP
내	나/NP+의/JKG
사랑,	사랑/NNG+,/SP
대한국인,	대/XPN+한국인/NNG+,/SP
신나게	신나/VV+게/EC
노래해요	노래/NNG+하/XSV+아요/EF
자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
우리	우리/NP
영웅들	영웅/NNG+들/XSN


# id : NWRW1800000041.84.2.1
부제1롯데백화점, 호국의 달 나라사랑 캠페인

부제1롯데백화점,	부제/NNG+1/SN+롯데백화점/NNP+,/SP
호국의	호국/NNG+의/JKG
달	달/NNG
나라사랑	나라/NNG+사랑/NNG
캠페인	캠페인/NNG


# id : NWRW1800000041.84.3.1
부제2태극기·무궁화 사랑, 월드컵 선전 기원

부제2태극기·무궁화	부제/NNG+2/SN+태극기/NNG+·/SP+무궁화/NNG
사랑,	사랑/NNG+,/SP
월드컵	월드컵/NNG
선전	선전/NNG
기원	기원/NNG


# id : NWRW1800000041.84.4.1
롯데백화점은 6월 호국보훈의 달을 맞아 순국선열들을 기리고 유가족께 감사하는 마음으로 국가보훈처와 함께 ‘힘내라 대한민국! 나라사랑 大바자’ 캠페인을 한다.

롯데백화점은	롯데백화점/NNP+은/JX
6월	6/SN+월/NNB
호국보훈의	호국/NNG+보훈/NNG+의/JKG
달을	달/NNG+을/JKO
맞아	맞/VV+아/EC
순국선열들을	순국선열/NNG+들/XSN+을/JKO
기리고	기리/VV+고/EC
유가족께	유가족/NNG+께/JKB
감사하는	감사/NNG+하/XSV+는/ETM
마음으로	마음/NNG+으로/JKB
국가보훈처와	국가/NNG+보훈처/NNG+와/JKB
함께	함께/MAG
‘힘내라	‘/SS+힘내/VV+어라/EF
대한민국!	대한민국/NNP+!/SF
나라사랑	나라/NNG+사랑/NNG
大바자’	大/SH+바자/NNG+’/SS
캠페인을	캠페인/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.84.4.2
이 캠페인은 지난달 29일 서울 중구 남대문로 본점에서 나라를 위해 희생한 군인·경찰 유가족에게 기부금을 전달하는 것으로 시작됐다.

이	이/MMD
캠페인은	캠페인/NNG+은/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
남대문로	남대문로/NNP
본점에서	본점/NNG+에서/JKB
나라를	나라/NNG+를/JKO
위해	위하/VV+아/EC
희생한	희생/NNG+하/XSV+ㄴ/ETM
군인·경찰	군인/NNG+·/SP+경찰/NNG
유가족에게	유가족/NNG+에게/JKB
기부금을	기부금/NNG+을/JKO
전달하는	전달/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.84.4.3
이 행사에는 최완근 국가보훈처 차장, 이원준 롯데백화점 대표이사, 최해근 대한민국전몰군경유족회장, 왕성원 대한민국전몰군경미망인회장, 김용태 의원, 보훈

이	이/MMD
행사에는	행사/NNG+에/JKB+는/JX
최완근	최완근/NNP
국가보훈처	국가/NNG+보훈처/NNG
차장,	차장/NNG+,/SP
이원준	이원준/NNP
롯데백화점	롯데백화점/NNP
대표이사,	대표/NNG+이사/NNG+,/SP
최해근	최해근/NNP
대한민국전몰군경유족회장,	대한민국전몰군경유족회장/NNG+,/SP
왕성원	왕성원/NNP
