# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.36
metadata : {}


# id : NWRW1800000054.36.1.1
교황, 불교 국가 미얀마 연말 첫 방문

교황,	교황/NNG+,/SP
불교	불교/NNG
국가	국가/NNG
미얀마	미얀마/NNP
연말	연말/NNG
첫	첫/MMN
방문	방문/NNG


# id : NWRW1800000054.36.2.1
이슬람 박해 문제 언급할지 주목

이슬람	이슬람/NNG
박해	박해/NNG
문제	문제/NNG
언급할지	언급/NNG+하/XSV+ㄹ지/EF
주목	주목/NNG


# id : NWRW1800000054.36.3.1
프란치스코 교황이 올 연말 미얀마와 방글라데시를 방문하기로 하고 최종 일정을 조율 중이라고 로이터통신 등이 24일(현지 시각) 보도했다.

프란치스코	프란치스코/NNP
교황이	교황/NNG+이/JKS
올	올/NNG
연말	연말/NNG
미얀마와	미얀마/NNP+와/JC
방글라데시를	방글라데시/NNP+를/JKO
방문하기로	방문/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
최종	최종/NNG
일정을	일정/NNG+을/JKO
조율	조율/NNG
중이라고	중/NNB+이/VCP+라고/EC
로이터통신	로이터통신/NNP
등이	등/NNB+이/JKS
24일(현지	24/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.36.3.2
성사가 되면 프란치스코 교황은 불교 국가 미얀마를 방문하는 최초의 교황이 된다.

성사가	성사/NNG+가/JKC
되면	되/VV+면/EC
프란치스코	프란치스코/NNP
교황은	교황/NNG+은/JX
불교	불교/NNG
국가	국가/NNG
미얀마를	미얀마/NNP+를/JKO
방문하는	방문/NNG+하/XSV+는/ETM
최초의	최초/NNG+의/JKG
교황이	교황/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.36.3.3
방글라데시는 1986년 요한 바오로 2세 교황의 방문에 이어 두 번째이다.

방글라데시는	방글라데시/NNP+는/JX
1986년	1986/SN+년/NNB
요한	요한/NNP
바오로	바오로/NNP
2세	2/SN+세/NNB
교황의	교황/NNG+의/JKG
방문에	방문/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째이다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.36.4.1
교황청 관계자는 이 통신에 "프란치스코 교황이 오는 11월 말~12월 초 미얀마와 방글라데시를 방문할 예정"이라며 "바티칸은 8월 말쯤 이를 공식 발표할 것"이라고 말했다.

교황청	교황청/NNG
관계자는	관계자/NNG+는/JX
이	이/MMD
통신에	통신/NNG+에/JKB
"프란치스코	"/SS+프란치스코/NNP
교황이	교황/NNG+이/JKS
오는	오/VV+는/ETM
11월	11/SN+월/NNB
말~12월	말/NNB+~/SO+12/SN+월/NNB
초	초/NNB
미얀마와	미얀마/NNP+와/JC
방글라데시를	방글라데시/NNP+를/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"바티칸은	"/SS+바티칸/NNP+은/JX
8월	8/SN+월/NNB
말쯤	말/NNB+쯤/XSN
이를	이/NP+를/JKO
공식	공식/NNG
