# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.84
metadata : {}


# id : NWRW1800000033.84.1.1
방글라 옷공장 화재 124명 참변

방글라	방글라/NNP
옷공장	옷/NNG+공장/NNG
화재	화재/NNG
124명	124/SN+명/NNB
참변	참변/NNG


# id : NWRW1800000033.84.2.1
방글라데시의 옷 공장에서 불이 나 최소 124명이 죽고 200명가량이 다쳤다.

방글라데시의	방글라데시/NNP+의/JKG
옷	옷/NNG
공장에서	공장/NNG+에서/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
최소	최소/NNG
124명이	124/SN+명/NNB+이/JKS
죽고	죽/VV+고/EC
200명가량이	200/SN+명/NNB+가량/XSN+이/JKS
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.84.2.2
AP 로이터 등 주요 외신에 따르면 방글라데시 수도 다카에서 북쪽으로 30km 떨어져 있는 아슐리아 산업지대의 타즈린 의류 공장에서 24일 오후 화재가 발생했다.

AP	AP/SL
로이터	로이터/NNP
등	등/NNB
주요	주요/NNG
외신에	외신/NNG+에/JKB
따르면	따르/VV+면/EC
방글라데시	방글라데시/NNP
수도	수도/NNG
다카에서	다카/NNP+에서/JKB
북쪽으로	북쪽/NNG+으로/JKB
30km	30/SN+km/SW
떨어져	떨어지/VV+어/EC
있는	있/VA+는/ETM
아슐리아	아슐리아/NNP
산업지대의	산업/NNG+지대/NNG+의/JKG
타즈린	타즈린/NNP
의류	의류/NNG
공장에서	공장/NNG+에서/JKB
24일	24/SN+일/NNB
오후	오후/NNG
화재가	화재/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.84.2.3
9층짜리 의류 공장 빌딩의 1층 창고에서 시작된 불은 빠르게 위층으로 번졌다.

9층짜리	9/SN+층/NNG+짜리/XSN
의류	의류/NNG
공장	공장/NNG
빌딩의	빌딩/NNG+의/JKG
1층	1/SN+층/NNG
창고에서	창고/NNG+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
불은	불/NNG+은/JX
빠르게	빠르/VA+게/EC
위층으로	위층/NNG+으로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.84.2.4
미처 불길을 피하지 못한 공장 인부들은 화염 속에 갇혔고 일부는 창문 밖으로 뛰어내리다 큰 부상을 당했다.

미처	미처/MAG
불길을	불길/NNG+을/JKO
피하지	피하/VV+지/EC
못한	못하/VX+ㄴ/ETM
공장	공장/NNG
인부들은	인부/NNG+들/XSN+은/JX
화염	화염/NNG
속에	속/NNG+에/JKB
갇혔고	갇히/VV+었/EP+고/EC
일부는	일부/NNG+는/JX
창문	창문/NNG
밖으로	밖/NNG+으로/JKB
뛰어내리다	뛰어내리/VV+다/EC
큰	크/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.84.2.5
화재 발생 당시 공장에는 약 2000명의 인부가 작업하고 있었다.

화재	화재/NNG
발생	발생/NNG
당시	당시/NNG
공장에는	공장/NNG+에/JKB+는/JX
약	약/MMA
2000명의	2000/SN+명/NNB+의/JKG
인부가	인부/NNG+가/JKS
작업하고	작업/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.84.2.6
소방당국은 군인 및 경찰까지 동원해 진화에 나섰지만 공장 내부가 천과 실로 가득 차 있어 불길을 잡는 데 어려움을 겪었다.

소방당국은	소방/NNG+당국/NNG+은/JX
군인	군인/NNG
및	및/MAG
경찰까지	경찰/NNG+까지/JX
동원해	동원/NNG+하/XSV+아/EC
진화에	진화/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
공장	공장/NNG
내부가	내부/NNG+가/JKS
천과	천/NNG+과/JC
실로	실/NNG+로/JKB
가득	가득/MAG
차	차/VV+아/EC
있어	있/VX+어/EC
불길을	불길/NNG+을/JKO
잡는	잡/VV+는/ETM
데	데/NNB
어려움을	어려움/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.84.2.7
불길은 5시간 만에 잡혔지만 당국은 사망자가 더 늘어날 것이라고 발표했다.

불길은	불길/NNG+은/JX
5시간	5/SN+시간/NNB
만에	만/NNB+에/JKB
잡혔지만	잡히/VV+었/EP+지만/EC
당국은	당국/NNG+은/JX
사망자가	사망자/NNG+가/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.84.3.1
대규모 사상자를 낸 이번 참사는 대표적인 ‘인재’로 기록될 것으로 전망된다.

대규모	대/XPN+규모/NNG
사상자를	사상자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
이번	이번/NNG
참사는	참사/NNG+는/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘인재’로	‘/SS+인재/NNG+’/SS+로/JKB
기록될	기록/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.84.3.2
이번 화재의 정확한 원인은 아직 밝혀지지 않았지만 주요 외신은 방글라데시 의류 공장 대부분이 안전 기준을 지키지 않은 채 가동되고 있다고 지적했다.

이번	이번/NNG
화재의	화재/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
원인은	원인/NNG+은/JX
아직	아직/MAG
밝혀지지	밝혀지/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
주요	주요/NNG
외신은	외신/NNG+은/JX
방글라데시	방글라데시/NNP
의류	의류/NNG
공장	공장/NNG
대부분이	대/XPN+부분/NNG+이/JKS
안전	안전/NNG
기준을	기준/NNG+을/JKO
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
가동되고	가동/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
