# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.78
metadata : {}


# id : NWRW1800000044.78.1.1
우크라 남부서도 유혈사태…46명 숨져

우크라	우크라/NNP
남부서도	남부/NNG+서/JKB+도/JX
유혈사태…46명	유혈/NNG+사태/NNG+…/SE+46/SN+명/NNB
숨져	숨지/VV+어/EF


# id : NWRW1800000044.78.2.1
[한겨레] 오데사서 친러-친정부세력 충돌

[한겨레]	[/SS+한겨레/NNP+]/SS
오데사서	오데사/NNP+서/JKB
친러-친정부세력	친/XPN+러/NNP+-/SO+친/XPN+정부/NNG+세력/NNG
충돌	충돌/NNG


# id : NWRW1800000044.78.3.1
친러, 경찰청 습격해 시위자 석방도

친러,	친/XPN+러/NNP+,/SP
경찰청	경찰청/NNG
습격해	습격/NNG+하/XSV+아/EC
시위자	시위자/NNG
석방도	석방/NNG+도/JX


# id : NWRW1800000044.78.4.1
동부도 충돌 지속…미·러는 입씨름만

동부도	동부/NNG+도/JX
충돌	충돌/NNG
지속…미·러는	지속/NNG+…/SE+미/NNP+·/SP+러/NNP+는/JX
입씨름만	입씨름/NNG+만/JX


# id : NWRW1800000044.78.5.1
우크라이나 과도정부와 친러시아 분리주의 세력 간 충돌 사태가 동부를 넘어 남부 지역으로 확산하고 있다.

우크라이나	우크라이나/NNP
과도정부와	과도/NNG+정부/NNG+와/JC
친러시아	친/XPN+러시아/NNP
분리주의	분리주의/NNG
세력	세력/NNG
간	간/NNB
충돌	충돌/NNG
사태가	사태/NNG+가/JKS
동부를	동부/NNG+를/JKO
넘어	넘/VV+어/EC
남부	남부/NNG
지역으로	지역/NNG+으로/JKB
확산하고	확산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.78.5.2
러시아는 제네바 합의는 사망했다고 선언했고, 미국은 충돌이 격화하면 러시아에 대한 추가제재에 나서겠다고 으름장을 놨다.

러시아는	러시아/NNP+는/JX
제네바	제네바/NNP
합의는	합의/NNG+는/JX
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
선언했고,	선언/NNG+하/XSV+았/EP+고/EC+,/SP
미국은	미국/NNP+은/JX
충돌이	충돌/NNG+이/JKS
격화하면	격화/NNG+하/XSV+면/EC
러시아에	러시아/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
추가제재에	추가/NNG+제재/NNG+에/JKB
나서겠다고	나서/VV+겠/EP+다고/EC
으름장을	으름장/NNG+을/JKO
놨다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.6.1
지난 2일 우크라이나 남부 중심도시인 오데사에서 과도정부 지지자들과 분리주의 지지자들 사이에 대규모 유혈 충돌이 벌어졌다.

지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
우크라이나	우크라이나/NNP
남부	남부/NNG
중심도시인	중심/NNG+도시/NNG+이/VCP+ㄴ/ETM
오데사에서	오데사/NNP+에서/JKB
과도정부	과도/NNG+정부/NNG
지지자들과	지지자/NNG+들/XSN+과/JC
분리주의	분리주의/NNG
지지자들	지지자/NNG+들/XSN
사이에	사이/NNG+에/JKB
대규모	대/XPN+규모/NNG
유혈	유혈/NNG
충돌이	충돌/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.6.2
두 세력은 각각 국가 통합과 연방제 채택을 위한 주민투표 실시 등을 주장하며 별도의 시위를 벌이다 시내 중심부의 쿨리코보 폴례 광장에서 돌과 화염병 등을 던지며 격렬하게 맞붙었다.

두	두/MMN
세력은	세력/NNG+은/JX
각각	각각/MAG
국가	국가/NNG
통합과	통합/NNG+과/JC
연방제	연방/NNG+제/XSN
채택을	채택/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주민투표	주민/NNG+투표/NNG
실시	실시/NNG
등을	등/NNB+을/JKO
주장하며	주장/NNG+하/XSV+며/EC
별도의	별도/NNG+의/JKG
시위를	시위/NNG+를/JKO
벌이다	벌이/VV+다/EC
시내	시내/NNG
중심부의	중심부/NNG+의/JKG
쿨리코보	쿨리코보/NNP
폴례	폴례/NNP
광장에서	광장/NNG+에서/JKB
돌과	돌/NNG+과/JC
화염병	화염병/NNG
던지며	던지/VV+며/EC
격렬하게	격렬하/VA+게/EC
맞붙었다.	맞붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.6.3
여기서 밀린 분리주의 지지자들이 광장 인근의 노조 건물로 후퇴하자, 중앙정부 지지자들이 화염병을 건물로 던져 불이 나 분리주의 지지자 수십명이 숨졌다.

여기서	여기/NP+서/JKB
밀린	밀리/VV+ㄴ/ETM
분리주의	분리주의/NNG
지지자들이	지지자/NNG+들/XSN+이/JKS
광장	광장/NNG
인근의	인근/NNG+의/JKG
노조	노조/NNG
건물로	건물/NNG+로/JKB
후퇴하자,	후퇴/NNG+하/XSV+자/EC+,/SP
중앙정부	중앙/NNG+정부/NNG
화염병을	화염병/NNG+을/JKO
던져	던지/VV+어/EC
불이	불/NNG+이/JKS
나	나/VV+아/EC
지지자	지지자/NNG
수십명이	수십/NR+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.7.1
건물이 불탈 때 과도정부 지지자들은 우크라이나 국가를 부르거나, 분리주의 지지자들을 ‘감자잎해충’에 빗대 “해충을 불태우라”고 외치며 조롱을 보냈다고 <뉴욕 타임스>가 목격자들의 말을 따 전했다.

건물이	건물/NNG+이/JKS
불탈	불타/VV+ㄹ/ETM
때	때/NNG
과도정부	과도/NNG+정부/NNG
지지자들은	지지자/NNG+들/XSN+은/JX
우크라이나	우크라이나/NNP
국가를	국가/NNG+를/JKO
부르거나,	부르/VV+거나/EC+,/SP
분리주의	분리주의/NNG
지지자들을	지지자/NNG+들/XSN+을/JKO
‘감자잎해충’에	‘/SS+감자/NNG+잎/NNG+해충/NNG+’/SS+에/JKB
빗대	빗대/VV+어/EC
“해충을	“/SS+해충/NNG+을/JKO
불태우라”고	불태우/VV+라/EF+”/SS+고/JKQ
외치며	외치/VV+며/EC
조롱을	조롱/NNG+을/JKO
보냈다고	보내/VV+었/EP+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
목격자들의	목격자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
따	따/VV+아/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.7.2
이날 충돌에 참가한 과도정부 지지자들은 주로 프로축구 클럽 팬들과 우크라이나계 극우단체인 ‘프라비 섹토르’ 회원들이다.

이날	이날/NNG
충돌에	충돌/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
과도정부	과도/NNG+정부/NNG
지지자들은	지지자/NNG+들/XSN+은/JX
주로	주로/MAG
프로축구	프로/NNG+축구/NNG
클럽	클럽/NNG
팬들과	팬/NNG+들/XSN+과/JC
우크라이나계	우크라이나/NNP+계/XSN
극우단체인	극우/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘프라비	‘/SS+프라비/NNP
섹토르’	섹토르/NNP+’/SS
회원들이다.	회원/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.78.7.3
현지 수사당국은 이날 46명이 사망하고 200여명이 부상했다고 밝혔다.

현지	현지/NNG
수사당국은	수사/NNG+당국/NNG+은/JX
이날	이날/NNG
46명이	46/SN+명/NNB+이/JKS
사망하고	사망/NNG+하/XSV+고/EC
200여명이	200/SN+여/XSN+명/NNB+이/JKS
부상했다고	부상/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.8.1
이틀 만인 4일엔 분리주의 세력이 대규모 항의 시위에 나섰다.

이틀	이틀/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
4일엔	4/SN+일/NNB+에/JKB+ㄴ/JX
분리주의	분리주의/NNG
세력이	세력/NNG+이/JKS
대규모	대/XPN+규모/NNG
항의	항의/NNG
시위에	시위/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.8.2
1000여명의 시위대가 오데사 경찰청 건물을 둘러싼 뒤 창문을 깨고 정문 진입을 시도하자, 경찰은 2일 충돌 과정에서 체포했던 분리주의 지지자 67명을 석방했다.
