# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.119
metadata : {}


# id : NWRW1800000041.119.1.1
“대본 본 순간 ‘이거다’ 느낌이 팍팍… 홈즈랑 함께 늙어가야죠”

“대본	“/SS+대본/NNG
본	보/VV+ㄴ/ETM
순간	순간/NNG
‘이거다’	‘/SS+이거/NP+이/VCP+다/EF+’/SS
느낌이	느낌/NNG+이/JKS
팍팍…	팍팍/MAG+…/SE
홈즈랑	홈즈/NNP+랑/JKB
함께	함께/MAG
늙어가야죠”	늙/VV+어/EC+가/VX+아야지/EF+요/JX+”/SS


# id : NWRW1800000041.119.2.1
3월 개막 창작뮤지컬 ‘셜록홈즈2’ 주연맡은 송용진

3월	3/SN+월/NNB
개막	개막/NNG
창작뮤지컬	창작/NNG+뮤지컬/NNG
‘셜록홈즈2’	‘/SS+셜록홈즈/NNP+2/SN+’/SS
주연맡은	주연/NNG+맡/VV+은/ETM
송용진	송용진/NNP


# id : NWRW1800000041.119.3.1
“‘셜록홈즈2’는 노래를 부르기가 정말 어려워요.

“‘셜록홈즈2’는	“/SS+‘/SS+셜록홈즈/NNP+2/SN+’/SS+는/JX
노래를	노래/NNG+를/JKO
부르기가	부르/VV+기/ETN+가/JKS
정말	정말/MAG
어려워요.	어렵/VA+어요/EF+./SF


# id : NWRW1800000041.119.3.2
하지만 들으면 전율하실 거예요.

하지만	하지만/MAJ
들으면	듣/VV+으면/EC
전율하실	전율/NNG+하/XSV+시/EP+ㄹ/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000041.119.3.3
홈즈가 살인마 잭과 대결하는 과정에서 바닥까지 무너질 정도로, 이야기도 스릴 넘치고요.”

홈즈가	홈즈/NNP+가/JKS
살인마	살인마/NNG
잭과	잭/NNP+과/JKB
대결하는	대결/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
바닥까지	바닥/NNG+까지/JX
무너질	무너지/VV+ㄹ/ETM
정도로,	정도/NNG+로/JKB+,/SP
이야기도	이야기/NNG+도/JX
스릴	스릴/NNG
넘치고요.”	넘치/VV+고/EC+요/JX+./SF+”/SS


# id : NWRW1800000041.119.4.1
21일 만난 송용진(38)은 약간 흥분해 있었다.

21일	21/SN+일/NNB
만난	만나/VV+ㄴ/ETM
송용진(38)은	송용진/NNP+(/SS+38/SN+)/SS+은/JX
약간	약간/MAG
흥분해	흥분/NNG+하/XSV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.119.4.2
그는 “어제 런스루(run-through·처음부터 끝까지 실제 공연처럼 하는 연습)를 했는데 정말 대단했다”며 목소리가 높아졌다.

그는	그/NP+는/JX
“어제	“/SS+어제/MAG
런스루(run-through·처음부터	런/NNG+스루/NNG+(/SS+run/SL+-/SO+through/SL+·/SP+처음/NNG+부터/JX
끝까지	끝/NNG+까지/JX
실제	실제/NNG
공연처럼	공연/NNG+처럼/JKB
하는	하/VV+는/ETM
연습)를	연습/NNG+)/SS+를/JKO
했는데	하/VV+았/EP+는데/EC
정말	정말/MAG
대단했다”며	대단하/VA+았/EP+다/EF+”/SS+며/EC
목소리가	목소리/NNG+가/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.119.5.1
그가 홈즈로 돌아왔다.

그가	그/NP+가/JKS
홈즈로	홈즈/NNP+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.5.2
3월 1일 막을 올리는 창작뮤지컬 ‘셜록홈즈2-블러디게임’(김은정 극본 노우성 연출)에서 송용진은 김도현과 함께 홈즈로 캐스팅돼 연쇄살인범 잭 더 리퍼와 숨 막히는 대결을 벌인다.

3월	3/SN+월/NNB
1일	1/SN+일/NNB
막을	막/NNG+을/JKO
올리는	올리/VV+는/ETM
창작뮤지컬	창작/NNG+뮤지컬/NNG
‘셜록홈즈2-블러디게임’(김은정	‘/SS+셜록홈즈/NNP+2/SN+-/SO+블러디게임/NNP+’/SS+(/SS+김은정/NNP
극본	극본/NNG
노우성	노우성/NNP
연출)에서	연출/NNG+)/SS+에서/JKB
송용진은	송용진/NNP+은/JX
김도현과	김도현/NNP+과/JKB
함께	함께/MAG
홈즈로	홈즈/NNP+로/JKB
캐스팅돼	캐스팅/NNG+되/XSV+어/EC
연쇄살인범	연쇄/NNG+살인범/NNG
잭	잭/NNP
더	더/NNP
리퍼와	리퍼/NNP+와/JKB
숨	숨/NNG
막히는	막히/VV+는/ETM
대결을	대결/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.119.5.3
‘셜록홈즈’는 코넌 도일의 소설에서 캐릭터만 가져왔을 뿐 극 내용은 새로 썼다.

‘셜록홈즈’는	‘/SS+셜록홈즈/NNP+’/SS+는/JX
코넌	코넌/NNP
도일의	도일/NNP+의/JKG
소설에서	소설/NNG+에서/JKB
캐릭터만	캐릭터/NNG+만/JX
가져왔을	가져오/VV+았/EP+을/ETM
뿐	뿐/NNB
극	극/NNG
내용은	내용/NNG+은/JX
새로	새로/MAG
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.119.6.1
송용진은 2011년 초연된 ‘셜록홈즈1-앤더슨가의 비밀’에서 괴짜지만 사건을 맡으면 더없이 진지해지는 홈즈를 실감나게 표현했다.

송용진은	송용진/NNP+은/JX
2011년	2011/SN+년/NNB
초연된	초연/NNG+되/XSV+ㄴ/ETM
‘셜록홈즈1-앤더슨가의	‘/SS+셜록홈즈/NNP+1/SN+-/SO+앤더슨가/NNG+의/JKG
비밀’에서	비밀/NNG+’/SS+에서/JKB
괴짜지만	괴짜/NNG+이/VCP+지만/EC
사건을	사건/NNG+을/JKO
맡으면	맡/VV+으면/EC
더없이	더없이/MAG
진지해지는	진지하/VA+아/EC+지/VX+는/ETM
홈즈를	홈즈/NNP+를/JKO
실감나게	실감/NNG+나/VV+게/EC
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.6.2
그는 ‘셜록홈즈1’을 할 때부터 2, 3편 때도 홈즈를 맡겠다고 선언했다.

그는	그/NP+는/JX
‘셜록홈즈1’을	‘/SS+셜록홈즈/NNP+1/SN+’/SS+을/JKO
할	하/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
2,	2/SN+,/SP
3편	3/SN+편/NNB
때도	때/NNG+도/JX
홈즈를	홈즈/NNP+를/JKO
맡겠다고	맡/VV+겠/EP+다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.7.1
“처음 ‘셜록홈즈’를 창작뮤지컬로 만든다는 말을 들었을 땐 심드렁했어요.

“처음	“/SS+처음/NNG
‘셜록홈즈’를	‘/SS+셜록홈즈/NNP+’/SS+를/JKO
창작뮤지컬로	창작/NNG+뮤지컬/NNG+로/JKB
만든다는	만들/VV+ㄴ다는/ETM
말을	말/NNG+을/JKO
들었을	듣/VV+었/EP+을/ETM
땐	때/NNG+ㄴ/JX
심드렁했어요.	심드렁하/VA+았/EP+어요/EF+./SF


# id : NWRW1800000041.119.7.2
영국 사람들이 춘향전을 만드는 거랑 비슷하잖아요.

영국	영국/NNP
사람들이	사람/NNG+들/XSN+이/JKS
춘향전을	춘향전/NNP+을/JKO
만드는	만들/VV+는/ETM
거랑	거/NNB+랑/JKB
비슷하잖아요.	비슷하/VA+잖아/EF+요/JX+./SF


# id : NWRW1800000041.119.7.3
그런데 대본을 본 순간 빨려 들어갔어요.

그런데	그런데/MAJ
대본을	대본/NNG+을/JKO
본	보/VV+ㄴ/ETM
순간	순간/NNG
빨려	빨리/VV+어/EC
들어갔어요.	들어가/VV+았/EP+어요/EF+./SF


# id : NWRW1800000041.119.7.4
‘이거다!’ 싶은 느낌이 팍팍 오더라고요.”

‘이거다!’	‘/SS+이거/NP+이/VCP+다/EF+!/SF+’/SS
싶은	싶/VX+은/ETM
느낌이	느낌/NNG+이/JKS
팍팍	팍팍/MAG
오더라고요.”	오/VV+더라고/EF+요/JX+./SF+”/SS


# id : NWRW1800000041.119.8.1
‘셜록홈즈1’은 2011년 공연을 시작한 지 이틀 만에 매진 행렬을 이어갔다.

‘셜록홈즈1’은	‘/SS+셜록홈즈/NNP+1/SN+’/SS+은/JX
2011년	2011/SN+년/NNB
공연을	공연/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
이틀	이틀/NNG
만에	만/NNB+에/JKB
매진	매진/NNG
행렬을	행렬/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.119.8.2
작은 단서를 이용해 사건의 매듭을 하나씩 풀어나가며 빠르게 전개되는 이야기, 귀에 꽂히는 강렬한 음악으로 관객들을 사로잡은 것.

작은	작/VA+은/ETM
단서를	단서/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
사건의	사건/NNG+의/JKG
매듭을	매듭/NNG+을/JKO
하나씩	하나/NR+씩/XSN
풀어나가며	풀/VV+어/EC+나가/VX+며/EC
빠르게	빠르/VA+게/EC
전개되는	전개/NNG+되/XSV+는/ETM
이야기,	이야기/NNG+,/SP
귀에	귀/NNG+에/JKB
꽂히는	꽂히/VV+는/ETM
강렬한	강렬하/VA+ㄴ/ETM
음악으로	음악/NNG+으로/JKB
관객들을	관객/NNG+들/XSN+을/JKO
사로잡은	사로잡/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.119.8.3
그는 “‘셜록홈즈2’도 라이선스 작품과 붙어도 절대 밀리지 않을 정도로 자신 있다”고 힘주어 말했다.

그는	그/NP+는/JX
“‘셜록홈즈2’도	“/SS+‘/SS+셜록홈즈/NNP+2/SN+’/SS+도/JX
라이선스	라이선스/NNG
작품과	작품/NNG+과/JKB
붙어도	붙/VV+어도/EC
절대	절대/MAG
밀리지	밀리/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
자신	자신/NNG
있다”고	있/VA+다/EF+”/SS+고/JKQ
힘주어	힘주/VV+어/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.9.1
송용진은 ‘셜록홈즈1’을 비롯해 뮤지컬 ‘헤드윅’ ‘구텐버그’, 연극 ‘나쁜자석’ 등 작품마다 흥행을 이어가고 있다.

송용진은	송용진/NNP+은/JX
‘셜록홈즈1’을	‘/SS+셜록홈즈/NNP+1/SN+’/SS+을/JKO
비롯해	비롯하/VV+아/EC
뮤지컬	뮤지컬/NNG
‘헤드윅’	‘/SS+헤드윅/NNP+’/SS
‘구텐버그’,	‘/SS+구텐버그/NNP+’/SS+,/SP
연극	연극/NNG
‘나쁜자석’	‘/SS+나쁜자석/NNP+’/SS
등	등/NNB
작품마다	작품/NNG+마다/JX
흥행을	흥행/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.119.9.2
공연계에서는 “송용진만 따라가도 망하지는 않는다”는 우스갯소리가 나올 정도다.

공연계에서는	공연/NNG+계/XSN+에서/JKB+는/JX
“송용진만	“/SS+송용진/NNP+만/JX
따라가도	따라가/VV+아도/EC
망하지는	망하/VV+지/EC+는/JX
않는다”는	않/VX+는다/EF+”/SS+는/ETM
우스갯소리가	우스갯소리/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.119.10.1
“연기만 하는 게 아니라 뮤지컬 연출, 작곡, 밴드 보컬 등 여러 활동을 하는 게 영향을 미친 것 같아요.

“연기만	“/SS+연기/NNG+만/JX
하는	하/VV+는/ETM
게	거/NNB+이/JKS
아니라	아니/VCN+라/EC
뮤지컬	뮤지컬/NNG
연출,	연출/NNG+,/SP
작곡,	작곡/NNG+,/SP
밴드	밴드/NNG
보컬	보컬/NNG
등	등/NNB
여러	여러/MMN
활동을	활동/NNG+을/JKO
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000041.119.10.2
나무가 아닌 숲을 보기 위해 노력하거든요.

나무가	나무/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
숲을	숲/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
노력하거든요.	노력/NNG+하/XSV+거든/EF+요/JX+./SF


# id : NWRW1800000041.119.10.3
(웃음)”

(웃음)”	(/SS+웃음/NNG+)/SS+”/SS


# id : NWRW1800000041.119.11.1
음악, 연기, 작곡, 연출 등 분야는 다르지만 모두 예술을 담아내는 다른 그릇일 뿐이라는 게 그의 지론이다.

음악,	음악/NNG+,/SP
연기,	연기/NNG+,/SP
작곡,	작곡/NNG+,/SP
연출	연출/NNG
등	등/NNB
분야는	분야/NNG+는/JX
다르지만	다르/VA+지만/EC
모두	모두/MAG
