# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.107
metadata : {}


# id : NWRW1800000045.107.1.1
[2016 대학가는 길]모집단위 분산, 학과선택의 폭 넓혀

[2016	[/SS+2016/SN
대학가는	대학/NNG+가/VV+는/ETM
길]모집단위	길/NNG+]/SS+모집/NNG+단위/NNG
분산,	분산/NNG+,/SP
학과선택의	학과/NNG+선택/NNG+의/JKG
폭	폭/NNG
넓혀	넓히/VV+어/EF


# id : NWRW1800000045.107.2.1
숭실대는 정시모집을 통해 전체 모집인원의 약 40%인 1235명(정원 외 포함)을 선발한다.

숭실대는	숭실대/NNP+는/JX
정시모집을	정시/NNG+모집/NNG+을/JKO
통해	통하/VV+아/EC
전체	전체/NNG
모집인원의	모집/NNG+인원/NNG+의/JKG
약	약/MMA
40%인	40/SN+%/SW+이/VCP+ㄴ/ETM
1235명(정원	1235/SN+명/NNB+(/SS+정원/NNG
외	외/NNB
포함)을	포함/NNG+)/SS+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.107.2.2
원서는 24∼30일에 접수한다.

원서는	원서/NNG+는/JX
24∼30일에	24/SN+∼/SO+30/SN+일/NNB+에/JKB
접수한다.	접수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.107.3.1
이번 정시모집의 가장 두드러진 특징은 △정시 군별 모집단위 분산 선발 △교차지원 허용 모집단위(자연계열2) 확대 △자연계열2 가산점 확대(수학B 10%, 과탐 5%) △예술창작학부 전형방법 변경 등이다.

이번	이번/NNG
정시모집의	정시/NNG+모집/NNG+의/JKG
가장	가장/MAG
두드러진	두드러지/VV+ㄴ/ETM
특징은	특징/NNG+은/JX
△정시	△/SW+정시/NNG
군별	군/NNG+별/XSN
모집단위	모집/NNG+단위/NNG
분산	분산/NNG
선발	선발/NNG
△교차지원	△/SW+교차/NNG+지원/NNG
허용	허용/NNG
모집단위(자연계열2)	모집/NNG+단위/NNG+(/SS+자연/NNG+계열/NNG+2/SN+)/SS
확대	확대/NNG
△자연계열2	△/SW+자연/NNG+계열/NNG+2/SN
가산점	가산점/NNG
확대(수학B	확대/NNG+(/SS+수학/NNG+B/SL
10%,	10/SN+%/SW+,/SP
과탐	과탐/NNG
5%)	5/SN+%/SW+)/SS
△예술창작학부	△/SW+예술/NNG+창작/NNG+학부/NNG
전형방법	전형/NNG+방법/NNG
변경	변경/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.107.4.1
숭실대는 일반전형(정원 내)에서 가군 438명, 나군 236명, 다군 449명을 선발한다.

숭실대는	숭실대/NNP+는/JX
일반전형(정원	일반/NNG+전형/NNG+(/SS+정원/NNG
내)에서	내/NNB+)/SS+에서/JKB
가군	가군/NNG
438명,	438/SN+명/NNB+,/SP
나군	나군/NNG
236명,	236/SN+명/NNB+,/SP
다군	다군/NNG
449명을	449/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.107.4.2
전형방법은 각 군별 모두 수능 95%와 학생부 5%를 반영(실기고사전형 제외)한다.

전형방법은	전형/NNG+방법/NNG+은/JX
각	각/MMD
군별	군/NNG+별/XSN
모두	모두/MAG
수능	수능/NNG
95%와	95/SN+%/SW+와/JC
학생부	학생부/NNG
5%를	5/SN+%/SW+를/JKO
반영(실기고사전형	반영/NNG+(/SS+실기/NNG+고사/NNG+전형/NNG
제외)한다.	제외/NNG+)/SS+하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.107.5.1
정원외전형(농어촌도서벽지학생, 특성화고교 졸업자, 기초생활수급자 및 차상위계층)에서는 수능 60%와 서류종합평가 40%를 통해 106명을 선발한다.

정원외전형(농어촌도서벽지학생,	정원/NNG+외/NNB+전형/NNG+(/SS+농어촌/NNG+도서/NNG+벽지/NNG+학생/NNG+,/SP
특성화고교	특성/NNG+화/XSN+고교/NNG
졸업자,	졸업자/NNG+,/SP
기초생활수급자	기초/NNG+생활/NNG+수급자/NNG
및	및/MAG
차상위계층)에서는	차상위/NNG+계층/NNG+)/SS+에서/JKB+는/JX
수능	수능/NNG
60%와	60/SN+%/SW+와/JC
서류종합평가	서류/NNG+종합/NNG+평가/NNG
40%를	40/SN+%/SW+를/JKO
통해	통하/VV+아/EC
106명을	106/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.107.5.2
특성화고졸재직자는 학생부종합전형으로 6명을 선발할 예정이다.

특성화고졸재직자는	특성화고/NNG+졸/NNG+재직자/NNG+는/JX
학생부종합전형으로	학생부/NNG+종합/NNG+전형/NNG+으로/JKB
6명을	6/SN+명/NNB+을/JKO
선발할	선발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.107.6.1
