# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.259
metadata : {}


# id : NWRW1800000033.259.1.1
대기업 두 곳 나서자, KBO이사회 만장일치 승인

대기업	대/XPN+기업/NNG
두	두/MMN
곳	곳/NNG
나서자,	나서/VV+자/EC+,/SP
KBO이사회	KBO/SL+이사회/NNG
만장일치	만장일치/NNG
승인	승인/NNG


# id : NWRW1800000033.259.2.1
선수협 단체행동에 부담… 9구단 체제 불편함도 한몫

선수협	선수협/NNG
단체행동에	단체/NNG+행동/NNG+에/JKB
부담…	부담/NNG+…/SE
9구단	9/SN+구단/NNG
체제	체제/NNG
불편함도	불편/NNG+하/XSA+ㅁ/ETN+도/JX
한몫	한몫/NNG


# id : NWRW1800000033.259.3.1
“만장일치로 10구단 창단을 승인했다.”

“만장일치로	“/SS+만장일치/NNG+로/JKB
10구단	10/SN+구단/NNG
창단을	창단/NNG+을/JKO
승인했다.”	승인/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.259.4.1
11일 서울 강남구 도곡동 야구회관에서 열린 한국야구위원회(KBO) 7차 이사회.

11일	11/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
도곡동	도곡동/NNP
야구회관에서	야구/NNG+회관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
한국야구위원회(KBO)	한국야구위원회/NNP+(/SS+KBO/SL+)/SS
7차	7/SN+차/NNB
이사회.	이사회/NNG+./SF


# id : NWRW1800000033.259.4.2
그동안 논란이 일었던 제10구단 창단 추진을 만장일치로 의결했다.

그동안	그동안/NNG
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
제10구단	제/XPN+10/SN+구단/NNG
창단	창단/NNG
추진을	추진/NNG+을/JKO
만장일치로	만장일치/NNG+로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.4.3
KBO 양해영 사무총장은 “회의 과정에 반대의 목소리는 전혀 없었다”며 “10구단을 의결하는 데는 오랜 시간이 걸리지 않았다.

KBO	KBO/SL
양해영	양해영/NNP
사무총장은	사무총장/NNG+은/JX
“회의	“/SS+회의/NNG
과정에	과정/NNG+에/JKB
반대의	반대/NNG+의/JKG
목소리는	목소리/NNG+는/JX
전혀	전혀/MAG
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“10구단을	“/SS+10/SN+구단/NNG+을/JKO
의결하는	의결/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸리지	걸리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.259.4.4
수원, 전북 등 2개 도시를 어떻게 공정하게 평가할 것인가를 논의하다 보니 2시간가량 걸렸다”고 말했다.

수원,	수원/NNP+,/SP
전북	전북/NNP
등	등/NNB
2개	2/SN+개/NNB
도시를	도시/NNG+를/JKO
어떻게	어떻/VA+게/EC
공정하게	공정/NNG+하/XSA+게/EC
평가할	평가/NNG+하/XSV+ㄹ/ETM
것인가를	것/NNB+이/VCP+ㄴ가/EF+를/JKO
논의하다	논의/NNG+하/XSV+다/EC
보니	보/VX+니/EC
2시간가량	2/SN+시간/NNB+가량/XSN
걸렸다”고	걸리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.4.5
