# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.389
metadata : {}


# id : NWRW1800000041.389.1.1
[수도권]민원인과 캣맘들 사이 길잃은 길고양이 관리

[수도권]민원인과	[/SS+수도/NNG+권/XSN+]/SS+민원인/NNG+과/JC
캣맘들	캣맘/NNG+들/XSN
사이	사이/NNG
길잃은	길/NNG+잃/VV+은/ETM
길고양이	길고양이/NNG
관리	관리/NNG


# id : NWRW1800000041.389.2.1
‘서식 지도’가 ‘포획 지도’ 될라… 서울시 공개 연기

‘서식	‘/SS+서식/NNG
지도’가	지도/NNG+’/SS+가/JKS
‘포획	‘/SS+포획/NNG
지도’	지도/NNG+’/SS
될라…	되/VV+ㄹ라/EF+…/SE
서울시	서울시/NNP
공개	공개/NNG
연기	연기/NNG


# id : NWRW1800000041.389.3.1
길고양이가 ‘도시인의 이웃’으로 살아갈 방법은 뭘까.

길고양이가	길고양이/NNG+가/JKS
‘도시인의	‘/SS+도시인/NNG+의/JKG
이웃’으로	이웃/NNG+’/SS+으로/JKB
살아갈	살아가/VV+ㄹ/ETM
방법은	방법/NNG+은/JX
뭘까.	뭐/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.389.4.1
서울시가 나날이 늘어나는 길고양이를 관리하기 위해 포털 사이트에 캣맘(길고양이를 보호하는 사람)들의 커뮤니티를 만들고 길고양이 서식 지도인 ‘길냥이를 부탁해’를 공개하려던 계획에 제동이 걸렸다.

서울시가	서울시/NNP+가/JKS
나날이	나날이/MAG
늘어나는	늘어나/VV+는/ETM
길고양이를	길고양이/NNG+를/JKO
관리하기	관리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
포털	포털/NNG
사이트에	사이트/NNG+에/JKB
캣맘(길고양이를	캣맘/NNG+(/SS+길고양이/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
사람)들의	사람/NNG+)/SS+들/XSN+의/JKG
커뮤니티를	커뮤니티/NNG+를/JKO
만들고	만들/VV+고/EC
길고양이	길고양이/NNG
서식	서식/NNG
지도인	지도/NNG+이/VCP+ㄴ/ETM
‘길냥이를	‘/SS+길냥이/NNG+를/JKO
부탁해’를	부탁/NNG+하/XSV+아/EF+’/SS+를/JKO
공개하려던	공개/NNG+하/XSV+려던/ETM
계획에	계획/NNG+에/JKB
제동이	제동/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.389.4.2
당초 서울시는 캣맘의 네트워크를 통해 올바른 길고양이 키우는 법을 공유하고 서식지를 확인해 중성화 사업을 확대하려 했다.

당초	당초/NNG
서울시는	서울시/NNP+는/JX
캣맘의	캣맘/NNG+의/JKG
네트워크를	네트워크/NNG+를/JKO
통해	통하/VV+아/EC
올바른	올바르/VA+ㄴ/ETM
길고양이	길고양이/NNG
키우는	키우/VV+는/ETM
법을	법/NNB+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
서식지를	서식지/NNG+를/JKO
확인해	확인/NNG+하/XSV+아/EC
중성화	중성/NNG+화/XSN
사업을	사업/NNG+을/JKO
확대하려	확대/NNG+하/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.389.4.3
그러나 길고양이 서식지가 공개되면 포획자에게 잡히거나 학대받을 수 있다는 캣맘들의 항의가 빗발쳐 사업이 연기됐다.

그러나	그러나/MAJ
길고양이	길고양이/NNG
서식지가	서식지/NNG+가/JKS
공개되면	공개/NNG+되/XSV+면/EC
포획자에게	포획자/NNG+에게/JKB
