# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.238
metadata : {}


# id : NWRW1800000026.238.1.1
[누구?] '제빵왕 김탁구' 구마준役 주원;가수·뮤지컬 배우 거쳐 TV로… " '제2의 강동원' 별명은 영광"

[누구?]	[/SS+누구/NP+?/SF+]/SS
'제빵왕	'/SS+제빵/NNG+왕/NNG
김탁구'	김탁구/NNP+'/SS
구마준役	구마준/NNP+役/SH
주원;가수·뮤지컬	주원/NNP+;/SP+가수/NNG+·/SP+뮤지컬/NNG
배우	배우/NNG
거쳐	거치/VV+어/EC
TV로…	TV/SL+로/JKB+…/SE
"	"/SS
'제2의	'/SS+제/XPN+2/SN+의/JKG
강동원'	강동원/NNP+'/SS
별명은	별명/NNG+은/JX
영광"	영광/NNG+"/SS


# id : NWRW1800000026.238.2.1
까무잡잡한 피부에 길게 찢어진 눈매.

까무잡잡한	까무잡잡하/VA+ㄴ/ETM
피부에	피부/NNG+에/JKB
길게	길/VA+게/EC
찢어진	찢어지/VV+ㄴ/ETM
눈매.	눈매/NNG+./SF


# id : NWRW1800000026.238.2.2
40%에 육박하는 시청률로 수목드라마 최강자 자리에 오른 KBS 2TV '제빵왕 김탁구'의 '구마준'을 연기 중인 주원(23)의 외모는 극 중 역할만큼이나 서늘하다.

40%에	40/SN+%/SW+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
시청률로	시청/NNG+률/XSN+로/JKB
수목드라마	수/NNG+목/NNG+드라마/NNG
최강자	최강자/NNG
자리에	자리/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
KBS	KBS/SL
2TV	2/SN+TV/SL
'제빵왕	'/SS+제빵/NNG+왕/NNG
김탁구'의	김탁구/NNP+'/SS+의/JKG
'구마준'을	'/SS+구마준/NNP+'/SS+을/JKO
연기	연기/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
주원(23)의	주원/NNP+(/SS+23/SN+)/SS+의/JKG
외모는	외모/NNG+는/JX
극	극/NNG
중	중/NNB
역할만큼이나	역할/NNG+만큼/JKB+이나/JX
서늘하다.	서늘하/VA+다/EF+./SF


# id : NWRW1800000026.238.2.3
구마준은 제빵기업 후계자로 풍족하게 자랐지만, 정작 아버지(전광렬)에게 인정받지 못하고 이복형제 김탁구(윤시윤)에 대한 끝없는 자격지심에 시달려야 하는 인물.

구마준은	구마준/NNP+은/JX
제빵기업	제빵/NNG+기업/NNG
후계자로	후계자/NNG+로/JKB
풍족하게	풍족하/VA+게/EC
자랐지만,	자라/VV+았/EP+지만/EC+,/SP
정작	정작/MAG
아버지(전광렬)에게	아버지/NNG+(/SS+전광렬/NNP+)/SS+에게/JKB
인정받지	인정/NNG+받/XSV+지/EC
못하고	못하/VX+고/EC
이복형제	이복형제/NNG
김탁구(윤시윤)에	김탁구/NNP+(/SS+윤시윤/NNP+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
끝없는	끝없/VA+는/ETM
자격지심에	자격지심/NNG+에/JKB
시달려야	시달리/VV+어야/EC
하는	하/VX+는/ETM
인물.	인물/NNG+./SF


# id : NWRW1800000026.238.3.1
"첫 TV 드라마 출연인데 큰 역할이 주어져서 감사하죠.

"첫	"/SS+첫/MMN
TV	TV/SL
드라마	드라마/NNG
출연인데	출연/NNG+이/VCP+ㄴ데/EC
큰	크/VA+ㄴ/ETM
역할이	역할/NNG+이/JKS
주어져서	주어지/VV+어서/EC
감사하죠.	감사/NNG+하/XSV+죠/EF+./SF


# id : NWRW1800000026.238.3.2
처음엔 '폐만 끼치지 말자'고 했는데 시청률도 잘 나오니 더 바랄 바가 없어요." 그는 "마준이는 상처입은 영혼일 뿐, 결코 악역이 아니다"며 "그래서 연기할 때도 소리 지르고 노려보는 모습이 아닌, 가슴속에 담긴 아픔을 꾹꾹 누르려는 모습을 보여주려고 한다"고 했다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
'폐만	'/SS+폐/NNG+만/JX
끼치지	끼치/VV+지/EC
말자'고	말/VX+자/EF+'/SS+고/JKQ
했는데	하/VV+았/EP+는데/EC
시청률도	시청/NNG+률/XSN+도/JX
잘	잘/MAG
나오니	나오/VV+니/EC
더	더/MAG
