# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.420
metadata : {}


# id : NWRW1800000030.420.1.1
[강원] "통합논의 본격화되자 갈등도 본격화"

[강원]	[/SS+강원/NNP+]/SS
"통합논의	"/SS+통합/NNG+논의/NNG
본격화되자	본격/NNG+화/XSN+되/XSV+자/EC
갈등도	갈등/NNG+도/JX
본격화"	본격/NNG+화/XSN+"/SS


# id : NWRW1800000030.420.2.1
•설악권 통합추진위 서명 돌입, 양양·고성·인제 반대 분위기… 삼척·동해는 의견수렴에 속도

•설악권	•/SW+설악/NNP+권/XSN
통합추진위	통합/NNG+추진위/NNG
서명	서명/NNG
돌입,	돌입/NNG+,/SP
양양·고성·인제	양양/NNP+·/SP+고성/NNP+·/SP+인제/NNP
반대	반대/NNG
분위기…	분위기/NNG+…/SE
삼척·동해는	삼척/NNP+·/SP+동해/NNP+는/JX
의견수렴에	의견/NNG+수렴/NNG+에/JKB
속도	속도/NNG


# id : NWRW1800000030.420.3.1
정부가 추진 중인 지방행정체제 개편을 두고 일부 자치단체가 통합 활동을 본격화 하자 인근 지자체에서 반대 목소리가 커지고 있다.

정부가	정부/NNG+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
지방행정체제	지방/NNG+행정/NNG+체제/NNG
개편을	개편/NNG+을/JKO
두고	두/VV+고/EC
일부	일부/NNG
자치단체가	자치/NNG+단체/NNG+가/JKS
통합	통합/NNG
활동을	활동/NNG+을/JKO
본격화	본격/NNG+화/XSN
하자	하/VV+자/EC
인근	인근/NNG
지자체에서	지자체/NNG+에서/JKB
반대	반대/NNG
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.3.2
속초지역이 주도하는 설악권 4개 시·군 통합은 양양, 고성, 인제 사회단체들이 반대 입장을 밝혔다.

속초지역이	속초/NNP+지역/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
설악권	설악/NNP+권/XSN
4개	4/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
통합은	통합/NNG+은/JX
양양,	양양/NNP+,/SP
고성,	고성/NNP+,/SP
인제	인제/NNP
사회단체들이	사회단체/NNG+들/XSN+이/JKS
반대	반대/NNG
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.420.3.3
삼척에서 시작된 통합 논의는 동해에서 찬성단체가 발족하는 등 급물살을 타고 있다.

삼척에서	삼척/NNP+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
통합	통합/NNG
논의는	논의/NNG+는/JX
동해에서	동해/NNP+에서/JKB
찬성단체가	찬성/NNG+단체/NNG+가/JKS
발족하는	발족/NNG+하/XSV+는/ETM
등	등/NNB
급물살을	급물살/NNG+을/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.4.1
◇통합 갈등 표면화

◇통합	◇/SW+통합/NNG
갈등	갈등/NNG
표면화	표면/NNG+화/XSN


# id : NWRW1800000030.420.5.1
속초지역 사회단체협의회는 지난달 27일 '속초시 설악권 4개 시·군 통합추진위원회'를 결성한 데 이어 지난 8일부터 주민서명 운동에 들어갔다.

속초지역	속초/NNP+지역/NNG
사회단체협의회는	사회단체/NNG+협의회/NNG+는/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
'속초시	'/SS+속초시/NNP
설악권	설악/NNP+권/XSN
4개	4/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
통합추진위원회'를	통합/NNG+추진/NNG+위원회/NNG+'/SS+를/JKO
결성한	결성/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
지난	지나/VV+ㄴ/ETM
8일부터	8/SN+일/NNB+부터/JX
주민서명	주민/NNG+서명/NNG
운동에	운동/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.420.5.2
추진위는 속초·고성·양양·인제 등 설악권 4개 시·군이 어족자원 고갈과 관광경기 위축으로 인구가 매년 감소하면서 침체한 지역 활성화를 위한 특단의 대책으로 통합의 필요성을 강조하고 있다.

추진위는	추진위/NNG+는/JX
속초·고성·양양·인제	속초/NNP+·/SP+고성/NNP+·/SP+양양/NNP+·/SP+인제/NNP
등	등/NNB
설악권	설악/NNP+권/XSN
4개	4/SN+개/NNB
시·군이	시/NNG+·/SP+군/NNG+이/JKS
어족자원	어족/NNG+자원/NNG
고갈과	고갈/NNG+과/JC
관광경기	관광/NNG+경기/NNG
위축으로	위축/NNG+으로/JKB
인구가	인구/NNG+가/JKS
매년	매년/MAG
감소하면서	감소/NNG+하/XSV+면서/EC
침체한	침체/NNG+하/XSV+ㄴ/ETM
지역	지역/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
특단의	특단/NNG+의/JKG
대책으로	대책/NNG+으로/JKB
통합의	통합/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.6.1
이에 통합 대상 인근 지자체 사회단체들은 속초 중심의 통합 논의에 반대 입장을 밝히는 등 대응에 나섰다.

이에	이/NP+에/JKB
통합	통합/NNG
대상	대상/NNG
인근	인근/NNG
지자체	지자체/NNG
사회단체들은	사회단체/NNG+들/XSN+은/JX
속초	속초/NNP
중심의	중심/NNG+의/JKG
논의에	논의/NNG+에/JKB
반대	반대/NNG
입장을	입장/NNG+을/JKO
밝히는	밝히/VV+는/ETM
등	등/NNB
대응에	대응/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.420.6.2
양양군의회와 지역 내 사회단체 대표들은 지난 10일 긴급 모임을 갖고 '범국민 통합 결사반대 투쟁위원회'를 구성하기로 하는 등 설악권 통합에 강력히 대응하기로 의견을 모았다.

양양군의회와	양양군/NNP+의회/NNG+와/JC
지역	지역/NNG
내	내/NNB
사회단체	사회단체/NNG
대표들은	대표/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
긴급	긴급/NNG
모임을	모임/NNG+을/JKO
갖고	갖/VV+고/EC
'범국민	'/SS+범/XPN+국민/NNG
통합	통합/NNG
결사반대	결사반대/NNG
투쟁위원회'를	투쟁/NNG+위원회/NNG+'/SS+를/JKO
구성하기로	구성/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
설악권	설악/NNP+권/XSN
통합에	통합/NNG+에/JKB
강력히	강력히/MAG
대응하기로	대응/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.420.7.1
이들은 "역사와 문화, 지리적 여건과 전통, 경제성, 발전 가능성 등을 고려할 때 이번 통합 결과도 지난 1994년 도·통 통합 때와 다를 바 없다"며 오는 24일 투쟁위원회를 열고 구체적인 대응 방안을 논의하기로 했다.

이들은	이/NP+들/XSN+은/JX
"역사와	"/SS+역사/NNG+와/JC
문화,	문화/NNG+,/SP
지리적	지리/NNG+적/XSN
여건과	여건/NNG+과/JC
전통,	전통/NNG+,/SP
경제성,	경제/NNG+성/XSN+,/SP
발전	발전/NNG
가능성	가능/NNG+성/XSN
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이번	이번/NNG
통합	통합/NNG
결과도	결과/NNG+도/JX
지난	지나/VV+ㄴ/ETM
1994년	1994/SN+년/NNB
도·통	도/NNG+·/SP+통/NNG
때와	때/NNG+와/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
오는	오/VV+는/ETM
24일	24/SN+일/NNB
투쟁위원회를	투쟁/NNG+위원회/NNG+를/JKO
열고	열/VV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
대응	대응/NNG
방안을	방안/NNG+을/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.420.8.1
통합을 반대하는 고성지역도 최근 사회단체 대표들이 모여 "속초지역 사회단체의 움직임을 수수방관할 수 없다"며 대책회의를 갖는 등 대응에 나서기로 했다.

통합을	통합/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
고성지역도	고성/NNP+지역/NNG+도/JX
최근	최근/NNG
사회단체	사회단체/NNG
대표들이	대표/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
"속초지역	"/SS+속초/NNP+지역/NNG
사회단체의	사회단체/NNG+의/JKG
움직임을	움직임/NNG+을/JKO
수수방관할	수수방관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
대책회의를	대책/NNG+회의/NNG+를/JKO
갖는	갖/VV+는/ETM
등	등/NNB
대응에	대응/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.420.9.1
인제지역 사회단체도 일방적으로 추진하는 통합을 반대하며 대응에 나서기로 의견을 모았다.

인제지역	인제/NNP+지역/NNG
사회단체도	사회단체/NNG+도/JX
일방적으로	일방/NNG+적/XSN+으로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
통합을	통합/NNG+을/JKO
반대하며	반대/NNG+하/XSV+며/EC
대응에	대응/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.420.10.1
설악권 통합 추진위는 시·군 통합이 속초만의 발전이 아니라 낙후한 설악권의 공동 발전과 후손들을 위한 선택이라며 다양한 의견 수렴을 위한 세미나 등을 거쳐 12월 중순쯤에는 주민을 대상으로 받은 서명부를 속초시장에게 전달할 계획이다.

설악권	설악/NNP+권/XSN
통합	통합/NNG
추진위는	추진위/NNG+는/JX
시·군	시/NNG+·/SP+군/NNG
통합이	통합/NNG+이/JKS
속초만의	속초/NNP+만/JX+의/JKG
발전이	발전/NNG+이/JKC
아니라	아니/VCN+라/EC
낙후한	낙후/NNG+하/XSV+ㄴ/ETM
설악권의	설악/NNP+권/XSN+의/JKG
공동	공동/NNG
발전과	발전/NNG+과/JC
후손들을	후손/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
