# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.377
metadata : {}


# id : NWRW1800000021.377.1.1
[수도권]서울 강남구 출산장려정책 최대 3000만원 지원 계획

[수도권]서울	[/SS+수도/NNG+권/XSN+]/SS+서울/NNP
강남구	강남구/NNP
출산장려정책	출산/NNG+장려/NNG+정책/NNG
최대	최대/NNG
3000만원	3000/SN+만/NR+원/NNB
지원	지원/NNG
계획	계획/NNG


# id : NWRW1800000021.377.2.1
‘맘(mom) 편한 육아세상.’ 서울 강남구가 19일 내놓은 출산장려정책 프로젝트명이다.

‘맘(mom)	‘/SS+맘/NNG+(/SS+mom/SL+)/SS
편한	편하/VA+ㄴ/ETM
육아세상.’	육아/NNG+세상/NNG+./SF+’/SS
서울	서울/NNP
강남구가	강남구/NNP+가/JKS
19일	19/SN+일/NNB
내놓은	내놓/VV+은/ETM
출산장려정책	출산/NNG+장려/NNG+정책/NNG
프로젝트명이다.	프로젝트명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.377.2.2
아이를 낳기만 하면 육아나 직장 걱정 없이 키우기 편한 세상을 만들겠다는 의미로 사람들이 기억하기 쉽게 ‘엄마(mom)’와 ‘마음’이란 단어 두 개를 동시에 담았다고 강남구 측은 설명했다.

아이를	아이/NNG+를/JKO
낳기만	낳/VV+기/ETN+만/JX
하면	하/VX+면/EC
육아나	육아/NNG+나/JC
직장	직장/NNG
걱정	걱정/NNG
없이	없이/MAG
키우기	키우/VV+기/ETN
편한	편하/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
의미로	의미/NNG+로/JKB
사람들이	사람/NNG+들/XSN+이/JKS
기억하기	기억/NNG+하/XSV+기/ETN
쉽게	쉽/VA+게/EC
‘엄마(mom)’와	‘/SS+엄마/NNG+(/SS+mom/SL+)/SS+’/SS+와/JC
‘마음’이란	‘/SS+마음/NNG+’/SS+이란/JX
단어	단어/NNG
두	두/MMN
개를	개/NNB+를/JKO
동시에	동시/NNG+에/JKB
담았다고	담/VV+았/EP+다고/EC
강남구	강남구/NNP
측은	측/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.377.3.1
강남구는 출산장려정책이 성과를 거둘 수 있도록 각종 홍보영상물과 포스터, 외부 공문 등에 이 프로젝트명을 활용할 계획이다.

강남구는	강남구/NNP+는/JX
출산장려정책이	출산/NNG+장려/NNG+정책/NNG+이/JKS
성과를	성과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
각종	각종/NNG
홍보영상물과	홍보/NNG+영상물/NNG+과/JC
포스터,	포스터/NNG+,/SP
외부	외부/NNG
공문	공문/NNG
등에	등/NNB+에/JKB
이	이/MMD
프로젝트명을	프로젝트명/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.377.3.2
강남구 출산장려정책은 최대 3000만 원까지 제공되는 출산장려금과 셋째 아이부터는 어린이집 무료 이용, 12세 이하 무료 예방접종 등이다.

강남구	강남구/NNP
출산장려정책은	출산/NNG+장려/NNG+정책/NNG+은/JX
최대	최대/NNG
3000만	3000/SN+만/NR
원까지	원/NNB+까지/JX
제공되는	제공/NNG+되/XSV+는/ETM
출산장려금과	출산/NNG+장려금/NNG+과/JC
셋째	셋째/NR
아이부터는	아이/NNG+부터/JX+는/JX
어린이집	어린이집/NNG
무료	무료/NNG
이용,	이용/NNG+,/SP
12세	12/SN+세/NNB
이하	이하/NNG
예방접종	예방/NNG+접종/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.377.3.3
강남구 관계자는 “누구나 이해하기 쉽고 편하게 부를 수 있는 강남구 출산장려정책 프로젝트명을 널리 활용해 전국에서 두 번째로 낮은 강남구의 출산율이 크게 증가하기를 기대한다”고 말했다.

강남구	강남구/NNP
관계자는	관계자/NNG+는/JX
“누구나	“/SS+누구/NP+나/JX
이해하기	이해/NNG+하/XSV+기/ETN
쉽고	쉽/VA+고/EC
편하게	편하/VA+게/EC
부를	부르/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
출산장려정책	출산/NNG+장려/NNG+정책/NNG
프로젝트명을	프로젝트명/NNG+을/JKO
널리	널리/MAG
활용해	활용/NNG+하/XSV+아/EC
전국에서	전국/NNG+에서/JKB
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
낮은	낮/VA+은/ETM
강남구의	강남구/NNP+의/JKG
출산율이	출산/NNG+율/XSN+이/JKS
크게	크/VA+게/EC
증가하기를	증가/NNG+하/XSV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


