# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.358
metadata : {}


# id : NWRW1800000052.358.1.1
정부 “재정 역할 검토 중”… 추경 카드 한걸음 더

정부	정부/NNG
“재정	“/SS+재정/NNG
역할	역할/NNG
검토	검토/NNG
중”…	중/NNB+”/SS+…/SE
추경	추경/NNG
카드	카드/NNG
한걸음	한걸음/NNG
더	더/MAG


# id : NWRW1800000052.358.2.1
“상당한 규모로 적극적 재정역할 해달라”

“상당한	“/SS+상당/NNG+하/XSA+ㄴ/ETM
규모로	규모/NNG+로/JKB
적극적	적극/NNG+적/XSN
재정역할	재정/NNG+역할/NNG
해달라”	하/VV+아/EC+달/VX+라/EF+”/SS


# id : NWRW1800000052.358.3.1
새누리당의 요구에 화답

새누리당의	새누리당/NNP+의/JKG
요구에	요구/NNG+에/JKB
화답	화답/NNG


# id : NWRW1800000052.358.4.1
당·정 추경 편성에 공감대

당·정	당·정/NNG
추경	추경/NNG
편성에	편성/NNG+에/JKB
공감대	공감대/NNG


# id : NWRW1800000052.358.5.1
새누리당이 21일 기업 구조조정에 따른 실업문제 대책으로 정부에 “상당한 규모의 추가경정예산(추경) 편성”을 요구했다.

새누리당이	새누리당/NNP+이/JKS
21일	21/SN+일/NNB
기업	기업/NNG
구조조정에	구조/NNG+조정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
실업문제	실업/NNG+문제/NNG
대책으로	대책/NNG+으로/JKB
정부에	정부/NNG+에/JKB
“상당한	“/SS+상당/NNG+하/XSA+ㄴ/ETM
규모의	규모/NNG+의/JKG
추가경정예산(추경)	추가/NNG+경정/NNG+예산/NNG+(/SS+추경/NNG+)/SS
편성”을	편성/NNG+”/SS+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.358.5.2
정부는 적극적인 확장 재정을 검토하고 있다고 호응했다.

정부는	정부/NNG+는/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
확장	확장/NNG
재정을	재정/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
호응했다.	호응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.358.6.1
추경호 새누리당 일자리특위 부위원장은 이날 국회에서 최상목 기획재정부 제1차관 등이 참석한 가운데 열린 특위 첫 회의에서 “정부가 보수적으로 하지 말고 상당한 규모로 전향적으로 좀 적극적으로 재정 역할을 해달라”고 요청했다.

추경호	추경호/NNP
새누리당	새누리당/NNP
일자리특위	일자리/NNG+특위/NNG
부위원장은	부위원장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
최상목	최상목/NNP
기획재정부	기획/NNG+재정부/NNG
제1차관	제/XPN+1/SN+차관/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
특위	특위/NNG
첫	첫/MMN
회의에서	회의/NNG+에서/JKB
“정부가	“/SS+정부/NNG+가/JKS
보수적으로	보수/NNG+적/XSN+으로/JKB
하지	하/VV+지/EC
말고	말/VX+고/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
규모로	규모/NNG+로/JKB
전향적으로	전향/NNG+적/XSN+으로/JKB
좀	좀/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
재정	재정/NNG
역할을	역할/NNG+을/JKO
해달라”고	하/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.358.6.2
추 부위원장은 “중앙은행도 통화신용 정책을 적극적으로 펼치면서 경기와 일자리 문제에 대응하고 있으니, 재정에서도 적극적인 역할이 필요한 시점”이라며 이렇게 말했다고 한다.

추	추/NNP
부위원장은	부위원장/NNG+은/JX
“중앙은행도	“/SS+중앙은행/NNG+도/JX
통화신용	통화/NNG+신용/NNG
정책을	정책/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
펼치면서	펼치/VV+면서/EC
경기와	경기/NNG+와/JC
일자리	일자리/NNG
문제에	문제/NNG+에/JKB
대응하고	대응/NNG+하/XSV+고/EC
있으니,	있/VX+으니/EC+,/SP
재정에서도	재정/NNG+에서/JKB+도/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
역할이	역할/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점”이라며	시점/NNG+”/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.358.6.3
이에 최상목 차관은 “여러 필요성을 느끼고 있고, 재정의 역할에 관해서 현재 검토를 하고 있다”고 답했다.

이에	이/NP+에/JKB
최상목	최상목/NNP
차관은	차관/NNG+은/JX
“여러	“/SS+여러/MMN
필요성을	필요/NNG+성/XSN+을/JKO
느끼고	느끼/VV+고/EC
있고,	있/VX+고/EC+,/SP
재정의	재정/NNG+의/JKG
역할에	역할/NNG+에/JKB
관해서	관하/VV+아서/EC
현재	현재/MAG
검토를	검토/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.358.7.1
추 부위원장은 기자들에게 “알려진 바에 따르면 정부도 추경을 검토하고 있고, 일주일 전 입장에서 변화가 있지 않나.

추	추/NNP
부위원장은	부위원장/NNG+은/JX
기자들에게	기자/NNG+들/XSN+에게/JKB
“알려진	“/SS+알려지/VV+ㄴ/ETM
바에	바/NNB+에/JKB
따르면	따르/VV+면/EC
정부도	정부/NNG+도/JX
추경을	추경/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
일주일	일주일/NNG
전	전/NNG
입장에서	입장/NNG+에서/JKB
변화가	변화/NNG+가/JKS
있지	있/VA+지/EC
않나.	않/VX+나/EF+./SF


# id : NWRW1800000052.358.7.2
그것과 결을 같이한다고 보면 된다”라고 말해, 당과 정부가 추경에 좀더 긍정적으로 바뀌었음을 내비쳤다.

그것과	그것/NP+과/JKB
결을	결/NNG+을/JKO
같이한다고	같이/MAG+하/XSV+ㄴ다고/EC
보면	보/VV+면/EC
된다”라고	되/VV+ㄴ다/EF+”/SS+라고/JKQ
말해,	말/NNG+하/XSV+아/EC+,/SP
당과	당/NNG+과/JC
정부가	정부/NNG+가/JKS
추경에	추경/NNG+에/JKB
좀더	좀/MAG+더/MAG
긍정적으로	긍정/NNG+적/XSN+으로/JKB
바뀌었음을	바뀌/VV+었/EP+음/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.358.7.3
추 부위원장은 다만 추경 규모에 관한 구체적인 금액은 거론하지 않았다고 덧붙였다.

추	추/NNP
부위원장은	부위원장/NNG+은/JX
다만	다만/MAG
추경	추경/NNG
규모에	규모/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
금액은	금액/NNG+은/JX
거론하지	거론/NNG+하/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.358.8.1
더불어민주당에서 국채를 발행하는 방식의 추경은 반대하는 데 대해 추 부위원장은 “세수 초과분만으로 충분할지, 적자를 감수하고서라도 추가로 (예산편성을) 더할지는 올해 재정전망이 정확히 나와야 논의할 수 있다”고 말했다.

더불어민주당에서	더불어민주당/NNP+에서/JKB
국채를	국채/NNG+를/JKO
발행하는	발행/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
추경은	추경/NNG+은/JX
반대하는	반대/NNG+하/XSV+는/ETM
데	데/NNB
대해	대하/VV+아/EC
추	추/NNP
부위원장은	부위원장/NNG+은/JX
“세수	“/SS+세수/NNG
초과분만으로	초과/NNG+분/XSN+만/JX+으로/JKB
충분할지,	충분하/VA+ㄹ지/EF+,/SP
적자를	적자/NNG+를/JKO
감수하고서라도	감수/NNG+하/XSV+고서/EC+라도/JX
추가로	추가/NNG+로/JKB
(예산편성을)	(/SS+예산/NNG+편성/NNG+을/JKO+)/SS
더할지는	더/MAG+하/XSV+ㄹ지/EF+는/JX
올해	올해/NNG
재정전망이	재정/NNG+전망/NNG+이/JKS
정확히	정확히/MAG
나와야	나오/VV+아야/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.358.9.1
이날 회의에서 새누리당은 실업대책으로 고용유지 지원금의 상한을 올려야 한다고 했고, 고영선 고용노동부 차관은 “상한을 올리려고 시행령 개정을 준비 중”이라고 말했다.

이날	이날/NNG
회의에서	회의/NNG+에서/JKB
새누리당은	새누리당/NNP+은/JX
실업대책으로	실업/NNG+대책/NNG+으로/JKB
고용유지	고용/NNG+유지/NNG
지원금의	지원금/NNG+의/JKG
상한을	상한/NNG+을/JKO
올려야	올리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
했고,	하/VV+았/EP+고/EC+,/SP
고영선	고영선/NNP
고용노동부	고용/NNG+노동부/NNG
차관은	차관/NNG+은/JX
“상한을	“/SS+상한/NNG+을/JKO
올리려고	올리/VV+려고/EC
시행령	시행령/NNG
개정을	개정/NNG+을/JKO
준비	준비/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


