# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.241
metadata : {}


# id : NWRW1800000045.241.1.1
무시무시한 박병호도 무시 못하는 천적들

무시무시한	무시무시/MAG+하/XSA+ㄴ/ETM
박병호도	박병호/NNP+도/JX
무시	무시/NNG
못하는	못/MAG+하/VV+는/ETM
천적들	천적/NNG+들/XSN


# id : NWRW1800000045.241.2.1
임창용 등 사이드암-언더핸드에 약점… 타이밍 뺏는 손민한 만나도 속수무책

임창용	임창용/NNP
등	등/NNB
사이드암-언더핸드에	사이드암/NNG+-/SO+언더핸드/NNG+에/JKB
약점…	약점/NNG+…/SE
타이밍	타이밍/NNG
뺏는	뺏/VV+는/ETM
손민한	손민한/NNP
만나도	만나/VV+아도/EC
속수무책	속수무책/NNG


# id : NWRW1800000045.241.3.1
1980년대 국가대표 남자 배구팀의 왼손 거포였던 한장석 전 대한항공 감독의 아들인 KIA 한승혁(22)은 넥센 박병호(29)를 만나면 더 공격적으로 공을 던진다.

1980년대	1980/SN+년대/NNB
국가대표	국가/NNG+대표/NNG
남자	남자/NNG
배구팀의	배구/NNG+팀/NNG+의/JKG
왼손	왼손/NNG
거포였던	거포/NNG+이/VCP+었/EP+던/ETM
한장석	한장석/NNP
전	전/MMD
대한항공	대한항공/NNP
감독의	감독/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
KIA	KIA/SL
한승혁(22)은	한승혁/NNP+(/SS+22/SN+)/SS+은/JX
넥센	넥센/NNP
박병호(29)를	박병호/NNP+(/SS+29/SN+)/SS+를/JKO
만나면	만나/VV+면/EC
더	더/MAG
공격적으로	공격/NNG+적/XSN+으로/JKB
공을	공/NNG+을/JKO
던진다.	던지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.241.3.2
그래서인지 박병호는 올 시즌 한승혁의 ‘기’에 눌려 있다.

그래서인지	그렇/VA+어서/EC+이/VCP+ㄴ지/EC
박병호는	박병호/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
한승혁의	한승혁/NNP+의/JKG
‘기’에	‘/SS+기/NNG+’/SS+에/JKB
눌려	눌리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.241.3.3
올 시즌 7차례 맞대결에서 삼진을 4개나 당했다.

올	올/NNG
시즌	시즌/NNG
7차례	7/SN+차례/NNG
맞대결에서	맞대결/NNG+에서/JKB
삼진을	삼진/NNG+을/JKO
4개나	4/SN+개/NNB+나/JX
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.3.4
5월 8일 한승혁에게서 처음이자 유일한 홈런을 뽑아냈지만 이틀 뒤 삼진으로 보복을 당했다.

5월	5/SN+월/NNB
8일	8/SN+일/NNB
한승혁에게서	한승혁/NNP+에게서/JKB
처음이자	처음/NNG+이/VCP+자/EC
유일한	유일/NNG+하/XSA+ㄴ/ETM
홈런을	홈런/NNG+을/JKO
뽑아냈지만	뽑아내/VV+었/EP+지만/EC
이틀	이틀/NNG
뒤	뒤/NNG
삼진으로	삼진/NNG+으로/JKB
보복을	보복/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.3.5
150km대 직구가 위력적인 한승혁은 “병호 형과의 대결이 재밌다”고 말한다.

150km대	150/SN+km/SW+대/XSN
직구가	직구/NNG+가/JKS
위력적인	위력/NNG+적/XSN+이/VCP+ㄴ/ETM
한승혁은	한승혁/NNP+은/JX
“병호	“/SS+병호/NNP
형과의	형/NNB+과/JKB+의/JKG
대결이	대결/NNG+이/JKS
재밌다”고	재밌/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.241.4.1
박병호는 올 시즌 사이드암이나 언더핸드 투수들에게도 상대적으로 약한 모습을 보이고 있다.

박병호는	박병호/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
사이드암이나	사이드암/NNG+이나/JC
언더핸드	언더핸드/NNG
투수들에게도	투수/NNG+들/XSN+에게/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
약한	약하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.241.4.2
강속구를 주무기로 하는 오버핸드 투수들과 달리 완급을 조절하는 투구에 능한 이들 유형의 투수들에게 번번이 타이밍을 빼앗겼기 때문이다.

강속구를	강속구/NNG+를/JKO
주무기로	주무기/NNG+로/JKB
하는	하/VV+는/ETM
오버핸드	오버핸드/NNG
투수들과	투수/NNG+들/XSN+과/JKB
달리	달리/MAG
완급을	완급/NNG+을/JKO
조절하는	조절/NNG+하/XSV+는/ETM
투구에	투구/NNG+에/JKB
능한	능하/VA+ㄴ/ETM
이들	이/NP+들/XSN
유형의	유형/NNG+의/JKG
투수들에게	투수/NNG+들/XSN+에게/JKB
번번이	번번이/MAG
타이밍을	타이밍/NNG+을/JKO
빼앗겼기	빼앗기/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.241.4.3
특히 삼성의 마무리인 사이드암 투수 임창용(39)과의 5차례 맞대결에서는 안타 하나 없이 삼진을 4개나 빼앗겼다.

특히	특히/MAG
삼성의	삼성/NNP+의/JKG
마무리인	마무리/NNG+이/VCP+ㄴ/ETM
사이드암	사이드암/NNG
투수	투수/NNG
임창용(39)과의	임창용/NNP+(/SS+39/SN+)/SS+과/JKB+의/JKG
5차례	5/SN+차례/NNG
맞대결에서는	맞대결/NNG+에서/JKB+는/JX
안타	안타/NNG
하나	하나/NR
없이	없이/MAG
삼진을	삼진/NNG+을/JKO
4개나	4/SN+개/NNB+나/JX
빼앗겼다.	빼앗기/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.241.4.4
체인지업과 포크볼의 중간 형태 변화구가 일품인 KIA의 신인 사이드암 투수 박정수(19)를 상대로도 3번 중 2번은 삼진을 허용했다.

체인지업과	체인지업/NNG+과/JC
포크볼의	포크볼/NNG+의/JKG
중간	중간/NNG
형태	형태/NNG
변화구가	변화구/NNG+가/JKS
일품인	일품/NNG+이/VCP+ㄴ/ETM
KIA의	KIA/SL+의/JKG
신인	신인/NNG
사이드암	사이드암/NNG
투수	투수/NNG
박정수(19)를	박정수/NNP+(/SS+19/SN+)/SS+를/JKO
상대로도	상대/NNG+로/JKB+도/JX
3번	3/SN+번/NNB
중	중/NNB
2번은	2/SN+번/NNB+은/JX
삼진을	삼진/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.4.5
KIA의 핵잠수함 김병현(36)과의 3차례 맞대결에서는 삼진 2개와 범타로 물러났다.

KIA의	KIA/SL+의/JKG
핵잠수함	핵/NNG+잠수함/NNG
김병현(36)과의	김병현/NNP+(/SS+36/SN+)/SS+과/JKB+의/JKG
3차례	3/SN+차례/NNG
맞대결에서는	맞대결/NNG+에서/JKB+는/JX
삼진	삼진/NNG
2개와	2/SN+개/NNB+와/JC
범타로	범타/NNG+로/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.4.6
완급 조절과 제구력을 갖춘 노장 손민한(40·NC)을 만나서도 5번 중 1번만 안타를 뽑아냈고, 삼진은 2개를 당했다.

완급	완급/NNG
조절과	조절/NNG+과/JC
제구력을	제구력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
노장	노장/NNG
손민한(40·NC)을	손민한/NNP+(/SS+40/SN+·/SP+NC/SL+)/SS+을/JKO
만나서도	만나/VV+아서/EC+도/JX
5번	5/SN+번/NNB
중	중/NNB
1번만	1/SN+번/NNB+만/JX
안타를	안타/NNG+를/JKO
뽑아냈고,	뽑아내/VV+었/EP+고/EC+,/SP
삼진은	삼진/NNG+은/JX
2개를	2/SN+개/NNB+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.4.7
12일에는 3구 삼진까지 당했다.

12일에는	12/SN+일/NNB+에/JKB+는/JX
3구	3/SN+구/NNG
삼진까지	삼진/NNG+까지/JX
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.4.8
이전 타석까지 3연타석 홈런을 친 박병호였지만 타격 리듬을 빼앗는 손민한의 투구에는 속수무책이었다.

이전	이전/NNG
타석까지	타석/NNG+까지/JX
3연타석	3/SN+연타석/NNG
