# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.369
metadata : {}


# id : NWRW1800000037.369.1.1
“獨 광산서… 열사의 중동사막서… 국민 피땀으로 기적 이뤄”

“獨	“/SS+獨/SH
광산서…	광산/NNG+서/JKB+…/SE
열사의	열사/NNG+의/JKG
중동사막서…	중동/NNP+사막/NNG+서/JKB+…/SE
국민	국민/NNG
피땀으로	피땀/NNG+으로/JKB
기적	기적/NNG
이뤄”	이루/VV+어/EF+”/SS


# id : NWRW1800000037.369.2.1
[朴대통령 광복절 경축사]아버지 시절 역사 강조 눈길 “철지난 이념 잣대로 역사재단 안돼” 자유민주주의 ‘건국’ 의미도 부각

[朴대통령	[/SS+朴/SH+대통령/NNG
광복절	광복절/NNG
경축사]아버지	경축사/NNG+]/SS+아버지/NNG
시절	시절/NNG
역사	역사/NNG
강조	강조/NNG
눈길	눈길/NNG
“철지난	“/SS+철/NNG+지나/VV+ㄴ/ETM
이념	이념/NNG
잣대로	잣대/NNG+로/JKB
역사재단	역사/NNG+재단/NNG
안돼”	안/MAG+되/XSV+어/EF+”/SS
자유민주주의	자유/NNG+민주주의/NNG
‘건국’	‘/SS+건국/NNG+’/SS
의미도	의미/NNG+도/JX
부각	부각/NNG


# id : NWRW1800000037.369.3.1
박근혜 대통령은 15일 “역사에 대한 인식을 두고 갈등과 분열을 부추기거나 철지난 이념을 잣대로 역사를 자의적으로 재단하는 일은 없어야 한다”며 역사 교육의 중요성을 강조했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
“역사에	“/SS+역사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
두고	두/VV+고/EC
갈등과	갈등/NNG+과/JC
분열을	분열/NNG+을/JKO
부추기거나	부추기/VV+거나/EC
철지난	철/NNG+지나/VV+ㄴ/ETM
이념을	이념/NNG+을/JKO
잣대로	잣대/NNG+로/JKB
역사를	역사/NNG+를/JKO
자의적으로	자의/NNG+적/XSN+으로/JKB
재단하는	재단/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
없어야	없/VA+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
역사	역사/NNG
교육의	교육/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.4.1
박 대통령은 광복절 경축식에 참석한 뒤 독립유공자와 그 유족을 초청해 가진 청와대 오찬에서 이같이 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
광복절	광복절/NNG
경축식에	경축식/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
독립유공자와	독립/NNG+유공자/NNG+와/JC
그	그/MMD
유족을	유족/NNG+을/JKO
초청해	초청/NNG+하/XSV+아/EC
가진	가지/VV+ㄴ/ETM
청와대	청와대/NNP
오찬에서	오찬/NNG+에서/JKB
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.4.2
“우리 국민들이 올바른 역사관과 국가관을 가질 수 있도록 하고 자라나는 후손들에게 올바른 역사를 가르치는 일이 매우 중요하다”며 “국민 통합을 이루기 위해서라도 역사와 민족에 대한 자긍심을 가질 수 있어야 한다”고도 했다.

“우리	“/SS+우리/NP
국민들이	국민/NNG+들/XSN+이/JKS
올바른	올바르/VA+ㄴ/ETM
역사관과	역사관/NNG+과/JC
국가관을	국가관/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VV+고/EC
자라나는	자라나/VV+는/ETM
후손들에게	후손/NNG+들/XSN+에게/JKB
역사를	역사/NNG+를/JKO
가르치는	가르치/VV+는/ETM
일이	일/NNG+이/JKS
매우	매우/MAG
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“국민	“/SS+국민/NNG
통합을	통합/NNG+을/JKO
이루기	이루/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
역사와	역사/NNG+와/JC
민족에	민족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자긍심을	자긍심/NNG+을/JKO
있어야	있/VA+어야/EC
한다”고도	하/VX+ㄴ다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.5.1
광복절 경축사에서는 “65년 전 오늘은 외세의 도전과 안팎의 혼란을 물리치고 대한민국을 건국한 날이기도 하다”고 말했다.

광복절	광복절/NNG
경축사에서는	경축사/NNG+에서/JKB+는/JX
“65년	“/SS+65/SN+년/NNB
전	전/NNG
오늘은	오늘/NNG+은/JX
외세의	외세/NNG+의/JKG
도전과	도전/NNG+과/JC
안팎의	안팎/NNG+의/JKG
혼란을	혼란/NNG+을/JKO
물리치고	물리치/VV+고/EC
대한민국을	대한민국/NNP+을/JKO
건국한	건국/NNG+하/XSV+ㄴ/ETM
날이기도	날/NNG+이/VCP+기/ETN+도/JX
하다”고	하/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.5.2
이어 “자유민주주의를 우리가 지향하는 핵심가치로 헌법에 담아 대한민국이 출범한 것이야말로 오늘의 번영과 미래로 나아갈 수 있었던 첫걸음이었다”며 ‘건국’의 의미를 강조했다.

이어	이어/MAG
“자유민주주의를	“/SS+자유/NNG+민주주의/NNG+를/JKO
우리가	우리/NP+가/JKS
지향하는	지향/NNG+하/XSV+는/ETM
핵심가치로	핵심/NNG+가치/NNG+로/JKB
헌법에	헌법/NNG+에/JKB
담아	담/VV+아/EC
대한민국이	대한민국/NNP+이/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
것이야말로	것/NNB+이야말로/JX
오늘의	오늘/NNG+의/JKG
번영과	번영/NNG+과/JC
미래로	미래/NNG+로/JKB
나아갈	나아가/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
첫걸음이었다”며	첫걸음/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
‘건국’의	‘/SS+건국/NNG+’/SS+의/JKG
의미를	의미/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.6.1
일부 진보진영이 이승만 전 대통령을 비롯한 ‘건국 세력’이 민족분단을 주도했다고 비판한다거나, 박정희 전 대통령을 미국의 꼭두각시로 묘사한 동영상 ‘백년전쟁’을 상영하는 등 이념적 차이를 이유로 현대사 왜곡 논쟁을 벌이고 있는 상황을 비판한 것으로 보인다.

일부	일부/NNG
진보진영이	진보/NNG+진영/NNG+이/JKS
이승만	이승만/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
‘건국	‘/SS+건국/NNG
세력’이	세력/NNG+’/SS+이/JKS
민족분단을	민족/NNG+분단/NNG+을/JKO
주도했다고	주도/NNG+하/XSV+았/EP+다고/EC
비판한다거나,	비판/NNG+하/XSV+ㄴ다/EF+거나/JX+,/SP
박정희	박정희/NNP
미국의	미국/NNP+의/JKG
꼭두각시로	꼭두각시/NNG+로/JKB
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
동영상	동영상/NNG
‘백년전쟁’을	‘/SS+백년전쟁/NNP+’/SS+을/JKO
상영하는	상영/NNG+하/XSV+는/ETM
등	등/NNB
이념적	이념/NNG+적/XSN
차이를	차이/NNG+를/JKO
이유로	이유/NNG+로/JKB
현대사	현대사/NNG
왜곡	왜곡/NNG
논쟁을	논쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
상황을	상황/NNG+을/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.369.7.1
박 대통령은 또 “건국 직후 전쟁의 상처와 가난에 시달렸고 기술도 자본도 자원도 없었지만 우리는 결코 좌절하지 않았다.

박	박/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
“건국	“/SS+건국/NNG
직후	직후/NNG
전쟁의	전쟁/NNG+의/JKG
상처와	상처/NNG+와/JC
가난에	가난/NNG+에/JKB
시달렸고	시달리/VV+었/EP+고/EC
기술도	기술/NNG+도/JX
자본도	자본/NNG+도/JX
자원도	자원/NNG+도/JX
없었지만	없/VA+었/EP+지만/EC
우리는	우리/NP+는/JX
결코	결코/MAG
좌절하지	좌절/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.369.7.2
