# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.37
metadata : {}


# id : NWRW1800000032.37.1.1
‘큐브’ 돌풍

‘큐브’	‘/SS+큐브/NNP+’/SS
돌풍	돌풍/NNG


# id : NWRW1800000032.37.2.1
디자인·실용성·합리적 가격 ‘3박자’ 갖춰 사전계약 1200대 넘어 “월 판매 500대로”

디자인·실용성·합리적	디자인/NNG+·/SP+실용/NNG+성/XSN+·/SP+합리/NNG+적/XSN
가격	가격/NNG
‘3박자’	‘/SS+3/SN+박자/NNG+’/SS
갖춰	갖추/VV+어/EC
사전계약	사전/NNG+계약/NNG
1200대	1200/SN+대/NNB
넘어	넘/VV+어/EC
“월	“/SS+월/NNG
판매	판매/NNG
500대로”	500/SN+대/NNB+로/JKB+”/SS


# id : NWRW1800000032.37.3.1
“반응이 뜨거워서 월 판매 목표를 애초 300대에서 500대로 올려잡아야 할 것 같다.”

“반응이	“/SS+반응/NNG+이/JKS
뜨거워서	뜨겁/VA+어서/EC
월	월/NNG
판매	판매/NNG
목표를	목표/NNG+를/JKO
애초	애초/NNG
300대에서	300/SN+대/NNB+에서/JKB
500대로	500/SN+대/NNB+로/JKB
올려잡아야	올리/VV+어/EC+잡/VV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다.”	같/VA+다/EF+./SF+”/SS


# id : NWRW1800000032.37.4.1
9일 서울 을지로 한빛미디어파크에서 열린 ‘큐브(CUBE)’ 공식 출시 행사에서 만난 엄진환 한국닛산 브랜드 마케팅 총괄이사의 말이다.

9일	9/SN+일/NNB
서울	서울/NNP
을지로	을지로/NNP
한빛미디어파크에서	한빛미디어파크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘큐브(CUBE)’	‘/SS+큐브/NNP+(/SS+CUBE/SL+)/SS+’/SS
공식	공식/NNG
출시	출시/NNG
행사에서	행사/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
엄진환	엄진환/NNP
한국닛산	한국닛산/NNP
브랜드	브랜드/NNG
마케팅	마케팅/NNG
총괄이사의	총괄/NNG+이사/NNG+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.4.2
‘이효리차’로 유명한 큐브는 사전계약 물량이 5주 만에 1200대를 넘어섰다.

‘이효리차’로	‘/SS+이효리/NNP+차/NNG+’/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
큐브는	큐브/NNP+는/JX
사전계약	사전/NNG+계약/NNG
물량이	물량/NNG+이/JKS
5주	5/SN+주/NNB
만에	만/NNB+에/JKB
1200대를	1200/SN+대/NNB+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.37.4.3
닛산과 인피니티 브랜드를 합쳐 국내 판매량이 월 300대 남짓에 불과한 한국닛산으로선 ‘놀라운’ 기록이다.

닛산과	닛산/NNP+과/JC
인피니티	인피니티/NNP
브랜드를	브랜드/NNG+를/JKO
합쳐	합치/VV+어/EC
국내	국내/NNG
판매량이	판매량/NNG+이/JKS
월	월/NNG
300대	300/SN+대/NNB
남짓에	남짓/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
한국닛산으로선	한국닛산/NNP+으로서/JKB+ㄴ/JX
‘놀라운’	‘/SS+놀랍/VA+ㄴ/ETM+’/SS
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.4.4
수입차 가운데 월 판매량이 500대를 넘는 모델은 베엠베(BMW)의 520디(d), 528, 메르세데스-벤츠의 이(E)300 정도뿐이다.

수입차	수입차/NNG
가운데	가운데/NNG
월	월/NNG
판매량이	판매량/NNG+이/JKS
500대를	500/SN+대/NNB+를/JKO
넘는	넘/VV+는/ETM
모델은	모델/NNG+은/JX
베엠베(BMW)의	베엠베/NNP+(/SS+BMW/SL+)/SS+의/JKG
520디(d),	520디/NNP+(/SS+d/SL+)/SS+,/SP
528,	528/SN+,/SP
메르세데스-벤츠의	메르세데스/NNP+-/SO+벤츠/NNP+의/JKG
이(E)300	이/NA+(/SS+E/SL+)/SS+300/SN
정도뿐이다.	정도/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.5.1
큐브의 돌풍은 ‘삼박자’가 맞아떨어진 결과다.

큐브의	큐브/NNP+의/JKG
돌풍은	돌풍/NNG+은/JX
‘삼박자’가	‘/SS+삼박자/NNG+’/SS+가/JKS
맞아떨어진	맞아떨어지/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.5.2
우선 바퀴 위에 박스를 올려놓은 듯한 독특한 디자인이 젊은층의 관심을 모았다.

우선	우선/MAG
바퀴	바퀴/NNG
위에	위/NNG+에/JKB
박스를	박스/NNG+를/JKO
올려놓은	올려놓/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
