# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.7
metadata : {}


# id : NWRW1800000025.7.1.1
천일염, 명품으로 키운다

천일염,	천일염/NNG+,/SP
명품으로	명품/NNG+으로/JKB
키운다	키우/VV+ㄴ다/EF


# id : NWRW1800000025.7.2.1
전남 신안군 진도면에 자리 잡은 462만 m² 규모의 태평염전은 국내 염전 중 최대 규모를 자랑한다.

전남	전남/NNP
신안군	신안군/NNP
진도면에	진도면/NNP+에/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
462만	462/SN+만/NR
m²	m²/SW
규모의	규모/NNG+의/JKG
태평염전은	태평/NNP+염전/NNG+은/JX
국내	국내/NNG
염전	염전/NNG
중	중/NNB
최대	최대/NNG
규모를	규모/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.2.2
지난해 1만5000t가량의 천일염을 생산해 30여억 원의 매출을 올렸지만 시설 개선 작업은 엄두조차 못 내고 있다.

지난해	지난해/NNG
1만5000t가량의	1/SN+만/NR+5000/SN+t/SW+가량/XSN+의/JKG
천일염을	천일염/NNG+을/JKO
생산해	생산/NNG+하/XSV+아/EC
30여억	30/SN+여/XSN+억/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올렸지만	올리/VV+었/EP+지만/EC
시설	시설/NNG
개선	개선/NNG
작업은	작업/NNG+은/JX
엄두조차	엄두/NNG+조차/JX
못	못/MAG
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.7.2.3
매출 중 인건비를 제외하면 남는 것이 별로 없기 때문.

매출	매출/NNG
중	중/NNB
인건비를	인건비/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
남는	남/VV+는/ETM
것이	것/NNB+이/JKS
별로	별로/MAG
없기	없/VA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.7.2.4
김종률 대표이사는 “1953년부터 염전을 시작해 시설이 노후하지만 천일염 가격이 낮아 시설 개선비용을 따로 충당할 수가 없다”고 털어놓았다.

김종률	김종률/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
“1953년부터	“/SS+1953/SN+년/NNB+부터/JX
염전을	염전/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
시설이	시설/NNG+이/JKS
노후하지만	노후/NNG+하/XSA+지만/EC
천일염	천일염/NNG
가격이	가격/NNG+이/JKS
낮아	낮/VA+아/EC
