# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.195
metadata : {}


# id : NWRW1800000029.195.1.1
금미호 기관장 케냐 호텔서 추락사

금미호	금미호/NNP
기관장	기관장/NNG
케냐	케냐/NNP
호텔서	호텔/NNG+서/JKB
추락사	추락사/NNG


# id : NWRW1800000029.195.2.1
김용현씨… 유서는 발견안돼, 추락전 말다툼 케냐 여성 수사

김용현씨…	김용현/NNP+씨/NNB+…/SE
유서는	유서/NNG+는/JX
발견안돼,	발견/NNG+안/MAG+되/XSV+어/EF+,/SP
추락전	추락/NNG+전/NNG
말다툼	말다툼/NNG
케냐	케냐/NNP
여성	여성/NNG
수사	수사/NNG


# id : NWRW1800000029.195.3.1
소말리아 해적에게 납치됐다가 풀려난 금미305호 기관장 김용현 씨(68)가 17일 머물고 있던 케냐 몸바사 항의 한 호텔에서 추락해 숨졌다.

소말리아	소말리아/NNP
해적에게	해적/NNG+에게/JKB
납치됐다가	납치/NNG+되/XSV+었/EP+다가/EC
풀려난	풀려나/VV+ㄴ/ETM
금미305호	금미305호/NNP
기관장	기관장/NNG
김용현	김용현/NNP
씨(68)가	씨/NNB+(/SS+68/SN+)/SS+가/JKS
17일	17/SN+일/NNB
머물고	머물/VV+고/EC
있던	있/VX+던/ETM
케냐	케냐/NNP
몸바사	몸바사/NNP
항의	항/NNG+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
추락해	추락/NNG+하/XSV+아/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.195.4.1
외교통상부 당국자는 “김 씨가 오전 2시 25분경(현지 시간) 몸바사 항 캐슬로열호텔 4층 베란다에서 추락해 사망했다”고 밝혔다.

외교통상부	외교/NNG+통상부/NNG
당국자는	당국자/NNG+는/JX
“김	“/SS+김/NNP
씨가	씨/NNB+가/JKS
오전	오전/NNG
2시	2/SN+시/NNB
25분경(현지	25/SN+분/NNB+경/XSN+(/SS+현지/NNG
시간)	시간/NNG+)/SS
몸바사	몸바사/NNP
항	항/NNG
캐슬로열호텔	캐슬로열호텔/NNP
4층	4/SN+층/NNG
베란다에서	베란다/NNG+에서/JKB
추락해	추락/NNG+하/XSV+아/EC
사망했다”고	사망/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.195.4.2
이 당국자는 “현지 경찰이 추락사 직전 김 씨가 호텔 방 안에 있던 케냐 여성 한 명과 말다툼을 했다는 경비원의 진술을 확보하고 이 케냐인을 체포해 조사하고 있다”며 “정확한 추락 경위와 사인은 밝혀지지 않았다”고 밝혔다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“현지	“/SS+현지/NNG
경찰이	경찰/NNG+이/JKS
추락사	추락사/NNG
직전	직전/NNG
김	김/NNP
씨가	씨/NNB+가/JKS
호텔	호텔/NNG
방	방/NNG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
케냐	케냐/NNP
여성	여성/NNG
한	한/MMN
명과	명/NNB+과/JKB
