# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.418
metadata : {}


# id : NWRW1800000022.418.1.1
국제 과학비즈니스 벨트 세종시 유치 공식 건의;민관합동委 안건 구체화

국제	국제/NNG
과학비즈니스	과학/NNG+비즈니스/NNG
벨트	벨트/NNG
세종시	세종시/NNP
유치	유치/NNG
공식	공식/NNG
건의;민관합동委	건의/NNG+;/SW+민관/NNG+합동/NNG+委/SH
안건	안건/NNG
구체화	구체/NNG+화/XSN


# id : NWRW1800000022.418.2.1
이명박 대통령은 11월 30일 "세종시 수정과 관련해 정부가 좀 빠르게 대안(代案)을 제시하고 (그 뒤) 국민의 판단을 받는 게 좋겠다"고 밝혔다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
11월	11/SN+월/NNB
30일	30/SN+일/NNB
"세종시	"/SS+세종시/NNP
수정과	수정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
정부가	정부/NNG+가/JKS
좀	좀/MAG
빠르게	빠르/VA+게/EC
대안(代案)을	대안/NNG+(/SS+代案/SH+)/SS+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
(그	(/SS+그/MMD
뒤)	뒤/NNG+)/SS
국민의	국민/NNG+의/JKG
판단을	판단/NNG+을/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.418.3.1
이 대통령은 이날 청와대에서 정몽준 대표 등 한나라당 최고위원단과 가진 조찬간담회에서 "세종시와 4대강 사업과 관련해 우리 사회에 갈등이 생긴 것이 가슴 아프고 세계 여러 나라는 앞서가려고 경쟁하는데 국내는 갈등하고 있어 걱정스럽다"며 이같이 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
청와대에서	청와대/NNP+에서/JKB
정몽준	정몽준/NNP
대표	대표/NNG
등	등/NNB
한나라당	한나라당/NNP
최고위원단과	최고/NNG+위원단/NNG+과/JKB
가진	가지/VV+ㄴ/ETM
조찬간담회에서	조찬/NNG+간담회/NNG+에서/JKB
"세종시와	"/SS+세종시/NNP+와/JC
4대강	4/SN+대/NNG+강/NNG
사업과	사업/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
우리	우리/NP
사회에	사회/NNG+에/JKB
갈등이	갈등/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
것이	것/NNB+이/JKS
가슴	가슴/NNG
아프고	아프/VA+고/EC
세계	세계/NNG
여러	여러/MMN
나라는	나라/NNG+는/JX
앞서가려고	앞서가/VV+려고/EC
경쟁하는데	경쟁/NNG+하/XSV+는데/EC
국내는	국내/NNG+는/JX
갈등하고	갈등/NNG+하/XSV+고/EC
있어	있/VX+어/EC
걱정스럽다"며	걱정/NNG+스럽/XSA+다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.418.3.2
정치권, 특히 여권 내에서도 주류와 비주류가 나뉘어 찬반 논쟁을 벌이는 등 세종시 문제가 국론 분열 양상으로 치닫는 만큼, 조기에 정부의 대안을 제시해 논란을 매듭짓겠다는 뜻으로 보인다.

정치권,	정치/NNG+권/XSN+,/SP
특히	특히/MAG
여권	여권/NNG
내에서도	내/NNB+에서/JKB+도/JX
주류와	주류/NNG+와/JC
비주류가	비/XPN+주류/NNG+가/JKS
나뉘어	나뉘/VV+어/EC
찬반	찬반/NNG
논쟁을	논쟁/NNG+을/JKO
벌이는	벌이/VV+는/ETM
등	등/NNB
세종시	세종시/NNP
문제가	문제/NNG+가/JKS
국론	국론/NNG
분열	분열/NNG
양상으로	양상/NNG+으로/JKB
치닫는	치닫/VV+는/ETM
만큼,	만큼/NNB+,/SP
조기에	조기/NNG+에/JKB
정부의	정부/NNG+의/JKG
대안을	대안/NNG+을/JKO
제시해	제시/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
매듭짓겠다는	매듭짓/VV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.418.4.1
이 대통령은 "정부가 대안 마련을 서두를 테니 당정이 서로 협조해 대안을 제시하는 게 좋겠다. 당이 하나의 모습으로 나와줬으면 좋겠다"고도 했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"정부가	"/SS+정부/NNG+가/JKS
대안	대안/NNG
마련을	마련/NNG+을/JKO
서두를	서두르/VV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
당정이	당정/NNG+이/JKS
서로	서로/MAG
협조해	협조/NNG+하/XSV+아/EC
대안을	대안/NNG+을/JKO
제시하는	제시/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋겠다.	좋/VA+겠/EP+다/EF+./SF
당이	당/NNG+이/JKS
하나의	하나/NR+의/JKG
모습으로	모습/NNG+으로/JKB
나와줬으면	나오/VV+아/EC+주/VX+었/EP+으면/EC
좋겠다"고도	좋/VA+겠/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.418.5.1
세종시 수정 실무작업을 주도하고 있는 정운찬 총리도 이날 열린 세종시민관합동위원회 3차회의에서 "세종시 수정과 관련한 정부 입장에 대한 근거 없는 오해와 불안감이 논란을 악화시키고 있다"며 "세종시위원회가 신속히 발전방안을 내놓아야 한다"고 했다.

세종시	세종시/NNP
수정	수정/NNG
실무작업을	실무/NNG+작업/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
정운찬	정운찬/NNP
총리도	총리/NNG+도/JX
이날	이날/NNG
열린	열리/VV+ㄴ/ETM
세종시민관합동위원회	세종시민관합동위원회/NNP
3차회의에서	3/SN+차/NNB+회의/NNG+에서/JKB
"세종시	"/SS+세종시/NNP
수정과	수정/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
정부	정부/NNG
입장에	입장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
근거	근거/NNG
없는	없/VA+는/ETM
오해와	오해/NNG+와/JC
불안감이	불안감/NNG+이/JKS
논란을	논란/NNG+을/JKO
악화시키고	악화/NNG+시키/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"세종시위원회가	"/SS+세종시위원회/NNP+가/JKS
신속히	신속히/MAG
발전방안을	발전/NNG+방안/NNG+을/JKO
내놓아야	내놓/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.418.6.1
이에 따라 세종시위원회는 이 대통령의 대선공약인 국제과학비즈니스벨트의 세종시 유치를 정부에 공식 건의하기로 결정하는 등 자족기능 확충 방안을 구체화하기 시작했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
세종시위원회는	세종시위원회/NNP+는/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
대선공약인	대선/NNG+공약/NNG+이/VCP+ㄴ/ETM
국제과학비즈니스벨트의	국제/NNG+과학/NNG+비즈니스/NNG+벨트/NNG+의/JKG
세종시	세종시/NNP
유치를	유치/NNG+를/JKO
정부에	정부/NNG+에/JKB
공식	공식/NNG
건의하기로	건의/NNG+하/XSV+기/ETN+로/JKB
결정하는	결정/NNG+하/XSV+는/ETM
등	등/NNB
자족기능	자족/NNG+기능/NNG
확충	확충/NNG
방안을	방안/NNG+을/JKO
구체화하기	구체/NNG+화/XSN+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.418.7.1
송석구 세종시위원회 공동위원장은 "세종시에 과학비즈니스벨트가 입주할 경우 인근 대덕·오송·오창 등과의 연계발전이 가능할 것"이라고 했다.

송석구	송석구/NNP
세종시위원회	세종시위원회/NNP
공동위원장은	공동/NNG+위원장/NNG+은/JX
"세종시에	"/SS+세종시/NNP+에/JKB
과학비즈니스벨트가	과학/NNG+비즈니스/NNG+벨트/NNG+가/JKS
입주할	입주/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
인근	인근/NNG
대덕·오송·오창	대덕/NNP+·/SP+오송/NNP+·/SP+오창/NNP
등과의	등/NNB+과/JKB+의/JKG
연계발전이	연계/NNG+발전/NNG+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.418.7.2
그러나 이날 회의에서 원안(原案)에 규정된 '정부부처(9부2처2청) 이전' 백지화 또는 대폭 축소 문제는 위원 간에 '부처 이전시 행정비효율이 심각하다'는 주장과 '이전을 백지화할 경우 정책 일관성과 정부 신뢰성이 땅에 떨어질 것'이라는 의견이 맞서 합의에 이르지 못한 것으로 전해졌다.

그러나	그러나/MAJ
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
원안(原案)에	원안/NNG+(/SS+原案/SH+)/SS+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
'정부부처(9부2처2청)	'/SS+정부/NNG+부처/NNG+(/SS+9/SN+부/NNG+2/SN+처/NNG+2/SN+청/NNG+)/SS
이전'	이전/NNG+'/SS
백지화	백지/NNG+화/XSN
또는	또는/MAG
대폭	대폭/MAG
축소	축소/NNG
문제는	문제/NNG+는/JX
위원	위원/NNG
간에	간/NNB+에/JKB
'부처	'/SS+부처/NNG
이전시	이전/NNG+시/NNB
행정비효율이	행정/NNG+비/XPN+효율/NNG+이/JKS
심각하다'는	심각하/VA+다/EF+'/SS+는/ETM
주장과	주장/NNG+과/JC
'이전을	'/SS+이전/NNG+을/JKO
백지화할	백지/NNG+화/XSN+하/XSV+ㄹ/ETM
경우	경우/NNG
정책	정책/NNG
일관성과	일관/NNG+성/XSN+과/JC
정부	정부/NNG
신뢰성이	신뢰/NNG+성/XSN+이/JKS
땅에	땅/NNG+에/JKB
떨어질	떨어지/VV+ㄹ/ETM
것'이라는	것/NNB+'/SS+이/VCP+라는/ETM
의견이	의견/NNG+이/JKS
맞서	맞서/VV+어/EC
합의에	합의/NNG+에/JKB
이르지	이르/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.418.7.3
정부는 다음 주 중 이 문제에 대한 세종시위원회의 최종 의견을 들은 뒤 12월 10일을 전후해 최종 대안을 제시할 것으로 알려졌다.

정부는	정부/NNG+는/JX
다음	다음/NNG
주	주/NNG
중	중/NNB
이	이/MMD
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세종시위원회의	세종시위원회/NNP+의/JKG
최종	최종/NNG
의견을	의견/NNG+을/JKO
들은	듣/VV+은/ETM
뒤	뒤/NNG
12월	12/SN+월/NNB
10일을	10/SN+일/NNB+을/JKO
전후해	전후/NNG+하/XSV+아/EC
대안을	대안/NNG+을/JKO
제시할	제시/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


