# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.167
metadata : {}


# id : NWRW1800000030.167.1.1
"빚 갚는데 번 돈 다 쓴다" 중산층 4가구 중 1가구는 적자

"빚	"/SS+빚/NNG
갚는데	갚/VV+는데/EC
번	벌/VV+ㄴ/ETM
돈	돈/NNG
다	다/MAG
쓴다"	쓰/VV+ㄴ다/EF+"/SS
중산층	중산/NNG+층/XSN
4가구	4/SN+가구/NNG
중	중/NNB
1가구는	1/SN+가구/NNG+는/JX
적자	적자/NNG


# id : NWRW1800000030.167.2.1
•한국 중산층의 삶 보고서…중산층비중 20년새 7.9%p 줄어

•한국	•/SW+한국/NNP
중산층의	중산/NNG+층/XSN+의/JKG
삶	삶/NNG
보고서…중산층비중	보고서/NNG+…/SE+중산/NNG+층/XSN+비중/NNG
20년새	20/SN+년/NNB+새/NNG
7.9%p	7/SN+./SP+9/SN+%p/SW
줄어	줄/VV+어/EF


# id : NWRW1800000030.167.3.1
대기업 차장으로 근무하는 김성신(42·가명)씨의 연봉은 세전 기준으로 6000만원가량 된다.

대기업	대/XPN+기업/NNG
차장으로	차장/NNG+으로/JKB
근무하는	근무/NNG+하/XSV+는/ETM
김성신(42·가명)씨의	김성신/NNP+(/SS+42/SN+·/SP+가명/NNG+)/SS+씨/NNB+의/JKG
연봉은	연봉/NNG+은/JX
세전	세전/NNG
기준으로	기준/NNG+으로/JKB
6000만원가량	6000/SN+만/NR+원/NNB+가량/XSN
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.167.3.2
이 정도면 적지는 않다는 게 김씨 생각이다.

이	이/MMD
정도면	정도/NNG+이/VCP+면/EC
적지는	적/VA+지/EC+는/JX
않다는	않/VX+다는/ETM
게	거/NNB+이/JKS
김씨	김/NNP+씨/NNB
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.167.3.3
하지만 초등학교에 다니는 자녀 학원비와 대출 이자를 내다 보면 가계부가 적자가 되는 경우가 많다.

하지만	하지만/MAJ
초등학교에	초등학교/NNG+에/JKB
다니는	다니/VV+는/ETM
자녀	자녀/NNG
학원비와	학원비/NNG+와/JC
대출	대출/NNG
이자를	이자/NNG+를/JKO
내다	내/VV+다/EC
보면	보/VX+면/EC
가계부가	가계부/NNG+가/JKS
적자가	적자/NNG+가/JKC
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.167.3.4
석 달마다 나오는 상여금으로 그동안 쌓인 마이너스통장 잔액을 지우는 게 그의 일상이다.

석	석/MMN
달마다	달/NNB+마다/JX
나오는	나오/VV+는/ETM
상여금으로	상여금/NNG+으로/JKB
그동안	그동안/NNG
쌓인	쌓이/VV+ㄴ/ETM
