# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.352
metadata : {}


# id : NWRW1800000026.352.1.1
[더 나은 미래] 난민 신청자, 법 지키고 굶어 죽든지… 법 어기고 살든지;UN난민협약 60주년 앞둔 한국의 난민보호 실태 김구 선생·김대중 前대통령 망명도

[더	[/SS+더/MAG
나은	낫/VA+은/ETM
미래]	미래/NNG+]/SS
난민	난민/NNG
신청자,	신청자/NNG+,/SP
법	법/NNG
지키고	지키/VV+고/EC
굶어	굶/VV+어/EC
죽든지…	죽/VV+든지/EC+…/SE
어기고	어기/VV+고/EC
살든지;UN난민협약	살/VV+든지/EC+;/SP+UN/SL+난민/NNG+협약/NNG
60주년	60/SN+주년/NNB
앞둔	앞두/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
난민보호	난민/NNG+보호/NNG
실태	실태/NNG
김구	김구/NNP
선생·김대중	선생/NNG+·/SP+김대중/NNP
前대통령	前/SH+대통령/NNG
망명도	망명/NNG+도/JX


# id : NWRW1800000026.352.2.1
2011년은 UN난민협약이 마련된 지 60년이 되는 해다.

2011년은	2011/SN+년/NNB+은/JX
UN난민협약이	UN/SL+난민/NNG+협약/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
지	지/NNB
60년이	60/SN+년/NNB+이/JKC
되는	되/VV+는/ETM
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.352.2.2
이 협약은 난민을 인종이나 종교, 정치적 견해 등의 이유로 박해를 받아 모국을 떠난 사람으로 규정하고 있다.

이	이/MMD
협약은	협약/NNG+은/JX
난민을	난민/NNG+을/JKO
인종이나	인종/NNG+이나/JC
종교,	종교/NNG+,/SP
정치적	정치/NNG+적/XSN
견해	견해/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
박해를	박해/NNG+를/JKO
받아	받/VV+아/EC
모국을	모국/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.352.2.3
우리나라는 1992년 난민협약에 가입한 후 2001년 첫 난민을 받기 시작했으며, 현재까지 총 210명을 인정했다.

우리나라는	우리나라/NNG+는/JX
1992년	1992/SN+년/NNB
난민협약에	난민/NNG+협약/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
후	후/NNG
2001년	2001/SN+년/NNB
첫	첫/MMN
난민을	난민/NNG+을/JKO
받기	받/VV+기/ETN
시작했으며,	시작/NNG+하/XSV+았/EP+으며/EC+,/SP
현재까지	현재/NNG+까지/JX
총	총/MMA
210명을	210/SN+명/NNB+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.352.2.4
UN난민기구 등은 국내 난민의 지위와 처우에 관한 법률이 없음을 지적해 왔다.

UN난민기구	UN난민기구/NNP
등은	등/NNB+은/JX
국내	국내/NNG
난민의	난민/NNG+의/JKG
지위와	지위/NNG+와/JC
처우에	처우/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률이	법률/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
지적해	지적/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.352.2.5
더나은미래 팀은 협약 체결 60주년을 앞두고 한국의 난민보호 실태를 점검해봤다.

더나은미래	더/MAG+낫/VA+은/ETM+미래/NNG
팀은	팀/NNG+은/JX
협약	협약/NNG
체결	체결/NNG
60주년을	60/SN+주년/NNB+을/JKO
앞두고	앞두/VV+고/EC
한국의	한국/NNP+의/JKG
난민보호	난민/NNG+보호/NNG
실태를	실태/NNG+를/JKO
점검해봤다.	점검/NNG+하/XSV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.352.2.6
편집자

편집자	편집자/NNG


# id : NWRW1800000026.352.3.1
나이지리아 출신 기독교인 니키(가명·44)씨는 1990년 무슬림 가정의 남편과 결혼했다.

나이지리아	나이지리아/NNP
출신	출신/NNG
기독교인	기독교인/NNG
니키(가명·44)씨는	니키/NNP+(/SS+가명/NNG+·/SP+44/SN+)/SS+씨/NNB+는/JX
1990년	1990/SN+년/NNB
무슬림	무슬림/NNG
가정의	가정/NNG+의/JKG
남편과	남편/NNG+과/JKB
결혼했다.	결혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.352.3.2
남편 집안의 반대를 무릅쓰고 결혼한 니키씨는 세 명의 아이와 함께 행복한 가정을 꾸렸고, 남편은 기독교로 개종했다.

