# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.39
metadata : {}


# id : NWRW1800000053.39.1.1
中 “올 성장률 6.5% 목표”… ‘바오치(保七)’ 공식 포기

中	中/SH
“올	“/SS+올/NNG
성장률	성장/NNG+률/XSN
6.5%	6/SN+./SP+5/SN+%/SW
목표”…	목표/NNG+”/SS+…/SE
‘바오치(保七)’	‘/SS+바오치/NNG+(/SS+保七/SH+)/SS+’/SS
공식	공식/NNG
포기	포기/NNG


# id : NWRW1800000053.39.2.1
리커창, 전국인대 개막식서 밝혀… 국방비 7% 늘려 1조 위안 첫 돌파

리커창,	리커창/NNP+,/SP
전국인대	전국인대/NNP
개막식서	개막식/NNG+서/JKB
밝혀…	밝히/VV+어/EF+…/SE
국방비	국방비/NNG
7%	7/SN+%/SW
늘려	늘리/VV+어/EC
1조	1/SN+조/NR
위안	위안/NNB
첫	첫/MMN
돌파	돌파/NNG


# id : NWRW1800000053.39.3.1
중국 정부가 5일 올해 경제성장률 목표치를 6.5%로 제시해 ‘바오치(保七·7% 성장률 유지)’ 시대의 종식을 알렸다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
5일	5/SN+일/NNB
올해	올해/NNG
경제성장률	경제/NNG+성장/NNG+률/XSN
목표치를	목표/NNG+치/XSN+를/JKO
6.5%로	6/SN+./SP+5/SN+%/SW+로/JKB
제시해	제시/NNG+하/XSV+아/EC
‘바오치(保七·7%	‘/SS+바오치/NNG+(/SS+保七/SH+·/SP+7/SN+%/SW
성장률	성장/NNG+률/XSN
유지)’	유지/NNG+)/SS+’/SS
시대의	시대/NNG+의/JKG
종식을	종식/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.3.2
중국 경제성장률 목표치에서 ‘7%’가 빠진 것은 처음이다.

중국	중국/NNP
경제성장률	경제/NNG+성장/NNG+률/XSN
목표치에서	목표/NNG+치/XSN+에서/JKB
‘7%’가	‘/SS+7/SN+%/SW+’/SS+가/JKS
빠진	빠지/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.39.3.3
관심을 모았던 국방 예산 증가율은 ‘7% 안팎’으로 제시돼 중국 국방비가 사상 처음으로 1조 위안(약 170조 원)을 돌파하게 됐다.

관심을	관심/NNG+을/JKO
모았던	모으/VV+았/EP+던/ETM
국방	국방/NNG
예산	예산/NNG
증가율은	증가/NNG+율/XSN+은/JX
