# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.395
metadata : {}


# id : NWRW1800000028.395.1.1
한화케미칼, 복제약품 첫 수출

한화케미칼,	한화케미칼/NNP+,/SP
복제약품	복제/NNG+약품/NNG
첫	첫/MMN
수출	수출/NNG


# id : NWRW1800000028.395.2.1
한화케미칼이 바이오시밀러(복제약품)의 첫 수출 계약을 맺었다.

한화케미칼이	한화케미칼/NNP+이/JKS
바이오시밀러(복제약품)의	바이오시밀러/NNG+(/SS+복제/NNG+약품/NNG+)/SS+의/JKG
첫	첫/MMN
수출	수출/NNG
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.395.2.2
바이오시밀러 사업을 신성장 동력으로 추진하는 대기업 중에서는 최초의 성과다.

바이오시밀러	바이오시밀러/NNG
사업을	사업/NNG+을/JKO
신성장	신/XPN+성장/NNG
동력으로	동력/NNG+으로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
대기업	대/XPN+기업/NNG
중에서는	중/NNB+에서/JKB+는/JX
최초의	최초/NNG+의/JKG
성과다.	성과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.395.3.1
한화케미칼은 9일 자체 개발한 류머티즘성 관절염 치료제 ‘에이치디(HD)203’을 터키의 제약사 뎀과 브라질 베르가모에 판매하는 계약을 맺었다고 밝혔다.

한화케미칼은	한화케미칼/NNP+은/JX
9일	9/SN+일/NNB
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
류머티즘성	류머티즘/NNG+성/XSN
관절염	관절염/NNG
치료제	치료제/NNG
‘에이치디(HD)203’을	‘/SS+에이치디/NNG+(/SS+HD/SL+)/SS+203/SN+’/SS+을/JKO
터키의	터키/NNP+의/JKG
제약사	제약사/NNG
뎀과	뎀/NNP+과/JC
브라질	브라질/NNP
베르가모에	베르가모/NNP+에/JKB
판매하는	판매/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
맺었다고	맺/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.395.3.2
이 약은 각 나라에서 임상실험과 인허가 절차를 거쳐 2013년께 판매가 시작될 예정이다.

이	이/MMD
약은	약/NNG+은/JX
각	각/MMD
나라에서	나라/NNG+에서/JKB
임상실험과	임상/NNG+실험/NNG+과/JC
인허가	인허가/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
2013년께	2013/SN+년/NNB+께/XSN
판매가	판매/NNG+가/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.395.4.1
이 약은 다국적 제약기업 암젠과 와이어스가 판매하는 ‘엔브렐’의 바이오시밀러다.

이	이/MMD
약은	약/NNG+은/JX
다국적	다국적/NNG
제약기업	제약/NNG+기업/NNG
암젠과	암젠/NNP+과/JC
와이어스가	와이어스/NNP+가/JKS
판매하는	판매/NNG+하/XSV+는/ETM
‘엔브렐’의	‘/SS+엔브렐/NNP+’/SS+의/JKG
바이오시밀러다.	바이오시밀러/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.395.4.2
엔브렐은 현재 바이오 의약품 중 매출 1위를 달리고 있는 약품으로 2012년 말 특허가 만료된다.

엔브렐은	엔브렐/NNP+은/JX
현재	현재/MAG
바이오	바이오/NNG
의약품	의약품/NNG
중	중/NNB
매출	매출/NNG
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
약품으로	약품/NNG+으로/JKB
2012년	2012/SN+년/NNB
말	말/NNB
특허가	특허/NNG+가/JKS
만료된다.	만료/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.395.4.3
한화케미칼은 지난 1일 착공한 충북 청원군 오송생명과학단지 내 바이오의약품 생산공장에서 2012년 하반기부터 이 제품을 생산할 계획이다.

한화케미칼은	한화케미칼/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
착공한	착공/NNG+하/XSV+ㄴ/ETM
충북	충북/NNP
청원군	청원군/NNP
오송생명과학단지	오송생명과학단지/NNP
내	내/NNB
바이오의약품	바이오/NNG+의약품/NNG
생산공장에서	생산/NNG+공장/NNG+에서/JKB
2012년	2012/SN+년/NNB
하반기부터	하반기/NNG+부터/JX
이	이/MMD
제품을	제품/NNG+을/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.395.4.4
한화케미칼은 2006년 말부터 바이오시밀러와 항체 신약을 개발해 왔다.

한화케미칼은	한화케미칼/NNP+은/JX
2006년	2006/SN+년/NNB
말부터	말/NNB+부터/JX
바이오시밀러와	바이오시밀러/NNG+와/JC
항체	항체/NNG
신약을	신약/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


