# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.220
metadata : {}


# id : NWRW1800000036.220.1.1
퇴직자·노인 2496명, 다단계에 털렸다

퇴직자·노인	퇴직자/NNG+·/SP+노인/NNG
2496명,	2496/SN+명/NNB+,/SP
다단계에	다단계/NNG+에/JKB
털렸다	털리/VV+었/EP+다/EF


# id : NWRW1800000036.220.2.1
[한겨레] “수십조 사업” 속여 주식투자금 194억 가로채

[한겨레]	[/SS+한겨레/NNP+]/SS
“수십조	“/SS+수십조/NR
사업”	사업/NNG+”/SS
속여	속이/VV+어/EC
주식투자금	주식/NNG+투자금/NNG
194억	194/SN+억/NR
가로채	가로채/VV+어/EF


# id : NWRW1800000036.220.3.1
점심·보너스 유인…투자자 모집 수당 주기도

점심·보너스	점심/NNG+·/SP+보너스/NNG
유인…투자자	유인/NNG+…/SE+투자자/NNG
모집	모집/NNG
수당	수당/NNG
주기도	주/VV+기/ETN+도/JX


# id : NWRW1800000036.220.4.1
38년간 교직에 몸담았던 김아무개(65)씨는 2008년 친구한테서 솔깃한 이야기를 들었다.

38년간	38/SN+년/NNB+간/XSN
교직에	교직/NNG+에/JKB
몸담았던	몸담/VV+았/EP+던/ETM
김아무개(65)씨는	김/NNP+아무개/NP+(/SS+65/SN+)/SS+씨/NNB+는/JX
2008년	2008/SN+년/NNB
친구한테서	친구/NNG+한테서/JKB
솔깃한	솔깃하/VA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.4.2
친구는 “ㅌ회사가 중국과 합작해 대규모 컴퓨터 개발 사업을 할 예정이니, 이 업체 주식을 사면 3년 뒤 수백배로 불어난다”며 주식 투자를 권유했다.

친구는	친구/NNG+는/JX
“ㅌ회사가	“/SS+ㅌ/NNG+회사/NNG+가/JKS
중국과	중국/NNP+과/JKB
합작해	합작/NNG+하/XSV+아/EC
대규모	대/XPN+규모/NNG
컴퓨터	컴퓨터/NNG
개발	개발/NNG
사업을	사업/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이니,	예정/NNG+이/VCP+니/EC+,/SP
이	이/MMD
업체	업체/NNG
주식을	주식/NNG+을/JKO
사면	사/VV+면/EC
3년	3/SN+년/NNB
뒤	뒤/NNG
수백배로	수백/NR+배/NNG+로/JKB
불어난다”며	불어나/VV+ㄴ다/EF+”/SS+며/EC
주식	주식/NNG
투자를	투자/NNG+를/JKO
권유했다.	권유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.220.4.3
김씨는 “듀얼 모니터를 만드는 이 회사가 곧 삼성전자보다 더 가치가 오를 것”이라는 친구 말을 믿고 평생 모은 돈에 퇴직금까지 보태 8600만원을 투자했다.

김씨는	김/NNP+씨/NNB+는/JX
“듀얼	“/SS+듀얼/NNG
모니터를	모니터/NNG+를/JKO
만드는	만들/VV+는/ETM
이	이/MMD
회사가	회사/NNG+가/JKS
곧	곧/MAG
삼성전자보다	삼성전자/NNP+보다/JKB
더	더/MAG
가치가	가치/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
친구	친구/NNG
말을	말/NNG+을/JKO
믿고	믿/VV+고/EC
평생	평생/NNG
모은	모으/VV+ㄴ/ETM
돈에	돈/NNG+에/JKB
퇴직금까지	퇴직금/NNG+까지/JX
보태	보태/VV+어/EC
8600만원을	8600/SN+만/NR+원/NNB+을/JKO
투자했다.	투자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.220.5.1
그러나 3년이 지나도 투자금이 돌아오지 않았다.

그러나	그러나/MAJ
3년이	3/SN+년/NNB+이/JKS
지나도	지나/VV+아도/EC
투자금이	투자금/NNG+이/JKS
돌아오지	돌아오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.220.5.2
어찌 된 일인지 수소문해보니 모니터 생산은 이미 중단된 지 오래였고, 김씨가 산 주식은 금융위원회에 신고되지 않은 ‘휴지 조각’이었다.

어찌	어찌/MAG
된	되/VV+ㄴ/ETM
일인지	일/NNG+이/VCP+ㄴ지/EF
수소문해보니	수소문/NNG+하/XSV+아/EC+보/VX+니/EC
모니터	모니터/NNG
생산은	생산/NNG+은/JX
이미	이미/MAG
중단된	중단/NNG+되/XSV+ㄴ/ETM
지	지/NNB
오래였고,	오래/MAG+이/VCP+었/EP+고/EC+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
산	사/VV+ㄴ/ETM
주식은	주식/NNG+은/JX
금융위원회에	금융/NNG+위원회/NNG+에/JKB
신고되지	신고/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
‘휴지	‘/SS+휴지/NNG
조각’이었다.	조각/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.220.5.3
김씨는 “자식한테 짐이 되기 싫어 노후 생활자금을 마련하려고 투자했는데 몽땅 날렸다.

김씨는	김/NNP+씨/NNB+는/JX
“자식한테	“/SS+자식/NNG+한테/JKB
짐이	짐/NNG+이/JKC
되기	되/VV+기/ETN
싫어	싫/VA+어/EC
노후	노후/NNG
생활자금을	생활/NNG+자금/NNG+을/JKO
마련하려고	마련/NNG+하/XSV+려고/EC
투자했는데	투자/NNG+하/XSV+았/EP+는데/EC
몽땅	몽땅/MAG
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.5.4
앞으로 어찌 살아야 하느냐”며 울먹였다.

앞으로	앞/NNG+으로/JKB
어찌	어찌/MAG
살아야	살/VV+아야/EC
