# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.372
metadata : {}


# id : NWRW1800000024.372.1.1
한겨레, 대학생 선호신문 2년째 1위

한겨레,	한겨레/NNP+,/SP
대학생	대학/NNG+생/XSN
선호신문	선호/NNG+신문/NNG
2년째	2/SN+년/NNB+째/XSN
1위	1/SN+위/NNB


# id : NWRW1800000024.372.2.1
<한겨레>가 지난해에 이어 올해도 한국 대학생들이 가장 좋아하고 신뢰하는 종합일간지로 꼽혔다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
올해도	올해/NNG+도/JX
한국	한국/NNP
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
가장	가장/MAG
좋아하고	좋아하/VV+고/EC
신뢰하는	신뢰/NNG+하/XSV+는/ETM
종합일간지로	종합/NNG+일간지/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.372.3.1
<한국대학신문>이 지난달 1일부터 15일까지 전국 4년제 대학 재학생 1707명을 대상으로 실시한 ‘2009 전국 대학생 선호도 조사’에서 <한겨레>는 ‘가장 선호하는 종합일간지’와 ‘가장 신뢰하는 종합일간지’ 두 부문에서 1위를 차지했다.

<한국대학신문>이	</SS+한국대학신문/NNP+>/SS+이/JKS
지난달	지난달/NNG
1일부터	1/SN+일/NNB+부터/JX
15일까지	15/SN+일/NNB+까지/JX
전국	전국/NNG
4년제	4/SN+년/NNB+제/XSN
대학	대학/NNG
재학생	재학/NNG+생/XSN
1707명을	1707/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
‘2009	‘/SS+2009/SN
대학생	대학/NNG+생/XSN
선호도	선호도/NNG
조사’에서	조사/NNG+’/SS+에서/JKB
<한겨레>는	</SS+한겨레/NNP+>/SS+는/JX
‘가장	‘/SS+가장/MAG
선호하는	선호/NNG+하/XSV+는/ETM
종합일간지’와	종합/NNG+일간지/NNG+’/SS+와/JC
신뢰하는	신뢰/NNG+하/XSV+는/ETM
종합일간지’	종합/NNG+일간지/NNG+’/SS
두	두/MMN
부문에서	부문/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.372.3.2
각각 응답자의 35.0%와 41.1%가 한겨레를 최우선 순위에 꼽았다.

각각	각각/MAG
응답자의	응답자/NNG+의/JKG
35.0%와	35/SN+./SP+0/SN+%/SW+와/JC
41.1%가	41/SN+./SP+1/SN+%/SW+가/JKS
한겨레를	한겨레/NNP+를/JKO
최우선	최/XPN+우선/NNG
순위에	순위/NNG+에/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.372.3.3
선호도와 신뢰도 모두 2위와 3위에 오른 <경향신문>(16.8%, 16.6%)과 <중앙일보>(12.2%, 8.3%)와는 2배 이상 격차를 벌렸다.

선호도와	선호도/NNG+와/JC
신뢰도	신뢰도/NNG
모두	모두/MAG
2위와	2/SN+위/NNB+와/JC
3위에	3/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
<경향신문>(16.8%,	</SS+경향신문/NNP+>/SS+(/SS+16/SN+./SP+8/SN+%/SW+,/SP
16.6%)과	16/SN+./SP+6/SN+%/SW+)/SS+과/JC
<중앙일보>(12.2%,	</SS+중앙일보/NNP+>/SS+(/SS+12/SN+./SP+2/SN+%/SW+,/SP
8.3%)와는	8/SN+./SP+3/SN+%/SW+)/SS+와/JKB+는/JX
2배	2/SN+배/NNG
이상	이상/NNG
격차를	격차/NNG+를/JKO
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.372.4.1
올해 대학생들의 ‘한겨레 선호도와 신뢰도’는 지난해보다 더 높은 수치를 나타냈다.

올해	올해/NNG
대학생들의	대학/NNG+생/XSN+들/XSN+의/JKG
‘한겨레	‘/SS+한겨레/NNP
선호도와	선호도/NNG+와/JC
신뢰도’는	신뢰도/NNG+’/SS+는/JX
지난해보다	지난해/NNG+보다/JKB
더	더/MAG
높은	높/VA+은/ETM
수치를	수치/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.372.4.2
2008년도 조사에서도 두 부문 1위를 기록했던 한겨레의 선호도와 신뢰도는 각각 31.4%와 37.9%였다.

2008년도	2008/SN+년도/NNB
조사에서도	조사/NNG+에서/JKB+도/JX
두	두/MMN
부문	부문/NNG
1위를	1/SN+위/NNB+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
한겨레의	한겨레/NNP+의/JKG
선호도와	선호도/NNG+와/JC
신뢰도는	신뢰도/NNG+는/JX
각각	각각/MAG
31.4%와	31/SN+./SP+4/SN+%/SW+와/JC
