# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.265
metadata : {}


# id : NWRW1800000052.265.1.1
힘받는 국정교과서 철회론…교육감들도 가세

힘받는	힘/NNG+받/XSV+는/ETM
국정교과서	국정/NNG+교과서/NNG
철회론…교육감들도	철회/NNG+론/XSN+…/SE+교육감/NNG+들/XSN+도/JX
가세	가세/NNG


# id : NWRW1800000052.265.2.1
경기 이재정, 광주 장휘국 이어

경기	경기/NNP
이재정,	이재정/NNP+,/SP
광주	광주/NNP
장휘국	장휘국/NNP
이어	이어/MAG


# id : NWRW1800000052.265.3.1
서울 조희연 교육감 “철회 촉구”

서울	서울/NNP
조희연	조희연/NNP
교육감	교육감/NNG
“철회	“/SS+철회/NNG
촉구”	촉구/NNG+”/SS


# id : NWRW1800000052.265.4.1
사학계·시민단체도 잇단 회견·선언

사학계·시민단체도	사학/NNG+계/XSN+·/SP+시민/NNG+단체/NNG+도/JX
잇단	잇달/VV+ㄴ/ETM
회견·선언	회견/NNG+·/SP+선언/NNG


# id : NWRW1800000052.265.5.1
교육부는 동력 잃은채 “예정대로”

교육부는	교육부/NNG+는/JX
동력	동력/NNG
잃은채	잃/VV+은/ETM+채/NNB
“예정대로”	“/SS+예정/NNG+대로/JX+”/SS


# id : NWRW1800000052.265.6.1
박근혜 대통령의 비선실세 최순실씨의 국정농단 파문이 걷잡을 수 없이 커지고 있는 가운데, 오는 28일 공개를 앞둔 정부의 국정 역사교과서를 둘러싼 반대의 목소리도 점점 커지고 있다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
비선실세	비선/NNG+실세/NNG
최순실씨의	최순실/NNP+씨/NNB+의/JKG
국정농단	국정/NNG+농단/NNG
파문이	파문/NNG+이/JKS
걷잡을	걷잡/VV+을/ETM
수	수/NNB
없이	없이/MAG
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
오는	오/VV+는/ETM
28일	28/SN+일/NNB
공개를	공개/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
국정	국정/NNG
역사교과서를	역사/NNG+교과서/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
반대의	반대/NNG+의/JKG
목소리도	목소리/NNG+도/JX
점점	점점/MAG
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.265.6.2
국정교과서가 이른바 ‘최순실 교과서’가 아니냐는 의혹이 제기된 데다, 역사학계는 물론 시민·사회단체에 이어 교육감들까지 국정화 방침 철회를 촉구하고 나서면서 국정교과서 폐지론이 힘을 얻고 있는 상황이다.

국정교과서가	국정/NNG+교과서/NNG+가/JKS
이른바	이른바/MAG
‘최순실	‘/SS+최순실/NNP
교과서’가	교과서/NNG+’/SS+가/JKC
아니냐는	아니/VCN+냐는/ETM
의혹이	의혹/NNG+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
역사학계는	역사학/NNG+계/XSN+는/JX
물론	물론/MAG
시민·사회단체에	시민/NNG+·/SP+사회단체/NNG+에/JKB
이어	잇/VV+어/EC
교육감들까지	교육감/NNG+들/XSN+까지/JX
국정화	국정/NNG+화/XSN
방침	방침/NNG
철회를	철회/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
나서면서	나서/VV+면서/EC
국정교과서	국정/NNG+교과서/NNG
폐지론이	폐지/NNG+론/XSN+이/JKS
힘을	힘/NNG+을/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.265.6.3
교육부는 겉으로는 “예정대로 국정화를 진행하겠다”는 방침이지만, 박근혜 대통령의 국정 전반에 관한 통제력이 급속히 힘을 잃고 있어 예정대로 국정화 정책이 추진될 수 있을지는 불투명한 상황이다.

교육부는	교육부/NNG+는/JX
겉으로는	겉/NNG+으로/JKB+는/JX
“예정대로	“/SS+예정/NNG+대로/JX
국정화를	국정/NNG+화/XSN+를/JKO
진행하겠다”는	진행/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
방침이지만,	방침/NNG+이/VCP+지만/EC+,/SP
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
국정	국정/NNG
