# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.233
metadata : {}


# id : NWRW1800000032.233.1.1
현대중 골리앗·용산 남일당 망루 올랐던 31명의 편지 /“김진숙, 반드시 살아서 내려오라”

현대중	현대중/NNP
골리앗·용산	골리앗/NNP+·/SP+용산/NNP
남일당	남일당/NNP
망루	망루/NNG
올랐던	오르/VV+았/EP+던/ETM
31명의	31/SN+명/NNB+의/JKG
편지	편지/NNG
/“김진숙,	//SP+“/SS+김진숙/NNP+,/SP
반드시	반드시/MAG
살아서	살/VV+아서/EC
내려오라”	내려오/VV+라/EF+”/SS


# id : NWRW1800000032.233.2.1
지난 10년 고공농성자들 회견 “희망버스 타고 달려간다”

지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
고공농성자들	고공/NNG+농성자/NNG+들/XSN
회견	회견/NNG
“희망버스	“/SS+희망/NNG+버스/NNG
타고	타/VV+고/EC
달려간다”	달려가/VV+ㄴ다/EF+”/SS


# id : NWRW1800000032.233.3.1
현대자동차 울산공장 25m 철탑, 서울 양재동 현대기아차그룹 본사 앞 130m 타워크레인, 지엠대우자동차 부평공장 남문 30m 시시티브이(CCTV) 철탑, 4대강 사업현장 이포보 30m 교각, 기륭전자 경비실 옥상….

현대자동차	현대자동차/NNP
울산공장	울산/NNP+공장/NNG
25m	25/SN+m/SW
철탑,	철탑/NNG+,/SP
서울	서울/NNP
양재동	양재동/NNP
현대기아차그룹	현대기아차그룹/NNP
본사	본사/NNG
앞	앞/NNG
130m	130/SN+m/SW
타워크레인,	타워/NNG+크레인/NNG+,/SP
지엠대우자동차	지엠대우자동차/NNP
부평공장	부평/NNP+공장/NNG
남문	남문/NNG
30m	30/SN+m/SW
시시티브이(CCTV)	시시/NNG+티브이/NNG+(/SS+CCTV/SL+)/SS
4대강	4/SN+대/NNG+강/NNG
사업현장	사업/NNG+현장/NNG
이포보	이포보/NNP
교각,	교각/NNG+,/SP
기륭전자	기륭전자/NNP
경비실	경비실/NNG
옥상….	옥상/NNG+…/SE+./SF


# id : NWRW1800000032.233.4.1
지난 10년 동안 고공농성을 벌였던 노동자·철거민·환경운동가들이 28일 크레인 농성 204일째를 맞은 김진숙 민주노총 부산본부 지도위원에게 편지를 썼다.

지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
고공농성을	고공/NNG+농성/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
노동자·철거민·환경운동가들이	노동자/NNG+·/SP+철거민/NNG+·/SP+환경/NNG+운동가/NNG+들/XSN+이/JKS
28일	28/SN+일/NNB
크레인	크레인/NNG
농성	농성/NNG
204일째를	204/SN+일/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
김진숙	김진숙/NNP
민주노총	민주노총/NNP
부산본부	부산/NNP+본부/NNG
지도위원에게	지도/NNG+위원/NNG+에게/JKB
편지를	편지/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.233.4.2
“반드시 살아서 내려오라”고 했고, “하늘에서 뿌린 희망의 씨앗을 땅에서 함께 수확하자”고 했다.
