# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.329
metadata : {}


# id : NWRW1800000049.329.1.1
“석유-가스公 해외자원개발 기능 떼내 통폐합”

“석유-가스公	“/SS+석유/NNG+-/SO+가스/NNG+公/SH
해외자원개발	해외/NNG+자원/NNG+개발/NNG
기능	기능/NNG
떼내	떼/VV+어/EC+내/VX+어/EC
통폐합”	통폐합/NNG+”/SS


# id : NWRW1800000049.329.2.1
산업부, 경쟁력 제고 방안 발표

산업부,	산업부/NNG+,/SP
경쟁력	경쟁력/NNG
제고	제고/NNG
방안	방안/NNG
발표	발표/NNG


# id : NWRW1800000049.329.3.1
정부가 한국석유공사와 한국가스공사의 해외자원개발 기능을 분리해 통폐합하는 방안을 검토하고 있다.

정부가	정부/NNG+가/JKS
한국석유공사와	한국석유공사/NNP+와/JC
한국가스공사의	한국가스공사/NNP+의/JKG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
기능을	기능/NNG+을/JKO
분리해	분리/NNG+하/XSV+아/EC
통폐합하는	통폐합/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.329.3.2
수십조 원대 혈세를 낭비한 해외자원개발의 경쟁력을 높일 근본적인 고민 없이 공기업의 이름만 바꿔 다는 것이라는 비판이 나온다.

수십조	수십조/NR
원대	원/NNB+대/XSN
혈세를	혈세/NNG+를/JKO
낭비한	낭비/NNG+하/XSV+ㄴ/ETM
해외자원개발의	해외/NNG+자원/NNG+개발/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
고민	고민/NNG
없이	없이/MAG
공기업의	공기업/NNG+의/JKG
이름만	이름/NNG+만/JX
바꿔	바꾸/VV+어/EC
다는	달/VV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.329.4.1
산업통상자원부는 19일 해외자원개발 추진체계 개편을 위한 연구용역 결과를 발표했다.

산업통상자원부는	산업/NNG+통상/NNG+자원부/NNG+는/JX
19일	19/SN+일/NNB
해외자원개발	해외/NNG+자원/NNG+개발/NNG
추진체계	추진/NNG+체계/NNG
개편을	개편/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연구용역	연구/NNG+용역/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.4.2
이명박 정부 때 비싸게 사들였던 해외 자산이 원자재 값 하락으로 부실해지면서 해외자원개발을 추진했던 공기업들은 막대한 부채를 떠안게 됐다.

이명박	이명박/NNP
정부	정부/NNG
때	때/NNG
비싸게	비싸/VA+게/EC
사들였던	사들이/VV+었/EP+던/ETM
해외	해외/NNG
자산이	자산/NNG+이/JKS
원자재	원자재/NNG
값	값/NNG
하락으로	하락/NNG+으로/JKB
부실해지면서	부실/NNG+하/XSA+아/EC+지/VX+면서/EC
해외자원개발을	해외/NNG+자원/NNG+개발/NNG+을/JKO
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
공기업들은	공기업/NNG+들/XSN+은/JX
막대한	막대하/VA+ㄴ/ETM
부채를	부채/NNG+를/JKO
떠안게	떠안/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.329.4.3
지난해 광물자원공사의 부채비율은 6905%에 달했고 석유공사와 가스공사도 각각 453%, 321%에 달했다.

지난해	지난해/NNG
광물자원공사의	광물자원공사/NNP+의/JKG
부채비율은	부채/NNG+비율/NNG+은/JX
6905%에	6905/SN+%/SW+에/JKB
달했고	달하/VV+았/EP+고/EC
석유공사와	석유공사/NNP+와/JC
가스공사도	가스공사/NNP+도/JX
각각	각각/MAG
453%,	453/SN+%/SW+,/SP
321%에	321/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.4.4
이에 따라 산업부는 지난해 말 딜로이트 안진회계법인에 석유·가스·광물자원공사의 해외자원개발 사업 개편 방향성에 대한 연구용역을 의뢰했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
산업부는	산업부/NNG+는/JX
지난해	지난해/NNG
말	말/NNB
딜로이트	딜로이트/NNP
안진회계법인에	안진회계법인/NNP+에/JKB
석유·가스·광물자원공사의	석유/NNG+·/SP+가스/NNG+·/SP+광물자원공사/NNP+의/JKG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
사업	사업/NNG
개편	개편/NNG
방향성에	방향/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
연구용역을	연구/NNG+용역/NNG+을/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.5.1
연구 결과에 따르면 해외자원개발 기능을 기존 석유공사 및 가스공사에서 떼어내 통폐합하거나, 공기업이 갖고 있는 해외 자산과 더불어 자원개발 기능을 민간 기업 또는 자원개발 전문 자회사에 넘기는 방안이 제시됐다.

연구	연구/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
해외자원개발	해외/NNG+자원/NNG+개발/NNG
기능을	기능/NNG+을/JKO
기존	기존/NNG
석유공사	석유공사/NNP
및	및/MAG
가스공사에서	가스공사/NNP+에서/JKB
떼어내	떼/VV+어/EC+내/VX+어/EC
통폐합하거나,	통폐합/NNG+하/XSV+거나/EC+,/SP
공기업이	공기업/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
해외	해외/NNG
자산과	자산/NNG+과/JKB
더불어	더불/VV+어/EC
자원개발	자원/NNG+개발/NNG
민간	민간/NNG
기업	기업/NNG
또는	또는/MAG
전문	전문/NNG
자회사에	자회사/NNG+에/JKB
