# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.80
metadata : {}


# id : NWRW1800000029.80.1.1
CAR&Travel/시승기 - ‘올 뉴 인피니티 M’

CAR&Travel/시승기	CAR/SL+&/SW+Travel/SL+//SP+시승기/NNG
-	-/SO
‘올	‘/SS+올/NNG
뉴	뉴/NNG
인피니티	인피니티/NNP
M’	M/SL+’/SS


# id : NWRW1800000029.80.2.1
동양적 외관에 스포츠카 같은 파워

동양적	동양/NNG+적/XSN
외관에	외관/NNG+에/JKB
스포츠카	스포츠카/NNG
같은	같/VA+은/ETM
파워	파워/NNG


# id : NWRW1800000029.80.3.1
‘올 뉴 인피니티 M’은 근육질의 외부 디자인이 돋보이는 차다.

‘올	‘/SS+올/NNG
뉴	뉴/NNG
인피니티	인피니티/NNP
M’은	M/SL+’/SS+은/JX
근육질의	근육질/NNG+의/JKG
외부	외부/NNG
디자인이	디자인/NNG+이/JKS
돋보이는	돋보이/VV+는/ETM
차다.	차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.3.2
동양적인 선이 살아있으면서도 굴곡이 있는 외관은 길거리에서 사람들의 시선을 끌기에 충분하다.

동양적인	동양/NNG+적/XSN+이/VCP+ㄴ/ETM
선이	선/NNG+이/JKS
살아있으면서도	살/VV+아/EC+있/VX+으면서/EC+도/JX
굴곡이	굴곡/NNG+이/JKS
있는	있/VA+는/ETM
외관은	외관/NNG+은/JX
길거리에서	길거리/NNG+에서/JKB
사람들의	사람/NNG+들/XSN+의/JKG
시선을	시선/NNG+을/JKO
끌기에	끌/VV+기/ETN+에/JKB
충분하다.	충분하/VA+다/EF+./SF


# id : NWRW1800000029.80.3.3
인피니티 M 중에서 플래그십 세단에 해당하는 M56 스포츠(S)를 시승해봤다.

인피니티	인피니티/NNP
M	M/SL
중에서	중/NNB+에서/JKB
플래그십	플래그십/NNG
세단에	세단/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
M56	M/SL+56/SN
스포츠(S)를	스포츠/NNG+(/SS+S/SL+)/SS+를/JKO
시승해봤다.	시승/NNG+하/XSV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.80.4.1
출시 전부터 화제가 된 외관 디자인은 역동적인 느낌을 부각시켰다.

출시	출시/NNG
전부터	전/NNG+부터/JX
화제가	화제/NNG+가/JKC
된	되/VV+ㄴ/ETM
외관	외관/NNG
디자인은	디자인/NNG+은/JX
역동적인	역동/NNG+적/XSN+이/VCP+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
부각시켰다.	부각/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.80.4.2
일본에서 장인을 뜻하는 ‘다쿠미’ 기술자들이 최신 스탬핑 공법을 사용해 웨이브 스타일의 곡선형 몸체 디자인과 트렁크 디자인을 양산화하는데 성공했다.

일본에서	일본/NNP+에서/JKB
장인을	장인/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
‘다쿠미’	‘/SS+다쿠미/NNG+’/SS
기술자들이	기술자/NNG+들/XSN+이/JKS
최신	최신/NNG
스탬핑	스탬핑/NNG
공법을	공법/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
웨이브	웨이브/NNG
스타일의	스타일/NNG+의/JKG
곡선형	곡선/NNG+형/XSN
몸체	몸체/NNG
디자인과	디자인/NNG+과/JC
트렁크	트렁크/NNG
디자인을	디자인/NNG+을/JKO
양산화하는데	양산/NNG+화/XSN+하/XSV+는데/EC
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.80.5.1
그렇다고 M56 S가 외관 디자인만 뛰어난 것은 아니다.

그렇다고	그렇/VA+다고/EC
M56	M/SL+56/SN
S가	S/SL+가/JKS
외관	외관/NNG
디자인만	디자인/NNG+만/JX
뛰어난	뛰어나/VA+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.80.5.2
M56 S는 우선 외관 디자인에 놀라고 운전석에 앉으면 편의사항과 동력성능, 안전기능에 다시 놀라게 된다.

M56	M/SL+56/SN
S는	S/SL+는/JX
우선	우선/MAG
외관	외관/NNG
디자인에	디자인/NNG+에/JKB
놀라고	놀라/VV+고/EC
운전석에	운전석/NNG+에/JKB
앉으면	앉/VV+으면/EC
편의사항과	편의/NNG+사항/NNG+과/JC
동력성능,	동력/NNG+성능/NNG+,/SP
안전기능에	안전/NNG+기능/NNG+에/JKB
다시	다시/MAG
놀라게	놀라/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.80.5.3
인피니티의 첨단 기술이 집약돼 있기 때문이다.

인피니티의	인피니티/NNP+의/JKG
첨단	첨단/NNG
기술이	기술/NNG+이/JKS
집약돼	집약/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.5.4
대표적인 기능이 인피니티 드라이브 모드 셀렉터다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
기능이	기능/NNG+이/JKS
인피니티	인피니티/NNP
드라이브	드라이브/NNG
모드	모드/NNG
셀렉터다.	셀렉터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.6.1
이 기능은 엔진의 반응, 트랜스미션의 변속 스케줄, 스티어링 휠 반응을 4가지 운전 특성(스포츠, 에코, 스노, 오토)에 맞게 조절해 최적의 주행 환경을 제공한다.

이	이/MMD
기능은	기능/NNG+은/JX
엔진의	엔진/NNG+의/JKG
반응,	반응/NNG+,/SP
트랜스미션의	트랜스미션/NNG+의/JKG
변속	변속/NNG
스케줄,	스케줄/NNG+,/SP
스티어링	스티어링/NNG
휠	휠/NNG
반응을	반응/NNG+을/JKO
4가지	4/SN+가지/NNB
운전	운전/NNG
특성(스포츠,	특성/NNG+(/SS+스포츠/NNG+,/SP
에코,	에코/NNG+,/SP
스노,	스노/NNG+,/SP
오토)에	오토/NNG+)/SS+에/JKB
맞게	맞/VV+게/EC
조절해	조절/NNG+하/XSV+아/EC
최적의	최적/NNG+의/JKG
주행	주행/NNG
환경을	환경/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.80.6.2
고속도로에서는 스포츠, 막히는 시내 운전 때는 에코 모드에 놓고 운전하면 좋다.

고속도로에서는	고속/NNG+도로/NNG+에서/JKB+는/JX
스포츠,	스포츠/NNG+,/SP
막히는	막히/VV+는/ETM
시내	시내/NNG
운전	운전/NNG
때는	때/NNG+는/JX
에코	에코/NNG
모드에	모드/NNG+에/JKB
놓고	놓/VV+고/EC
운전하면	운전/NNG+하/XSV+면/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000029.80.7.1
차선이탈방지 시스템도 주목할 만하다.

차선이탈방지	차선/NNG+이탈/NNG+방지/NNG
시스템도	시스템/NNG+도/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000029.80.7.2
경고만 하고 마는 일부 차선이탈방지 시스템과는 다르기 때문이다.

경고만	경고/NNG+만/JX
하고	하/VV+고/EC
마는	말/VX+는/ETM
일부	일부/NNG
차선이탈방지	차선/NNG+이탈/NNG+방지/NNG
시스템과는	시스템/NNG+과/JKB+는/JX
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.7.3
시속 약 70km 이상 속도로 주행 때 운전자가 깜빡이를 켜지 않고 주행차로를 벗어나면 1차로 경고음을 내보내고 경고 이후에도 핸들 조작을 하지 않으면 차체자세제어장치와 연계해 각 바퀴의 브레이크 압력을 조절해 차량이 진행하던 차로로 돌아올 수 있도록 도와준다.

시속	시속/NNG
약	약/MMA
70km	70/SN+km/SW
이상	이상/NNG
속도로	속도/NNG+로/JKB
주행	주행/NNG
때	때/NNG
운전자가	운전자/NNG+가/JKS
깜빡이를	깜빡이/NNG+를/JKO
켜지	켜/VV+지/EC
않고	않/VX+고/EC
주행차로를	주행/NNG+차로/NNG+를/JKO
