# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.231
metadata : {}


# id : NWRW1800000030.231.1.1
여자농구, 2m 쌍둥이 빌딩 솟는다

여자농구,	여자/NNG+농구/NNG+,/SP
2m	2/SN+m/SW
쌍둥이	쌍둥이/NNG
빌딩	빌딩/NNG
솟는다	솟/VV+는다/EF


# id : NWRW1800000030.231.2.1
•199㎝의 17세 소녀 쑤원옌, 신한은행 선수들과 함께 훈련… 2년 후 프로무대에서 203㎝ 하은주와 호흡 기대

•199㎝의	•/SW+199/SN+㎝/SW+의/JKG
17세	17/SN+세/NNB
소녀	소녀/NNG
쑤원옌,	쑤원옌/NNP+,/SP
신한은행	신한은행/NNP
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
훈련…	훈련/NNG+…/SE
2년	2/SN+년/NNB
후	후/NNG
프로무대에서	프로/NNG+무대/NNG+에서/JKB
203㎝	203/SN+㎝/SW
하은주와	하은주/NNP+와/JC
호흡	호흡/NNG
기대	기대/NNG


# id : NWRW1800000030.231.3.1
여자 프로농구에 '트윈타워(Twin Tower)' 탄생이 멀지 않았다.

여자	여자/NNG
프로농구에	프로/NNG+농구/NNG+에/JKB
'트윈타워(Twin	'/SS+트윈/NNG+타워/NNG+(/SS+Twin/SL
Tower)'	Tower/SL+)/SS+'/SS
탄생이	탄생/NNG+이/JKS
멀지	멀/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.231.4.1
안산 신한은행엔 국내 최장신 센터 하은주(202㎝·28)가 있다.

안산	안산/NNP
신한은행엔	신한은행/NNP+에/JKB+ㄴ/JX
국내	국내/NNG
최장신	최/XPN+장신/NNG
센터	센터/NNG
하은주(202㎝·28)가	하은주/NNP+(/SS+202/SN+㎝/SW+·/SP+28/SN+)/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.231.4.2
그런데 신한은행 훈련장인 안산 와동체육관에 가면 하은주 못지않게 큰 선수가 눈에 띈다.

그런데	그런데/MAJ
신한은행	신한은행/NNP
훈련장인	훈련장/NNG+이/VCP+ㄴ/ETM
안산	안산/NNP
와동체육관에	와동체육관/NNP+에/JKB
가면	가/VV+면/EC
하은주	하은주/NNP
못지않게	못지않/VA+게/EC
큰	크/VA+ㄴ/ETM
선수가	선수/NNG+가/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.231.4.3
신한은행이 '비밀 병기'로 키우는 쑤원옌(17·蘇文燕)이다.

신한은행이	신한은행/NNP+이/JKS
'비밀	'/SS+비밀/NNG
병기'로	병기/NNG+'/SS+로/JKB
키우는	키우/VV+는/ETM
쑤원옌(17·蘇文燕)이다.	쑤원옌/NNP+(/SS+17/SN+·/SP+蘇文燕/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.231.5.1
키 199㎝에 78㎏인 쑤원옌은 2000∼2001년 국내 현대(신한은행의 전신)에서 뛰었던 중국 국가대표 출신 쉬춘메이(45·徐春梅)의 딸. "선수로 성장하려면 중국보다 한국에서 공부하고 생활하면서 체계적으로 훈련하는 게 낫다"는 어머니 뜻에 따라 3년 전 한국으로 왔다.

키	키/NNG
199㎝에	199/SN+㎝/SW+에/JKB
78㎏인	78/SN+㎏/SW+이/VCP+ㄴ/ETM
쑤원옌은	쑤원옌/NNP+은/JX
2000∼2001년	2000/SN+∼/SO+2001/SN+년/NNB
국내	국내/NNG
현대(신한은행의	현대/NNP+(/SS+신한은행/NNP+의/JKG
전신)에서	전신/NNG+)/SS+에서/JKB
뛰었던	뛰/VV+었/EP+던/ETM
중국	중국/NNP
국가대표	국가/NNG+대표/NNG
출신	출신/NNG
쉬춘메이(45·徐春梅)의	쉬춘메이/NNP+(/SS+45/SN+·/SP+徐春梅/SH+)/SS+의/JKG
딸.	딸/NNG+./SF
"선수로	"/SS+선수/NNG+로/JKB
성장하려면	성장/NNG+하/XSV+려면/EC
중국보다	중국/NNP+보다/JKB
한국에서	한국/NNP+에서/JKB
공부하고	공부/NNG+하/XSV+고/EC
생활하면서	생활/NNG+하/XSV+면서/EC
체계적으로	체계/NNG+적/XSN+으로/JKB
훈련하는	훈련/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
낫다"는	낫/VA+다/EF+"/SS+는/ETM
어머니	어머니/NNG
뜻에	뜻/NNG+에/JKB
따라	따르/VV+아/EC
3년	3/SN+년/NNB
전	전/NNG
한국으로	한국/NNP+으로/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.231.5.2
신한은행엔 어머니가 현대 선수로 뛸 때부터 각별한 사이인 전주원 코치가 있어 안심할 수 있다.

신한은행엔	신한은행/NNP+에/JKB+ㄴ/JX
어머니가	어머니/NNG+가/JKS
현대	현대/NNP
선수로	선수/NNG+로/JKB
뛸	뛰/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
각별한	각별/NNG+하/XSA+ㄴ/ETM
사이인	사이/NNG+이/VCP+ㄴ/ETM
전주원	전주원/NNP
코치가	코치/NNG+가/JKS
있어	있/VA+어/EC
안심할	안심/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.231.6.1
안산공업고등학교 1학년인 쑤원옌은 신한은행 숙소에서 생활하고, 방과 후엔 언니들과 훈련하면서 농구를 배운다.

안산공업고등학교	안산공업고등학교/NNP
1학년인	1/SN+학년/NNG+이/VCP+ㄴ/ETM
쑤원옌은	쑤원옌/NNP+은/JX
신한은행	신한은행/NNP
숙소에서	숙소/NNG+에서/JKB
생활하고,	생활/NNG+하/XSV+고/EC+,/SP
방과	방과/NNG
후엔	후/NNG+에/JKB+ㄴ/JX
언니들과	언니/NNG+들/XSN+과/JKB
훈련하면서	훈련/NNG+하/XSV+면서/EC
농구를	농구/NNG+를/JKO
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.231.6.2
엄마 역할을 맡은 전 코치는 콩나물 같은 야채를 좋아하는 쑤원옌에게 "고기도 많이 먹어야 살도 찌고 농구도 잘할 수 있다"고 다독인다.

엄마	엄마/NNG
역할을	역할/NNG+을/JKO
맡은	맡/VV+은/ETM
전	전/MMD
코치는	코치/NNG+는/JX
콩나물	콩나물/NNG
같은	같/VA+은/ETM
야채를	야채/NNG+를/JKO
좋아하는	좋아하/VV+는/ETM
쑤원옌에게	쑤원옌/NNP+에게/JKB
"고기도	"/SS+고기/NNG+도/JX
많이	많이/MAG
먹어야	먹/VV+어야/EC
살도	살/NNG+도/JX
찌고	찌/VV+고/EC
농구도	농구/NNG+도/JX
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
다독인다.	다독이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.231.6.3
농구장에서는 슛 자세나 드리블을 직접 조언해준다.

농구장에서는	농구장/NNG+에서/JKB+는/JX
슛	슛/NNG
