# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.86
metadata : {}


# id : NWRW1800000040.86.1.1
중국판 우주정거장 향해 한걸음 더…

중국판	중국판/NNG
우주정거장	우주/NNG+정거장/NNG
향해	향하/VV+아/EC
한걸음	한걸음/NNG
더…	더/MAG+…/SE


# id : NWRW1800000040.86.2.1
5번째 유인우주선 선저우 10호 발사

5번째	5/SN+번/NNB+째/XSN
유인우주선	유인/NNG+우주선/NNG
선저우	선저우/NNP
10호	10/SN+호/NNB
발사	발사/NNG


# id : NWRW1800000040.86.3.1
2020년 우주정거장 독자건설 목표

2020년	2020/SN+년/NNB
우주정거장	우주/NNG+정거장/NNG
독자건설	독자/NNG+건설/NNG
목표	목표/NNG


# id : NWRW1800000040.86.4.1
“3, 2, 1, 뎬훠(點火, 점화).”

“3,	“/SS+3/SN+,/SP
2,	2/SN+,/SP
1,	1/SN+,/SP
뎬훠(點火,	뎬훠/NA+(/SS+點火/SH+,/SP
점화).”	점화/NNG+)/SS+./SF+”/SS


# id : NWRW1800000040.86.5.1
11일 오후 5시38분, 선저우 10호가 중국 네이멍구자치구에 있는 주취안 위성발사센터에서 우주로 날아올랐다.

11일	11/SN+일/NNB
오후	오후/NNG
5시38분,	5/SN+시/NNB+38/SN+분/NNB+,/SP
선저우	선저우/NNP
10호가	10/SN+호/NNB+가/JKS
중국	중국/NNP
네이멍구자치구에	네이멍구자치구/NNP+에/JKB
있는	있/VA+는/ETM
주취안	주취안/NNP
위성발사센터에서	위성/NNG+발사/NNG+센터/NNG+에서/JKB
우주로	우주/NNG+로/JKB
날아올랐다.	날아오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.5.2
당국은 발사 19분 만에 “발사 성공”을 선언했다.

당국은	당국/NNG+은/JX
발사	발사/NNG
19분	19/SN+분/NNB
만에	만/NNB+에/JKB
“발사	“/SS+발사/NNG
성공”을	성공/NNG+”/SS+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.5.3
선저우 10호는 중국의 다섯번째 유인우주선이다.

선저우	선저우/NNP
10호는	10/SN+호/NNB+는/JX
중국의	중국/NNP+의/JKG
다섯번째	다섯/NR+번/NNB+째/XSN
유인우주선이다.	유인/NNG+우주선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.86.6.1
선저우 10호는 보름 동안 지구 궤도를 돌며 우주정거장인 톈궁 1호와 도킹을 시도한다.

선저우	선저우/NNP
10호는	10/SN+호/NNB+는/JX
보름	보름/NNG
동안	동안/NNG
지구	지구/NNG
궤도를	궤도/NNG+를/JKO
돌며	돌/VV+며/EC
우주정거장인	우주/NNG+정거장/NNG+이/VCP+ㄴ/ETM
톈궁	톈궁/NNP
1호와	1/SN+호/NNB+와/JKB
도킹을	도킹/NNG+을/JKO
시도한다.	시도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.86.6.2
