# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.18
metadata : {}


# id : NWRW1800000052.18.1.1
‘해약하면 환급 거부’ 상조서비스 주의보

‘해약하면	‘/SS+해약/NNG+하/XSV+면/EC
환급	환급/NNG
거부’	거부/NNG+’/SS
상조서비스	상조/NNG+서비스/NNG
주의보	주의보/NNG


# id : NWRW1800000052.18.2.1
장례때 추가요금 요구도 잦아

장례때	장례/NNG+때/NNG
추가요금	추가/NNG+요금/NNG
요구도	요구/NNG+도/JX
잦아	잦/VA+아/EF


# id : NWRW1800000052.18.3.1
공정위에 피해신고 잇따라

공정위에	공정위/NNG+에/JKB
피해신고	피해/NNG+신고/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000052.18.4.1
ㄱ씨는 2012년 7월 상조상품에 가입한 뒤 넉 달간 납입금을 냈다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
2012년	2012/SN+년/NNB
7월	7/SN+월/NNB
상조상품에	상조/NNG+상품/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
넉	넉/MMN
달간	달/NNB+간/XSN
납입금을	납입금/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.18.4.2
그 뒤 해당 상조업체가 다른 업체에 인수됐지만, 모두 4년 가까이 월 납입금을 넣었다.

그	그/MMD
뒤	뒤/NNG
해당	해당/NNG
상조업체가	상조업체/NNG+가/JKS
다른	다른/MMD
업체에	업체/NNG+에/JKB
인수됐지만,	인수/NNG+되/XSV+었/EP+지만/EC+,/SP
모두	모두/MAG
4년	4/SN+년/NNB
가까이	가까이/MAG
월	월/NNG
납입금을	납입금/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.18.4.3
ㄱ씨가 지난 2월 “개인 사정으로 계약을 해제하겠다”고 하자, 해당 업체는 “해약 환급금을 받으려면 민사소송을 거쳐야 한다”고 답했다.

ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
“개인	“/SS+개인/NNG
사정으로	사정/NNG+으로/JKB
