# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.364
metadata : {}


# id : NWRW1800000036.364.1.1
민주 경선 주자들 “불똥 어디로” 좌불안석

민주	민주/NNP
경선	경선/NNG
주자들	주자/NNG+들/XSN
“불똥	“/SS+불똥/NNG
어디로”	어디/NP+로/JKB+”/SS
좌불안석	좌불안석/NNG


# id : NWRW1800000036.364.2.1
[한겨레] ‘돈봉투 역풍’ 비상

[한겨레]	[/SS+한겨레/NNP+]/SS
‘돈봉투	‘/SS+돈/NNG+봉투/NNG
역풍’	역풍/NNG+’/SS
비상	비상/NNG


# id : NWRW1800000036.364.3.1
옛 민주당 출신들 “단호한 조처”속 의혹 눈초리 곤혹

옛	옛/MMA
민주당	민주당/NNP
출신들	출신/NNG+들/XSN
“단호한	“/SS+단호하/VA+ㄴ/ETM
조처”속	조처/NNG+”/SS+속/NNG
의혹	의혹/NNG
눈초리	눈초리/NNG
곤혹	곤혹/NNG


# id : NWRW1800000036.364.4.1
시민사회 후보들 “진실 밝힐것”…총선 후폭풍 걱정

시민사회	시민/NNG+사회/NNG
후보들	후보/NNG+들/XSN
“진실	“/SS+진실/NNG
밝힐것”…총선	밝히/VV+ㄹ/ETM+것/NNB+”/SS+…/SE+총선/NNG
후폭풍	후폭풍/NNG
걱정	걱정/NNG


# id : NWRW1800000036.364.5.1
한나라당에서 불거진 ‘돈봉투’ 사건이 한창 지도부 경선이 진행중인 민주통합당으로까지 불똥이 튀면서 각 캠프에 비상이 걸렸다.

한나라당에서	한나라당/NNP+에서/JKB
불거진	불거지/VV+ㄴ/ETM
‘돈봉투’	‘/SS+돈/NNG+봉투/NNG+’/SS
사건이	사건/NNG+이/JKS
한창	한창/MAG
지도부	지도부/NNG
경선이	경선/NNG+이/JKS
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
민주통합당으로까지	민주통합당/NNP+으로/JKB+까지/JX
불똥이	불똥/NNG+이/JKS
튀면서	튀/VV+면서/EC
각	각/MMD
캠프에	캠프/NNG+에/JKB
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.364.5.2
시민사회 출신 후보들이 ‘구태정치’라고 비난하면서 옛 민주당 출신들과 차별화에 나선 가운데, 자칫 ‘팀킬’(아군을 죽인다는 뜻의 게임용어)이 될까 경계하는 분위기다.

시민사회	시민/NNG+사회/NNG
출신	출신/NNG
후보들이	후보/NNG+들/XSN+이/JKS
‘구태정치’라고	‘/SS+구태/NNG+정치/NNG+’/SS+라고/JKQ
비난하면서	비난/NNG+하/XSV+면서/EC
옛	옛/MMA
민주당	민주당/NNP
출신들과	출신/NNG+들/XSN+과/JKB
차별화에	차별/NNG+화/XSN+에/JKB
나선	나서/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
자칫	자칫/MAG
‘팀킬’(아군을	‘/SS+팀킬/NNG+’/SS+(/SS+아군/NNG+을/JKO
죽인다는	죽이/VV+ㄴ다는/ETM
뜻의	뜻/NNG+의/JKG
게임용어)이	게임/NNG+용어/NNG+)/SS+이/JKC
될까	되/VV+ㄹ까/EF
경계하는	경계/NNG+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.364.6.1
각 주자들은 10일 <전주문화방송> 주최 토론회에 출연해, 하루 전 언론 보도로 불거진 12·26 예비경선 돈봉투 수수 논란을 진화하느라 진땀을 뺐다.

각	각/MMD
주자들은	주자/NNG+들/XSN+은/JX
10일	10/SN+일/NNB
<전주문화방송>	</SS+전주문화방송/NNP+>/SS
주최	주최/NNG
토론회에	토론회/NNG+에/JKB
출연해,	출연/NNG+하/XSV+아/EC+,/SP
하루	하루/NNG
전	전/NNG
언론	언론/NNG
보도로	보도/NNG+로/JKB
불거진	불거지/VV+ㄴ/ETM
12·26	12/SN+·/SP+26/SN
예비경선	예비/NNG+경선/NNG
