# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.87
metadata : {}


# id : NWRW1800000024.87.1.1
“내년 광주비엔날레, 대중과 소통하는 전시로”

“내년	“/SS+내년/NNG
광주비엔날레,	광주/NNP+비엔날레/NNG+,/SP
대중과	대중/NNG+과/JKB
소통하는	소통/NNG+하/XSV+는/ETM
전시로”	전시/NNG+로/JKB+”/SS


# id : NWRW1800000024.87.2.1
“대중성에 치우치지 않으면서도 대중과 소통하는 전시를 만들어가겠다.”

“대중성에	“/SS+대중/NNG+성/XSN+에/JKB
치우치지	치우치/VV+지/EC
않으면서도	않/VX+으면서/EC+도/JX
대중과	대중/NNG+과/JKB
소통하는	소통/NNG+하/XSV+는/ETM
전시를	전시/NNG+를/JKO
만들어가겠다.”	만들/VV+어/EC+가/VX+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000024.87.3.1
내년 광주비엔날레 예술총감독으로 10일 선임된 이탈리아인 마시밀리아노 지오니(37)는 이렇게 각오를 밝혔다.

내년	내년/NNG
광주비엔날레	광주/NNP+비엔날레/NNG
예술총감독으로	예술/NNG+총감독/NNG+으로/JKB
10일	10/SN+일/NNB
선임된	선임/NNG+되/XSV+ㄴ/ETM
이탈리아인	이탈리아인/NNG
마시밀리아노	마시밀리아노/NNP
지오니(37)는	지오니/NNP+(/SS+37/SN+)/SS+는/JX
이렇게	이렇/VA+게/EC
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.87.4.1
그는 이날 광주비엔날레재단에서 기자회견을 통해 “주방에서 작가들이 음식을 만들면 감독은 작품을 나르는 웨이터와 같다”며 작가와의 협업을 강조했다.

그는	그/NP+는/JX
이날	이날/NNG
광주비엔날레재단에서	광주/NNP+비엔날레/NNG+재단/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
통해	통하/VV+아/EC
“주방에서	“/SS+주방/NNG+에서/JKB
작가들이	작가/NNG+들/XSN+이/JKS
음식을	음식/NNG+을/JKO
만들면	만들/VV+면/EC
감독은	감독/NNG+은/JX
작품을	작품/NNG+을/JKO
나르는	나르/VV+는/ETM
웨이터와	웨이터/NNG+와/JKB
같다”며	같/VA+다/EF+”/SS+며/EC
작가와의	작가/NNG+와/JKB+의/JKG
협업을	협업/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.87.5.1
뉴욕 뉴뮤지엄 그랜드 개막전을 비롯해 50여 차례의 전시를 기획해온 지오니 감독은 기획자나 큐레이터 중심의 이론적 담론을 피하려고 작가와 동시에 전시를 기획하는 독특한 방식을 선보여왔다.

뉴욕	뉴욕/NNP
뉴뮤지엄	뉴/NNG+뮤지엄/NNG
그랜드	그랜드/NNG
개막전을	개막전/NNG+을/JKO
비롯해	비롯하/VV+아/EC
50여	50/SN+여/XSN
차례의	차례/NNG+의/JKG
전시를	전시/NNG+를/JKO
기획해온	기획/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
지오니	지오니/NNP
감독은	감독/NNG+은/JX
기획자나	기획자/NNG+나/JC
큐레이터	큐레이터/NNG
중심의	중심/NNG+의/JKG
이론적	이론/NNG+적/XSN
담론을	담론/NNG+을/JKO
피하려고	피하/VV+려고/EC
작가와	작가/NNG+와/JKB
동시에	동시/NNG+에/JKB
기획하는	기획/NNG+하/XSV+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
방식을	방식/NNG+을/JKO
선보여왔다.	선보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.87.5.2
그는 “광주비엔날레는 감독이나 예술가들의 비전을 존중하고 그들의 아이디어를 실현할 수 있도록 도움을 주는 곳으로 알고 있다”며 내년 비엔날레를 준비하는 나름의 방향을 제시했다.

그는	그/NP+는/JX
“광주비엔날레는	“/SS+광주/NNP+비엔날레/NNG+는/JX
감독이나	감독/NNG+이나/JC
예술가들의	예술가/NNG+들/XSN+의/JKG
비전을	비전/NNG+을/JKO
존중하고	존중/NNG+하/XSV+고/EC
그들의	그/NP+들/XSN+의/JKG
