# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.262
metadata : {}


# id : NWRW1800000036.262.1.1
‘납품업체 특허 도용’ 삼성쪽 패소

‘납품업체	‘/SS+납품업체/NNG
특허	특허/NNG
도용’	도용/NNG+’/SS
삼성쪽	삼성/NNP+쪽/NNB
패소	패소/NNG


# id : NWRW1800000036.262.2.1
[한겨레] 법원 “자회사 세크론, 고의·과실로 특허권 침해” 판결

[한겨레]	[/SS+한겨레/NNP+]/SS
법원	법원/NNG
“자회사	“/SS+자회사/NNG
세크론,	세크론/NNP+,/SP
고의·과실로	고의/NNG+·/SP+과실/NNG+로/JKB
특허권	특허/NNG+권/XSN
침해”	침해/NNG+”/SS
판결	판결/NNG


# id : NWRW1800000036.262.3.1
한미반도체 “손쉽게 기술 빼가는 대기업 관행에 제동”

한미반도체	한미반도체/NNP
“손쉽게	“/SS+손쉽/VA+게/EC
기술	기술/NNG
빼가는	빼/VV+어/EC+가/VX+는/ETM
대기업	대/XPN+기업/NNG
관행에	관행/NNG+에/JKB
제동”	제동/NNG+”/SS


# id : NWRW1800000036.262.4.1
반도체 제조장비 기업인 ㈜한미반도체가 “우리 회사의 특허기술을 무단으로 사용해 장비를 제조했다”며 삼성전자 자회사인 ㈜세크론을 상대로 낸 특허침해 금지 소송에서 승소했다.

반도체	반도체/NNG
제조장비	제조/NNG+장비/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
㈜한미반도체가	㈜/SW+한미반도체/NNP+가/JKS
“우리	“/SS+우리/NP
회사의	회사/NNG+의/JKG
특허기술을	특허/NNG+기술/NNG+을/JKO
무단으로	무단/NNG+으로/JKB
사용해	사용/NNG+하/XSV+아/EC
장비를	장비/NNG+를/JKO
제조했다”며	제조/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
삼성전자	삼성전자/NNP
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
㈜세크론을	㈜/SW+세크론/NNP+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
특허침해	특허/NNG+침해/NNG
금지	금지/NNG
소송에서	소송/NNG+에서/JKB
승소했다.	승소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.262.4.2
중소기업이 대기업을 상대로 한 특허 소송에서 이긴 것은 드문 일이다.

중소기업이	중소기업/NNG+이/JKS
대기업을	대/XPN+기업/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
특허	특허/NNG
소송에서	소송/NNG+에서/JKB
이긴	이기/VV+ㄴ/ETM
것은	것/NNB+은/JX
드문	드물/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.262.5.1
서울중앙지법 민사12부(재판장 김현석)는 한미반도체가 세크론을 상대로 낸 소송에서 “세크론이 고의 또는 과실에 의해 한미반도체의 특허권을 침해한 사실이 인정된다”며 “세크론이 한미반도체에 21억8000만여원을 배상하라”고 원고 일부 승소 판결했다고 6일 밝혔다.

서울중앙지법	서울중앙지법/NNP
민사12부(재판장	민사/NNG+12/SN+부/NNG+(/SS+재판장/NNG
김현석)는	김현석/NNP+)/SS+는/JX
한미반도체가	한미반도체/NNP+가/JKS
세크론을	세크론/NNP+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
“세크론이	“/SS+세크론/NNP+이/JKS
고의	고의/NNG
또는	또는/MAG
과실에	과실/NNG+에/JKB
의해	의하/VV+아/EC
한미반도체의	한미반도체/NNP+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
인정된다”며	인정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
한미반도체에	한미반도체/NNP+에/JKB
21억8000만여원을	21/SN+억/NR+8000/SN+만/NR+여/XSN+원/NNB+을/JKO
배상하라”고	배상/NNG+하/XSV+라/EF+”/SS+고/JKQ
원고	원고/NNG
일부	일부/NNG
승소	승소/NNG
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.262.5.2
재판부는 세크론의 특허침해로 인해 2006년부터 지난해까지 한미반도체가 입은 손실을 218억여원으로 산정했지만, 특허기술의 기여도를 10%만 인정했다.

재판부는	재판부/NNG+는/JX
세크론의	세크론/NNP+의/JKG
특허침해로	특허/NNG+침해/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
2006년부터	2006/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
한미반도체가	한미반도체/NNP+가/JKS
입은	입/VV+은/ETM
손실을	손실/NNG+을/JKO
218억여원으로	218/SN+억/NR+여/XSN+원/NNB+으로/JKB
산정했지만,	산정/NNG+하/XSV+았/EP+지만/EC+,/SP
특허기술의	특허/NNG+기술/NNG+의/JKG
기여도를	기여도/NNG+를/JKO
10%만	10/SN+%/SW+만/JX
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.262.6.1
이번에 특허침해가 인정된 장비는 반도체 칩을 최종 제품화하는 패키징 공정에서 사용되는 ‘소잉 앤 플레이스먼트’(Sawing & Placement)로, 2002년 한미반도체가 개발해 출시한 뒤 독일 반도체업체인 인피니온과 삼성전자 등에 납품해왔다.

이번에	이번/NNG+에/JKB
특허침해가	특허/NNG+침해/NNG+가/JKS
인정된	인정/NNG+되/XSV+ㄴ/ETM
장비는	장비/NNG+는/JX
반도체	반도체/NNG
칩을	칩/NNG+을/JKO
최종	최종/NNG
제품화하는	제품/NNG+화/XSN+하/XSV+는/ETM
패키징	패키징/NNG
공정에서	공정/NNG+에서/JKB
사용되는	사용/NNG+되/XSV+는/ETM
‘소잉	‘/SS+소잉/NNG
앤	앤/NNG
플레이스먼트’(Sawing	플레이스먼트/NNG+’/SS+(/SS+Sawing/SL
&	&/SW
Placement)로,	Placement/SL+)/SS+로/JKB+,/SP
2002년	2002/SN+년/NNB
한미반도체가	한미반도체/NNP+가/JKS
개발해	개발/NNG+하/XSV+아/EC
출시한	출시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
독일	독일/NNP
반도체업체인	반도체/NNG+업체/NNG+이/VCP+ㄴ/ETM
인피니온과	인피니온/NNP+과/JC
삼성전자	삼성전자/NNP
등에	등/NNB+에/JKB
납품해왔다.	납품/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.262.6.2
1500억원대에 이르는 연매출의 60% 정도가 이 장비의 판매에 따른 것이라고 한미반도체 쪽은 밝혔다.

1500억원대에	1500/SN+억/NR+원/NNB+대/XSN+에/JKB
이르는	이르/VV+는/ETM
연매출의	연/NNG+매출/NNG+의/JKG
60%	60/SN+%/SW
정도가	정도/NNG+가/JKS
이	이/MMD
장비의	장비/NNG+의/JKG
판매에	판매/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
한미반도체	한미반도체/NNP
쪽은	쪽/NNB+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.262.7.1
그러나 2006년부터는 삼성전자에서 주문이 끊기기 시작했고, 이를 의아하게 생각했던 한미반도체는 이후 세크론이 특허를 침해했다는 사실을 확인해 지난해 소송을 냈다.

그러나	그러나/MAJ
2006년부터는	2006/SN+년/NNB+부터/JX+는/JX
삼성전자에서	삼성전자/NNP+에서/JKB
주문이	주문/NNG+이/JKS
끊기기	끊기/VV+기/ETN
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
이를	이/NP+를/JKO
의아하게	의아/NNG+하/XSA+게/EC
생각했던	생각/NNG+하/XSV+았/EP+던/ETM
한미반도체는	한미반도체/NNP+는/JX
이후	이후/NNG
세크론이	세크론/NNP+이/JKS
특허를	특허/NNG+를/JKO
침해했다는	침해/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
확인해	확인/NNG+하/XSV+아/EC
지난해	지난해/NNG
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.262.7.2
한미반도체는 삼성전자가 장비를 납품받은 뒤 이를 자회사인 세크론에 건네줘 같은 제품을 만들게 하고, 이후 자신과의 거래를 끊고 자회사의 제품을 납품받은 것으로 의심하고 있다.

한미반도체는	한미반도체/NNP+는/JX
삼성전자가	삼성전자/NNP+가/JKS
장비를	장비/NNG+를/JKO
납품받은	납품/NNG+받/XSV+은/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
세크론에	세크론/NNP+에/JKB
건네줘	건네/VV+어/EC+주/VX+어/EC
같은	같/VA+은/ETM
제품을	제품/NNG+을/JKO
만들게	만들/VV+게/EC
하고,	하/VX+고/EC+,/SP
이후	이후/NNG
자신과의	자신/NNG+과/JKB+의/JKG
거래를	거래/NNG+를/JKO
끊고	끊/VV+고/EC
자회사의	자회사/NNG+의/JKG
것으로	것/NNB+으로/JKB
의심하고	의심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.262.7.3
2006년부터 2011년까지 세크론이 생산한 제품의 27%가 삼성전자에 판매됐다.

2006년부터	2006/SN+년/NNB+부터/JX
2011년까지	2011/SN+년/NNB+까지/JX
세크론이	세크론/NNP+이/JKS
생산한	생산/NNG+하/XSV+ㄴ/ETM
제품의	제품/NNG+의/JKG
27%가	27/SN+%/SW+가/JKS
삼성전자에	삼성전자/NNP+에/JKB
판매됐다.	판매/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.262.8.1
세크론은 삼성전자가 지분 78.1%를 보유하고 있는 삼성전자의 자회사로, 회사 임원들이 모두 삼성전자 임원 출신이다.

세크론은	세크론/NNP+은/JX
삼성전자가	삼성전자/NNP+가/JKS
지분	지분/NNG
78.1%를	78/SN+./SP+1/SN+%/SW+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
삼성전자의	삼성전자/NNP+의/JKG
자회사로,	자회사/NNG+로/JKB+,/SP
회사	회사/NNG
임원들이	임원/NNG+들/XSN+이/JKS
모두	모두/MAG
삼성전자	삼성전자/NNP
임원	임원/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.262.9.1
한미반도체는 지난 5월 특허심판원에서도 “한미반도체의 권리가 모두 유효하고 세크론 제품이 한미반도체 특허의 권리 범위 안에 들어온다”는 심결(특허심판원의 판결)을 받아낸 바 있다.

한미반도체는	한미반도체/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
특허심판원에서도	특허/NNG+심판원/NNG+에서/JKB+도/JX
“한미반도체의	“/SS+한미반도체/NNP+의/JKG
권리가	권리/NNG+가/JKS
모두	모두/MAG
유효하고	유효/NNG+하/XSA+고/EC
세크론	세크론/NNP
제품이	제품/NNG+이/JKS
한미반도체	한미반도체/NNP
특허의	특허/NNG+의/JKG
권리	권리/NNG
범위	범위/NNG
안에	안/NNG+에/JKB
들어온다”는	들어오/VV+ㄴ다/EF+”/SS+는/ETM
심결(특허심판원의	심결/NNG+(/SS+특허/NNG+심판원/NNG+의/JKG
판결)을	판결/NNG+)/SS+을/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.262.9.2
한근섭 한미반도체 상무는 “수십억원을 들여 기술을 개발해도 보상 한푼 없이 이를 손쉽게 빼가는 대기업의 관행에 제동을 걸고 싶었다”며 “권리에 대해 정당한 가치를 인정받기 위해 소송을 제기한 것”이라고 설명했다.

한근섭	한근섭/NNP
한미반도체	한미반도체/NNP
상무는	상무/NNG+는/JX
“수십억원을	“/SS+수십억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
기술을	기술/NNG+을/JKO
개발해도	개발/NNG+하/XSV+아도/EC
보상	보상/NNG
한푼	한/MMN+푼/NNB
없이	없이/MAG
이를	이/NP+를/JKO
손쉽게	손쉽/VA+게/EC
빼가는	빼/VV+어/EC+가/VX+는/ETM
대기업의	대/XPN+기업/NNG+의/JKG
관행에	관행/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
싶었다”며	싶/VX+었/EP+다/EF+”/SS+며/EC
“권리에	“/SS+권리/NNG+에/JKB
대해	대하/VV+아/EC
정당한	정당하/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
인정받기	인정/NNG+받/XSV+기/ETN
위해	위하/VV+아/EC
소송을	소송/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.262.10.1
세크론 관계자는 “세크론이 고의로 한미반도체의 특허를 침해한 사실이 없고 해당 기술은 자체 개발해낸 것”이라며 “향후 특허침해한 사실이 없음을 법적으로 인정받도록 노력할 것”이라고 말했다.

세크론	세크론/NNP
관계자는	관계자/NNG+는/JX
“세크론이	“/SS+세크론/NNP+이/JKS
고의로	고의/NNG+로/JKB
한미반도체의	한미반도체/NNP+의/JKG
특허를	특허/NNG+를/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
없고	없/VA+고/EC
해당	해당/NNG
기술은	기술/NNG+은/JX
자체	자체/NNG
개발해낸	개발/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“향후	“/SS+향후/NNG
특허침해한	특허/NNG+침해/NNG+하/XSV+ㄴ/ETM
없음을	없/VA+음/ETN+을/JKO
법적으로	법/NNG+적/XSN+으로/JKB
인정받도록	인정/NNG+받/XSV+도록/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


