# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.48
metadata : {}


# id : NWRW1800000033.48.1.1
증선위, 어울림네트웍스 前사주 고발

증선위,	증선위/NNG+,/SP
어울림네트웍스	어울림네트웍스/NNP
前사주	前/SH+사주/NNG
고발	고발/NNG


# id : NWRW1800000033.48.2.1
증자대금 허위납입해 112억 부당이득

증자대금	증자/NNG+대금/NNG
허위납입해	허위/NNG+납입/NNG+하/XSV+아/EC
112억	112/SN+억/NR
부당이득	부당/NNG+이득/NNG


# id : NWRW1800000033.48.3.1
증권선물위원회는 26일 정례회의를 열어 주식 불공정거래로 112억 원이 넘는 부당이득을 챙긴 혐의로 코스닥시장 상장기업 어울림네트웍스 전 사주(社主) 박모 씨 등 9명을 검찰에 고발했다고 밝혔다.

증권선물위원회는	증권/NNG+선물/NNG+위원회/NNG+는/JX
26일	26/SN+일/NNB
정례회의를	정례/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
주식	주식/NNG
불공정거래로	불/XPN+공정/NNG+거래/NNG+로/JKB
112억	112/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
부당이득을	부당/NNG+이득/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
코스닥시장	코스닥/NNP+시장/NNG
상장기업	상장/NNG+기업/NNG
어울림네트웍스	어울림네트웍스/NNP
전	전/MMD
사주(社主)	사주/NNG+(/SS+社主/SH+)/SS
박모	박/NNP+모/NP
씨	씨/NNB
등	등/NNB
9명을	9/SN+명/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다고	고발/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.48.4.1
증선위에 따르면 어울림네트웍스와 어울림엘시스, 어울림정보기술 등 코스닥 상장 3개사와 비상장 2개사의 실제 사주였던 박 씨는 2009년 상장사들이 자본잠식으로 상장 폐지될 위험에 놓이자 비상장사를 앞세워 사채업자에게 총 106억9000만 원을 빌렸다.

증선위에	증선위/NNG+에/JKB
따르면	따르/VV+면/EC
어울림네트웍스와	어울림네트웍스/NNP+와/JC
어울림엘시스,	어울림엘시스/NNP+,/SP
어울림정보기술	어울림정보기술/NNP
등	등/NNB
코스닥	코스닥/NNP
상장	상장/NNG
3개사와	3/SN+개사/NNB+와/JC
비상장	비/XPN+상장/NNG
2개사의	2/SN+개사/NNB+의/JKG
실제	실제/NNG
사주였던	사주/NNG+이/VCP+었/EP+던/ETM
박	박/NNP
씨는	씨/NNB+는/JX
2009년	2009/SN+년/NNB
상장사들이	상장사/NNG+들/XSN+이/JKS
자본잠식으로	자본/NNG+잠식/NNG+으로/JKB
폐지될	폐지/NNG+되/XSV+ㄹ/ETM
위험에	위험/NNG+에/JKB
놓이자	놓이/VV+자/EC
비상장사를	비상장사/NNG+를/JKO
앞세워	앞세우/VV+어/EC
사채업자에게	사채업자/NNG+에게/JKB
총	총/MMA
106억9000만	106/SN+억/NR+9000/SN+만/NR
원을	원/NNB+을/JKO
빌렸다.	빌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.48.5.1
박 씨는 이 돈으로 2009년 6월∼2011년 9월 상장 3개사가 모두 27차례의 유상증자를 실시할 때 주금을 납입한 뒤 바로 인출하는 과정을 반복해 증자대금을 낸 것으로 꾸몄다.

박	박/NNP
씨는	씨/NNB+는/JX
이	이/MMD
돈으로	돈/NNG+으로/JKB
2009년	2009/SN+년/NNB
6월∼2011년	6/SN+월/NNB+∼/SO+2011/SN+년/NNB
9월	9/SN+월/NNB
상장	상장/NNG
3개사가	3/SN+개사/NNB+가/JKS
모두	모두/MAG
27차례의	27/SN+차례/NNG+의/JKG
유상증자를	유상/NNG+증자/NNG+를/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
때	때/NNG
주금을	주금/NNG+을/JKO
납입한	납입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
바로	바로/MAG
인출하는	인출/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
반복해	반복/NNG+하/XSV+아/EC
증자대금을	증자/NNG+대금/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.48.5.2
이어 3개사로부터 받은 주식 4649만9000주를 2009년 7월∼2012년 2월에 모두 팔아 112억5000만 원의 부당이득을 챙긴 혐의를 받고 있다.

이어	이어/MAG
3개사로부터	3/SN+개사/NNB+로부터/JKB
받은	받/VV+은/ETM
주식	주식/NNG
4649만9000주를	4649/SN+만/NR+9000/SN+주/NNG+를/JKO
2009년	2009/SN+년/NNB
7월∼2012년	7/SN+월/NNB+∼/SO+2012/SN+년/NNB
2월에	2/SN+월/NNB+에/JKB
모두	모두/MAG
팔아	팔/VV+아/EC
112억5000만	112/SN+억/NR+5000/SN+만/NR
원의	원/NNB+의/JKG
부당이득을	부당/NNG+이득/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.48.6.1
또 박 씨는 올해 초 배임 및 횡령 혐의로 검찰에 고소되자 이 정보가 공시되기 전에 주식을 팔아 19억1000만 원의 손실을 피한 혐의도 받고 있다.

또	또/MAG
박	박/NNP
씨는	씨/NNB+는/JX
올해	올해/NNG
초	초/NNB
배임	배임/NNG
및	및/MAG
횡령	횡령/NNG
혐의로	혐의/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
고소되자	고소/NNG+되/XSV+자/EC
이	이/MMD
정보가	정보/NNG+가/JKS
공시되기	공시/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
주식을	주식/NNG+을/JKO
팔아	팔/VV+아/EC
19억1000만	19/SN+억/NR+1000/SN+만/NR
원의	원/NNB+의/JKG
손실을	손실/NNG+을/JKO
피한	피하/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.48.6.2
현재 어울림네트웍스는 상장심사위원회에서 퇴출 통보를 받아 이의신청을 한 상태이며 어울림정보기술과 어울림엘시스는 이미 정리매매가 마무리됐다.

현재	현재/MAG
어울림네트웍스는	어울림네트웍스/NNP+는/JX
상장심사위원회에서	상장/NNG+심사/NNG+위원회/NNG+에서/JKB
퇴출	퇴출/NNG
통보를	통보/NNG+를/JKO
받아	받/VV+아/EC
이의신청을	이의/NNG+신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
상태이며	상태/NNG+이/VCP+며/EC
어울림정보기술과	어울림정보기술/NNP+과/JC
어울림엘시스는	어울림엘시스/NNP+는/JX
이미	이미/MAG
정리매매가	정리/NNG+매매/NNG+가/JKS
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.48.7.1
박 씨가 실제 사주로 있던 어울림정보기술은 안철수연구소, 소프트포럼 등과 함께 네트워크 보안 1세대로 알려졌던 벤처기업이다.

박	박/NNP
씨가	씨/NNB+가/JKS
실제	실제/NNG
사주로	사주/NNG+로/JKB
있던	있/VA+던/ETM
어울림정보기술은	어울림정보기술/NNP+은/JX
안철수연구소,	안철수연구소/NNP+,/SP
소프트포럼	소프트포럼/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
네트워크	네트워크/NNG
보안	보안/NNG
1세대로	1/SN+세대/NNG+로/JKB
알려졌던	알려지/VV+었/EP+던/ETM
벤처기업이다.	벤처/NNG+기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.48.7.2
박 씨는 어울림정보기술 창업자인 장모 씨가 주가조작과 횡령 혐의로 구속된 뒤 2004년 이 회사를 인수해 경영을 맡았다.

박	박/NNP
씨는	씨/NNB+는/JX
어울림정보기술	어울림정보기술/NNP
창업자인	창업자/NNG+이/VCP+ㄴ/ETM
장모	장/NNP+모/NP
씨가	씨/NNB+가/JKS
주가조작과	주가/NNG+조작/NNG+과/JC
횡령	횡령/NNG
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
2004년	2004/SN+년/NNB
이	이/MMD
회사를	회사/NNG+를/JKO
인수해	인수/NNG+하/XSV+아/EC
경영을	경영/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


