# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.106
metadata : {}


# id : NWRW1800000056.106.1.1
돌고래들도 만나면 통성명한다

돌고래들도	돌고래/NNG+들/XSN+도/JX
만나면	만나/VV+면/EC
통성명한다	통성명/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000056.106.2.1
[한겨레] 잠깐 독서

[한겨레]	[/SS+한겨레/NNP+]/SS
잠깐	잠깐/MAG
독서	독서/NNG


# id : NWRW1800000056.106.3.1
소리와 몸짓

소리와	소리/NNG+와/JC
몸짓	몸짓/NNG


# id : NWRW1800000056.106.4.1
칼 사피나 지음, 김병화 옮김/돌베개·3만5000원

칼	칼/NNP
사피나	사피나/NNP
지음,	짓/VV+음/ETN+,/SP
김병화	김병화/NNP
옮김/돌베개·3만5000원	옮기/VV+ㅁ/ETN+//SP+돌베개/NNP+·/SP+3/SN+만/NR+5000/SN+원/NNB


# id : NWRW1800000056.106.5.1
어느 날, 코끼리와 소통해오던 ‘엘리펀트 위스퍼러’가 세상을 떠나자 코끼리 25마리가 12시간이나 걸리는 먼 길을 걸어와 이틀 동안 그의 곁을 지켰다고 한다.

어느	어느/MMD
날,	날/NNG+,/SP
코끼리와	코끼리/NNG+와/JKB
소통해오던	소통/NNG+하/XSV+아/EC+오/VX+던/ETM
‘엘리펀트	‘/SS+엘리펀트/NNG
위스퍼러’가	위스퍼러/NA+’/SS+가/JKS
세상을	세상/NNG+을/JKO
떠나자	떠나/VV+자/EC
코끼리	코끼리/NNG
25마리가	25/SN+마리/NNB+가/JKS
12시간이나	12/SN+시간/NNB+이나/JX
걸리는	걸리/VV+는/ETM
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
걸어와	걸어오/VV+아/EC
이틀	이틀/NNG
동안	동안/NNG
그의	그/NP+의/JKG
곁을	곁/NNG+을/JKO
지켰다고	지키/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.5.2
모두 그 사람이 구조해 자신의 광대한 사유지에 피신처를 마련해 준 코끼리들이었다.

모두	모두/MAG
그	그/MMD
사람이	사람/NNG+이/JKS
구조해	구조/NNG+하/XSV+아/EC
자신의	자신/NNG+의/JKG
광대한	광대/NNG+하/XSA+ㄴ/ETM
사유지에	사유지/NNG+에/JKB
피신처를	피신처/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
코끼리들이었다.	코끼리/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.106.6.1
탄자니아의 곰베강 국립공원에서 한 연구자가 어느 황혼녘에 어른 수컷 침팬지 두 마리가 각자 능선을 기어오르는 것을 보았다.

탄자니아의	탄자니아/NNP+의/JKG
곰베강	곰베강/NNP
국립공원에서	국립/NNG+공원/NNG+에서/JKB
한	한/MMN
연구자가	연구자/NNG+가/JKS
어느	어느/MMD
황혼녘에	황혼/NNG+녘/NNB+에/JKB
어른	어른/NNG
