# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.172
metadata : {}


# id : NWRW1800000032.172.1.1
선우, 윤석화·김혜수 ‘연기 바통’ 이어받았다

선우,	선우/NNP+,/SP
윤석화·김혜수	윤석화/NNP+·/SP+김혜수/NNP
‘연기	‘/SS+연기/NNG
바통’	바통/NNG+’/SS
이어받았다	이어받/VV+았/EP+다/EF


# id : NWRW1800000032.172.2.1
연극 ‘신의 아그네스’

연극	연극/NNG
‘신의	‘/SS+신/NNG+의/JKG
아그네스’	아그네스/NNP+’/SS


# id : NWRW1800000032.172.3.1
수녀원 영아 살해사건 다뤄

수녀원	수녀원/NNG
영아	영아/NNG
살해사건	살해/NNG+사건/NNG
다뤄	다루/VV+어/EF


# id : NWRW1800000032.172.4.1
윤소정 12년만에 의사로 출연

윤소정	윤소정/NNP
12년만에	12/SN+년/NNB+만/NNB+에/JKB
의사로	의사/NNG+로/JKB
출연	출연/NNG


# id : NWRW1800000032.172.5.1
수녀원에서 일어난 영아 살해 사건.

수녀원에서	수녀원/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
영아	영아/NNG
살해	살해/NNG
사건.	사건/NNG+./SF


# id : NWRW1800000032.172.5.2
이 충격적 소재를 다루는 연극 <신의 아그네스>가 3년 만에 다시 무대에 올랐다.

이	이/MMD
충격적	충격/NNG+적/XSN
소재를	소재/NNG+를/JKO
다루는	다루/VV+는/ETM
연극	연극/NNG
<신의	</SS+신/NNG+의/JKG
아그네스>가	아그네스/NNP+>/SS+가/JKS
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
무대에	무대/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.172.6.1
지난 1일부터 서울 동숭동 피엠시(PMC)대학로자유극장에서 공연중인 <신의 아그네스>는 1983년 초연 당시 10달 동안 공연을 이어가며 최다 관객을 모았던 화제작.

지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
서울	서울/NNP
동숭동	동숭동/NNP
피엠시(PMC)대학로자유극장에서	피엠시/NNP+(/SS+PMC/SL+)/SS+대학로자유극장/NNP+에서/JKB
공연중인	공연/NNG+중/NNB+이/VCP+ㄴ/ETM
<신의	</SS+신/NNG+의/JKG
아그네스>는	아그네스/NNP+>/SS+는/JX
1983년	1983/SN+년/NNB
초연	초연/NNG
당시	당시/NNG
10달	10/SN+달/NNB
동안	동안/NNG
공연을	공연/NNG+을/JKO
이어가며	잇/VV+어/EC+가/VX+며/EC
최다	최다/NNG
관객을	관객/NNG+을/JKO
모았던	모으/VV+았/EP+던/ETM
화제작.	화제작/NNG+./SF


# id : NWRW1800000032.172.6.2
초연의 성공에 힘입어 그 뒤에도 박정자, 손숙 등 연극계의 내로라하는 배우들이 출연하며 꾸준히 인기를 누렸다.

초연의	초연/NNG+의/JKG
성공에	성공/NNG+에/JKB
힘입어	힘입/VV+어/EC
그	그/MMD
뒤에도	뒤/NNG+에/JKB+도/JX
박정자,	박정자/NNP+,/SP
손숙	손숙/NNP
등	등/NNB
연극계의	연극/NNG+계/XSN+의/JKG
내로라하는	내로라하/VV+는/ETM
배우들이	배우/NNG+들/XSN+이/JKS
출연하며	출연/NNG+하/XSV+며/EC
꾸준히	꾸준히/MAG
인기를	인기/NNG+를/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.172.7.1
초연 당시 사건의 실체를 파악하려는 정신과 의사 ‘리빙스턴’ 박사를 연기한 윤소정(67)이 이번에도 같은 역으로 출연해 극의 중심추 구실을 한다.

초연	초연/NNG
당시	당시/NNG
사건의	사건/NNG+의/JKG
실체를	실체/NNG+를/JKO
파악하려는	파악/NNG+하/XSV+려는/ETM
정신과	정신과/NNG
의사	의사/NNG
‘리빙스턴’	‘/SS+리빙스턴/NNP+’/SS
박사를	박사/NNG+를/JKO
연기한	연기/NNG+하/XSV+ㄴ/ETM
윤소정(67)이	윤소정/NNP+(/SS+67/SN+)/SS+이/JKS
이번에도	이번/NNG+에/JKB+도/JX
같은	같/VA+은/ETM
역으로	역/NNG+으로/JKB
출연해	출연/NNG+하/XSV+아/EC
극의	극/NNG+의/JKG
중심추	중심추/NNG
구실을	구실/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.172.7.2
99년에도 리빙스턴 박사를 연기한 윤소정에게는 이번이 세번째, 12년 만의 출연이다.

99년에도	99/SN+년/NNB+에/JKB+도/JX
리빙스턴	리빙스턴/NNP
박사를	박사/NNG+를/JKO
연기한	연기/NNG+하/XSV+ㄴ/ETM
윤소정에게는	윤소정/NNP+에게/JKB+는/JX
이번이	이번/NNG+이/JKS
세번째,	세/MMN+번/NNB+째/XSN+,/SP
12년	12/SN+년/NNB
만의	만/NNB+의/JKG
출연이다.	출연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.172.7.3
윤소정은 “이 나이에도 할 수 있는 역이 있어서 감사하다”며 “똑같은 책도 어릴 때와 나이가 들어서 읽을 때의 느낌이 차이가 나는 것처럼, 역이 특별히 달라진 건 아니지만 대사들이 새롭게 느껴진다”고 소감을 밝혔다.

윤소정은	윤소정/NNP+은/JX
“이	“/SS+이/MMD
