# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.37
metadata : {}


# id : NWRW1800000030.37.1.1
목성(Jupiter) 가는 '특별한 우주비행사' ?NASA, 무인 탐사선 '주노' 발사, 주피터 등 특별제작 레고 3개 실어 7억1600만㎞ 날아 5년 후 도착

목성(Jupiter)	목성/NNG+(/SS+Jupiter/SL+)/SS
가는	가/VV+는/ETM
'특별한	'/SS+특별/NNG+하/XSA+ㄴ/ETM
우주비행사'	우주/NNG+비행사/NNG+'/SS
?NASA,	?/NA+NASA/SL+,/SP
무인	무인/NNG
탐사선	탐사선/NNG
'주노'	'/SS+주노/NNP+'/SS
발사,	발사/NNG+,/SP
주피터	주피터/NNP
등	등/NNB
특별제작	특별/NNG+제작/NNG
레고	레고/NNG
3개	3/SN+개/NNB
실어	싣/VV+어/EC
7억1600만㎞	7/SN+억/NR+1600/SN+만/NR+㎞/SW
날아	날/VV+아/EC
5년	5/SN+년/NNB
후	후/NNG
도착	도착/NNG


# id : NWRW1800000030.37.2.1
?NASA, 무인 탐사선 '주노' 발사, 주피터 등 특별제작 레고 3개 실어 7억1600만㎞ 날아 5년 후 도착

?NASA,	?/NA+NASA/SL+,/SP
무인	무인/NNG
탐사선	탐사선/NNG
'주노'	'/SS+주노/NNP+'/SS
발사,	발사/NNG+,/SP
주피터	주피터/NNP
등	등/NNB
특별제작	특별/NNG+제작/NNG
레고	레고/NNG
3개	3/SN+개/NNB
실어	싣/VV+어/EC
7억1600만㎞	7/SN+억/NR+1600/SN+만/NR+㎞/SW
날아	날/VV+아/EC
5년	5/SN+년/NNB
후	후/NNG
도착	도착/NNG


# id : NWRW1800000030.37.3.1
'주노(Juno)가 목성과 태양계 생성의 비밀을 풀어줄 수 있을까.'

'주노(Juno)가	'/SS+주노/NNP+(/SS+Juno/SL+)/SS+가/JKS
목성과	목성/NNG+과/JC
태양계	태양/NNG+계/XSN
생성의	생성/NNG+의/JKG
비밀을	비밀/NNG+을/JKO
풀어줄	풀/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있을까.'	있/VA+을까/EF+./SF+'/SS


# id : NWRW1800000030.37.4.1
미국 항공우주국(NASA)이 지난 5일(현지시각) 플로리다주 케이프 커내버럴 기지에서 약 1만명이 지켜보는 가운데 목성 무인 로봇 탐사선 '주노'를 탑재한 로켓을 발사하는 데 성공했다.

미국	미국/NNP
항공우주국(NASA)이	항공우주국/NNP+(/SS+NASA/SL+)/SS+이/JKS
지난	지나/VV+ㄴ/ETM
5일(현지시각)	5/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
플로리다주	플로리다주/NNP
케이프	케이프/NNP
커내버럴	커내버럴/NNP
기지에서	기지/NNG+에서/JKB
약	약/MMA
