# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.401
metadata : {}


# id : NWRW1800000054.401.1.1
文대통령 오늘 휴가서 복귀, 트럼프는 휴가 시작

文대통령	文/SH+대통령/NNG
오늘	오늘/NNG
휴가서	휴가/NNG+서/JKB
복귀,	복귀/NNG+,/SP
트럼프는	트럼프/NNP+는/JX
휴가	휴가/NNG
시작	시작/NNG


# id : NWRW1800000054.401.2.1
청와대 "통화 곧 하게 될 것" 文, 휴가중 잠수함司 깜짝 방문

청와대	청와대/NNP
"통화	"/SS+통화/NNG
곧	곧/MAG
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
것"	것/NNB+"/SS
文,	文/SH+,/SP
휴가중	휴가/NNG+중/NNB
잠수함司	잠수함/NNG+司/SH
깜짝	깜짝/MAG
방문	방문/NNG


# id : NWRW1800000054.401.3.1
문재인 대통령은 4박5일간의 여름휴가를 마치고 5일 청와대로 복귀한다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
4박5일간의	4/SN+박/NNB+5/SN+일/NNB+간/XSN+의/JKG
여름휴가를	여름휴가/NNG+를/JKO
마치고	마치/VV+고/EC
5일	5/SN+일/NNB
청와대로	청와대/NNP+로/JKB
복귀한다.	복귀/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.401.3.2
공교롭게도 미국 도널드 트럼프 대통령은 이날부터 17일간 여름휴가를 떠난다.

공교롭게도	공교롭/VA+게/EC+도/JX
미국	미국/NNP
도널드	도널드/NNP
트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이날부터	이날/NNG+부터/JX
17일간	17/SN+일/NNB+간/XSN
여름휴가를	여름휴가/NNG+를/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.401.4.1
문 대통령은 5일 청와대에 복귀하는대로 각 실장 등으로부터 여러 현안에 대한 보고를 받을 것으로 알려졌다.

문	문/NNP
대통령은	대통령/NNG+은/JX
5일	5/SN+일/NNB
청와대에	청와대/NNP+에/JKB
복귀하는대로	복귀/NNG+하/XSV+는/ETM+대로/NNB
각	각/MMD
실장	실장/NNG
등으로부터	등/NNB+으로부터/JKB
여러	여러/MMN
현안에	현안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보고를	보고/NNG+를/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.401.4.2
중소벤처부 장관과 4강 대사 인선도 서두를 것으로 보인다.

중소벤처부	중소/NNG+벤처부/NNG
장관과	장관/NNG+과/JC
4강	4/SN+강/NNB
대사	대사/NNG
인선도	인선/NNG+도/JX
서두를	서두르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


