# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.362
metadata : {}


# id : NWRW1800000022.362.1.1
[뉴스 블로그] KB증권 "효성에 대해 투자의견 못 내겠다"

[뉴스	[/SS+뉴스/NNG
블로그]	블로그/NNG+]/SS
KB증권	KB증권/NNP
"효성에	"/SS+효성/NNP+에/JKB
대해	대하/VV+아/EC
투자의견	투자/NNG+의견/NNG
못	못/MAG
내겠다"	내/VV+겠/EP+다/EF+"/SS


# id : NWRW1800000022.362.2.1
'투자의견: Not Rated(등급을 매길 수 없음)'

'투자의견:	'/SS+투자/NNG+의견/NNG+:/SP
Not	Not/SL
Rated(등급을	Rated/SL+(/SS+등급/NNG+을/JKO
매길	매기/VV+ㄹ/ETM
수	수/NNB
없음)'	없/VA+음/ETN+)/SS+'/SS


# id : NWRW1800000022.362.3.1
보통 증권사들은 투자자들에게 제공하는 보고서를 통해 일부 주식 종목에 대해 '매수', '중립', '매도' 같은 투자의견을 내놓습니다.

보통	보통/MAG
증권사들은	증권사/NNG+들/XSN+은/JX
투자자들에게	투자자/NNG+들/XSN+에게/JKB
제공하는	제공/NNG+하/XSV+는/ETM
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
일부	일부/NNG
주식	주식/NNG
종목에	종목/NNG+에/JKB
대해	대하/VV+아/EC
'매수',	'/SS+매수/NNG+'/SS+,/SP
'중립',	'/SS+중립/NNG+'/SS+,/SP
'매도'	'/SS+매도/NNG+'/SS
같은	같/VA+은/ETM
투자의견을	투자/NNG+의견/NNG+을/JKO
내놓습니다.	내놓/VV+습니다/EF+./SF


# id : NWRW1800000022.362.3.2
현재 주가를 고려해 적정한 목표 주가도 제시합니다.

현재	현재/MAG
주가를	주가/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
적정한	적정/NNG+하/XSA+ㄴ/ETM
목표	목표/NNG
주가도	주가/NNG+도/JX
제시합니다.	제시/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000022.362.3.3
하지만 이런 관행을 벗어난 보고서가 등장해 증권가에서 눈길을 끌었습니다.

하지만	하지만/MAJ
이런	이런/MMD
관행을	관행/NNG+을/JKO
벗어난	벗어나/VV+ㄴ/ETM
보고서가	보고서/NNG+가/JKS
등장해	등장/NNG+하/XSV+아/EC
증권가에서	증권가/NNG+에서/JKB
눈길을	눈길/NNG+을/JKO
끌었습니다.	끌/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.362.4.1
19일 KB투자증권은 보고서를 통해 "하이닉스 인수와 관련한 불확실성이 증폭되고 있어 효성에 대한 투자의견과 목표주가를 당분간 제시하지 않겠다"고 밝혔습니다.

19일	19/SN+일/NNB
KB투자증권은	KB투자증권/NNP+은/JX
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
"하이닉스	"/SS+하이닉스/NNP
인수와	인수/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
불확실성이	불확실/NNG+성/XSN+이/JKS
증폭되고	증폭/NNG+되/XSV+고/EC
있어	있/VX+어/EC
효성에	효성/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
투자의견과	투자/NNG+의견/NNG+과/JC
목표주가를	목표/NNG+주가/NNG+를/JKO
당분간	당분간/MAG
제시하지	제시/NNG+하/XSV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
밝혔습니다.	밝히/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.362.4.2
그동안 증권사들이 평가가 곤란한 일부 기업을 분석 대상에서 아예 제외시키는 경우는 종종 있었습니다.

그동안	그동안/NNG
증권사들이	증권사/NNG+들/XSN+이/JKS
평가가	평가/NNG+가/JKS
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
일부	일부/NNG
기업을	기업/NNG+을/JKO
분석	분석/NNG
대상에서	대상/NNG+에서/JKB
아예	아예/MAG
제외시키는	제외/NNG+시키/XSV+는/ETM
경우는	경우/NNG+는/JX
종종	종종/MAG
있었습니다.	있/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.362.4.3
하지만 이처럼 '지켜는 보되 당분간 투자의견을 내놓을 수는 없다'고 밝힌 것은 이례적입니다.

하지만	하지만/MAJ
이처럼	이/NP+처럼/JKB
'지켜는	'/SS+지키/VV+어/EC+는/JX
보되	보/VX+되/EC
당분간	당분간/MAG
투자의견을	투자/NNG+의견/NNG+을/JKO
내놓을	내놓/VV+을/ETM
수는	수/NNB+는/JX
없다'고	없/VA+다/EF+'/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
이례적입니다.	이례/NNG+적/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.362.4.4
다른 증권사 관계자는 "회계법인이 감사의견을 유보하는 것과 비슷한 일로, 증권업계에서는 좀처럼 볼 수 없던 일"이라고 말했습니다.

다른	다른/MMD
증권사	증권사/NNG
관계자는	관계자/NNG+는/JX
"회계법인이	"/SS+회계/NNG+법인/NNG+이/JKS
감사의견을	감사/NNG+의견/NNG+을/JKO
유보하는	유보/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
일로,	일/NNG+로/JKB+,/SP
증권업계에서는	증권업/NNG+계/XSN+에서/JKB+는/JX
좀처럼	좀처럼/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없던	없/VA+던/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했습니다.	말/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.362.5.1
효성은 지난 달 하이닉스 인수의향서를 단독으로 제출하면서 유력한 인수 후보자로 떠올랐습니다.

효성은	효성/NNP+은/JX
지난	지나/VV+ㄴ/ETM
달	달/NNG
하이닉스	하이닉스/NNP
인수의향서를	인수/NNG+의향서/NNG+를/JKO
단독으로	단독/NNG+으로/JKB
제출하면서	제출/NNG+하/XSV+면서/EC
유력한	유력/NNG+하/XSA+ㄴ/ETM
인수	인수/NNG
후보자로	후보자/NNG+로/JKB
떠올랐습니다.	떠오르/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.362.5.2
하지만 효성이 인수에 필요한 자금이 충분하지 않은 상황에서 하이닉스 인수에 나서는 것은 무리라고 판단한 증권사가 많았습니다.

하지만	하지만/MAJ
효성이	효성/NNP+이/JKS
인수에	인수/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자금이	자금/NNG+이/JKS
충분하지	충분하/VA+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
하이닉스	하이닉스/NNP
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
무리라고	무리/NNG+이/VCP+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
증권사가	증권사/NNG+가/JKS
많았습니다.	많/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000022.362.5.3
효성의 인수 의향이 알려진 뒤 이 회사 주가는 30% 정도 하락했습니다.

효성의	효성/NNP+의/JKG
인수	인수/NNG
의향이	의향/NNG+이/JKS
알려진	알리/VV+어/EC+지/VX+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
회사	회사/NNG
주가는	주가/NNG+는/JX
30%	30/SN+%/SW
정도	정도/NNG
하락했습니다.	하락/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.362.6.1
보고서를 작성한 KB투자증권 김영진 이사는 "영업이익 같은 효성의 본질적인 가치는 매우 양호하지만 지금은 기업 실적보다는 하이닉스 인수 여부가 주가를 좌지우지하는 국면"이라며 "결국 인수 여부가 확정되지 않은 상태에서 투자의견이나 적정 주가를 제시하는 것은 무의미하다고 판단했다"고 했습니다.

보고서를	보고서/NNG+를/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
KB투자증권	KB투자증권/NNP
김영진	김영진/NNP
이사는	이사/NNG+는/JX
"영업이익	"/SS+영업/NNG+이익/NNG
같은	같/VA+은/ETM
효성의	효성/NNP+의/JKG
본질적인	본질/NNG+적/XSN+이/VCP+ㄴ/ETM
가치는	가치/NNG+는/JX
매우	매우/MAG
양호하지만	양호/NNG+하/XSA+지만/EC
지금은	지금/NNG+은/JX
기업	기업/NNG
실적보다는	실적/NNG+보다/JKB+는/JX
하이닉스	하이닉스/NNP
인수	인수/NNG
여부가	여부/NNG+가/JKS
주가를	주가/NNG+를/JKO
좌지우지하는	좌지우지/NNG+하/XSV+는/ETM
국면"이라며	국면/NNG+"/SS+이/VCP+라며/EC
"결국	"/SS+결국/NNG
확정되지	확정/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
투자의견이나	투자/NNG+의견/NNG+이나/JC
적정	적정/NNG
제시하는	제시/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무의미하다고	무/XPN+의미/NNG+하/XSA+다고/EC
판단했다"고	판단/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.362.7.1
효성을 잘 아는 애널리스트조차 이처럼 효성의 미래에 대해 갈피를 못 잡는 데에는 이번 인수 건에 대해 침묵으로 일관하고 있는 효성측의 책임도 적지 않다는 지적이 나옵니다.

효성을	효성/NNP+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
애널리스트조차	애널리스트/NNG+조차/JX
이처럼	이/NP+처럼/JKB
효성의	효성/NNP+의/JKG
미래에	미래/NNG+에/JKB
