# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.347
metadata : {}


# id : NWRW1800000026.347.1.1
[제주·서울] '먼바다 양식' 참다랑어 집단 폐사;태풍 영향… 뒤늦게 밝혀져

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
'먼바다	'/SS+먼바다/NNG
양식'	양식/NNG+'/SS
참다랑어	참다랑어/NNG
집단	집단/NNG
폐사;태풍	폐사/NNG+;/SW+태풍/NNG
영향…	영향/NNG+…/SE
뒤늦게	뒤늦/VA+게/EC
밝혀져	밝혀지/VV+어/EF


# id : NWRW1800000026.347.2.1
국내에서 처음으로 외해(먼바다) 수중가두리에 양식하고 있던 참다랑어의 절반 이상이 지난 8월 태풍의 영향으로 폐사한 사실이 뒤늦게 밝혀졌다.

국내에서	국내/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
외해(먼바다)	외해/NNG+(/SS+먼바다/NNG+)/SS
수중가두리에	수중/NNG+가두리/NNG+에/JKB
양식하고	양식/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
참다랑어의	참다랑어/NNG+의/JKG
절반	절반/NNG
이상이	이상/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
태풍의	태풍/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
폐사한	폐사/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.347.3.1
20일 농림수산식품위원회 김우남(민주당) 의원이 공개한 국정감사 자료에 따르면 지난 8월 중순 불어닥친 태풍 '뎬무'의 영향으로 서귀포시 표선포구에서 6㎞ 떨어진 외해 수중가두리에 넣어 양식 중이던 참다랑어 588마리의 58.5%인 344마리가 폐사했다.

20일	20/SN+일/NNB
농림수산식품위원회	농림/NNG+수산/NNG+식품/NNG+위원회/NNG
김우남(민주당)	김우남/NNP+(/SS+민주당/NNP+)/SS
의원이	의원/NNG+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
중순	중순/NNG
불어닥친	불어닥치/VV+ㄴ/ETM
태풍	태풍/NNG
'뎬무'의	'/SS+뎬무/NNG+'/SS+의/JKG
영향으로	영향/NNG+으로/JKB
서귀포시	서귀포시/NNP
표선포구에서	표선포구/NNP+에서/JKB
6㎞	6/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
외해	외해/NNG
수중가두리에	수중/NNG+가두리/NNG+에/JKB
넣어	넣/VV+어/EC
양식	양식/NNG
중이던	중/NNB+이/VCP+던/ETM
참다랑어	참다랑어/NNG
588마리의	588/SN+마리/NNB+의/JKG
58.5%인	58/SN+./SP+5/SN+%/SW+이/VCP+ㄴ/ETM
344마리가	344/SN+마리/NNB+가/JKS
폐사했다.	폐사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.347.3.2
크기별로는 5㎏급은 362마리 가운데 248마리가, 25㎏급은 226마리 가운데 96마리가 폐사해 폐사율이 각각 68.5%, 42.5%였다.

크기별로는	크기/NNG+별/XSN+로/JKB+는/JX
5㎏급은	5/SN+㎏/SW+급/NNG+은/JX
362마리	362/SN+마리/NNB
가운데	가운데/NNG
248마리가,	248/SN+마리/NNB+가/JKS+,/SP
25㎏급은	25/SN+㎏/SW+급/NNG+은/JX
226마리	226/SN+마리/NNB
96마리가	96/SN+마리/NNB+가/JKS
폐사해	폐사/NNG+하/XSV+아/EC
폐사율이	폐사/NNG+율/XSN+이/JKS
각각	각각/MAG
68.5%,	68/SN+./SP+5/SN+%/SW+,/SP
42.5%였다.	42/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.347.3.3
참다랑어 폐사로 생긴 피해액은 25㎏급 1억2000만원, 5㎏급 6200만원 등 모두 1억8200만원으로 집계됐다.

참다랑어	참다랑어/NNG
폐사로	폐사/NNG+로/JKB
생긴	생기/VV+ㄴ/ETM
피해액은	피해액/NNG+은/JX
25㎏급	25/SN+㎏/SW+급/NNG
1억2000만원,	1/SN+억/NR+2000/SN+만/NR+원/NNB+,/SP
5㎏급	5/SN+㎏/SW+급/NNG
6200만원	6200/SN+만/NR+원/NNB
등	등/NNB
모두	모두/MAG
1억8200만원으로	1/SN+억/NR+8200/SN+만/NR+원/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.347.4.1
국립수산과학원 미래양식연구센터 관계자는 "태풍의 영향으로 수질이 혼탁해지면서 예민해진 참다랑어들이 공황상태에서 그물에 충돌해 대량 폐사가 발생했다"고 말했다.

국립수산과학원	국립수산과학원/NNP
미래양식연구센터	미래/NNG+양식/NNG+연구/NNG+센터/NNG
관계자는	관계자/NNG+는/JX
"태풍의	"/SS+태풍/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
수질이	수질/NNG+이/JKS
혼탁해지면서	혼탁/NNG+하/XSA+아/EC+지/VX+면서/EC
예민해진	예민하/VA+아/EC+지/VX+ㄴ/ETM
참다랑어들이	참다랑어/NNG+들/XSN+이/JKS
공황상태에서	공황/NNG+상태/NNG+에서/JKB
그물에	그물/NNG+에/JKB
충돌해	충돌/NNG+하/XSV+아/EC
대량	대량/NNG
폐사가	폐사/NNG+가/JKS
발생했다"고	발생/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.347.5.1
국립수산과학원은 표선 외해(수심 42~50m)의 수중 12~35m에 3000㎥ 크기와 5400㎥ 크기의 가두리 양식장 두 곳을 시설, 지난해 10월 추자도 인근 해역에서 잡은 5㎏급 참다랑어와 수입산 25㎏급 참다랑어를 넣어 시험양식을 해왔다.

국립수산과학원은	국립수산과학원/NNP+은/JX
표선	표선/NNP
외해(수심	외해/NNG+(/SS+수심/NNG
42~50m)의	42/SN+~/SO+50/SN+m/SW+)/SS+의/JKG
수중	수중/NNG
12~35m에	12/SN+~/SO+35/SN+m/SW+에/JKB
3000㎥	3000/SN+㎥/SW
크기와	크기/NNG+와/JC
5400㎥	5400/SN+㎥/SW
크기의	크기/NNG+의/JKG
가두리	가두리/NNG
양식장	양식장/NNG
두	두/MMN
곳을	곳/NNG+을/JKO
