# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.273
metadata : {}


# id : NWRW1800000026.273.1.1
[수도권I] 욕실에 미끄럼 방지용 타일 설치 의무화;道 안전사고 예방 규정 추진

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
욕실에	욕실/NNG+에/JKB
미끄럼	미끄럼/NNG
방지용	방지/NNG+용/XSN
타일	타일/NNG
설치	설치/NNG
의무화;道	의무/NNG+화/XSN+;/SW+道/SH
안전사고	안전사고/NNG
예방	예방/NNG
규정	규정/NNG
추진	추진/NNG


# id : NWRW1800000026.273.2.1
앞으로 경기도에 아파트를 지을 때는 욕실·발코니 바닥에 반드시 미끄럼 방지용 타일을 깔아야 한다.

앞으로	앞/NNG+으로/JKB
경기도에	경기도/NNP+에/JKB
아파트를	아파트/NNG+를/JKO
지을	짓/VV+을/ETM
때는	때/NNG+는/JX
욕실·발코니	욕실/NNG+·/SP+발코니/NNG
바닥에	바닥/NNG+에/JKB
반드시	반드시/MAG
미끄럼	미끄럼/NNG
방지용	방지/NNG+용/XSN
타일을	타일/NNG+을/JKO
깔아야	깔/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.273.2.2
발코니를 확장하려면 아이들이 떨어지지 않도록 높이 1m20㎝가 넘는 난간을 설치해야 한다.

발코니를	발코니/NNG+를/JKO
확장하려면	확장/NNG+하/XSV+려면/EC
아이들이	아이/NNG+들/XSN+이/JKS
떨어지지	떨어지/VV+지/EC
않도록	않/VX+도록/EC
높이	높이/NNG
1m20㎝가	1/SN+m/SW+20/SN+㎝/SW+가/JKS
넘는	넘/VV+는/ETM
난간을	난간/NNG+을/JKO
설치해야	설치/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.273.3.1
경기도는 이런 내용을 담은 아파트 안전사고 예방 프로그램을 추진한다고 12일 밝혔다.

