# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.260
metadata : {}


# id : NWRW1800000029.260.1.1
프로야구 7000만원 아끼려다… 팬 잃는 롯데

프로야구	프로/NNG+야구/NNG
7000만원	7000/SN+만/NR+원/NNB
아끼려다…	아끼/VV+려다/EC+…/SE
팬	팬/NNG
잃는	잃/VV+는/ETM
롯데	롯데/NNP


# id : NWRW1800000029.260.2.1
이대호 연봉조정 후폭풍… 구단-KBO 비난 글 거세선수협도 “수용 불가… 헌법소원등 법적 대응” 강경

이대호	이대호/NNP
연봉조정	연봉/NNG+조정/NNG
후폭풍…	후폭풍/NNG+…/SE
구단-KBO	구단/NNG+-/SO+KBO/SL
비난	비난/NNG
글	글/NNG
거세선수협도	거세/VA+어/EF+선수협/NNG+도/JX
“수용	“/SS+수용/NNG
불가…	불가/NNG+…/SE
헌법소원등	헌법/NNG+소원/NNG+등/NNB
법적	법/NNG+적/XSN
대응”	대응/NNG+”/SS
강경	강경/NNG


# id : NWRW1800000029.260.3.1
‘소탐대실(小貪大失·작은 것을 탐하다가 큰 것을 잃음)’이었다.

‘소탐대실(小貪大失·작은	‘/SS+소탐대실/NNG+(/SS+小貪大失/SH+·/SP+작/VA+은/ETM
것을	것/NNB+을/JKO
탐하다가	탐/NNG+하/XSV+다가/EC
큰	크/VA+ㄴ/ETM
잃음)’이었다.	잃/VV+음/ETN+)/SS+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.260.4.1
롯데는 20일 열린 한국야구위원회(KBO) 연봉조정위원회에서 이대호를 상대로 이겼다.

롯데는	롯데/NNP+는/JX
20일	20/SN+일/NNB
열린	열리/VV+ㄴ/ETM
한국야구위원회(KBO)	한국야구위원회/NNP+(/SS+KBO/SL+)/SS
연봉조정위원회에서	연봉/NNG+조정/NNG+위원회/NNG+에서/JKB
이대호를	이대호/NNP+를/JKO
상대로	상대/NNG+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.260.4.2
이전까지 19차례 열린 연봉 조정에서 구단이 18차례 이겼기 때문에 이번에도 롯데의 승리가 예상되긴 했다.

이전까지	이전/NNG+까지/JX
19차례	19/SN+차례/NNG
열린	열리/VV+ㄴ/ETM
연봉	연봉/NNG
조정에서	조정/NNG+에서/JKB
구단이	구단/NNG+이/JKS
18차례	18/SN+차례/NNG
이겼기	이기/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
이번에도	이번/NNG+에/JKB+도/JX
롯데의	롯데/NNP+의/JKG
승리가	승리/NNG+가/JKS
예상되긴	예상/NNG+되/XSV+기/ETN+ㄴ/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.260.4.3
7억 원을 요구한 이대호에 맞서 6억3000만 원을 제시한 롯데는 7000만 원을 덜 쓰게 됐다.

7억	7/SN+억/NR
원을	원/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
이대호에	이대호/NNP+에/JKB
맞서	맞서/VV+어/EC
6억3000만	6/SN+억/NR+3000/SN+만/NR
제시한	제시/NNG+하/XSV+ㄴ/ETM
롯데는	롯데/NNP+는/JX
7000만	7000/SN+만/NR
덜	덜/MAG
쓰게	쓰/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.260.4.4
그러나 금전으로 따질 수 없는 팬들의 거센 비난에 직면했다.

그러나	그러나/MAJ
금전으로	금전/NNG+으로/JKB
따질	따지/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
