# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.16
metadata : {}


# id : NWRW1800000030.16.1.1
"판사 때 브로커한테 받은 돈 과세 정당"

"판사	"/SS+판사/NNG
때	때/NNG
브로커한테	브로커/NNG+한테/JKB
받은	받/VV+은/ETM
돈	돈/NNG
과세	과세/NNG
정당"	정당/XR+"/SS


# id : NWRW1800000030.16.2.1
변호사가 판사 시절 청탁 대가로 받은 사례금에 세금을 부과하는 것은 정당하다는 판결이 나왔다.

변호사가	변호사/NNG+가/JKS
판사	판사/NNG
시절	시절/NNG
청탁	청탁/NNG
대가로	대가/NNG+로/JKB
받은	받/VV+은/ETM
사례금에	사례금/NNG+에/JKB
세금을	세금/NNG+을/JKO
부과하는	부과/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정당하다는	정당하/VA+다는/ETM
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.16.3.1
서울행정법원 행정2부(재판장 하종대)는 14일 변호사 하모(54)씨가 판사 재직 시절 브로커로부터 다른 법원 재판에 관여해 달라는 청탁 대가로 받은 2500만원에 대해 부과된 세금을 취소해 달라며 동대문세무서장을 상대로 낸 소송에서 원고 패소 판결을 내렸다.

서울행정법원	서울행정법원/NNP
행정2부(재판장	행정/NNG+2/SN+부/NNG+(/SS+재판장/NNG
하종대)는	하종대/NNP+)/SS+는/JX
14일	14/SN+일/NNB
변호사	변호사/NNG
하모(54)씨가	하/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+가/JKS
판사	판사/NNG
재직	재직/NNG
시절	시절/NNG
브로커로부터	브로커/NNG+로부터/JKB
다른	다른/MMD
법원	법원/NNG
재판에	재판/NNG+에/JKB
관여해	관여/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
청탁	청탁/NNG
대가로	대가/NNG+로/JKB
받은	받/VV+은/ETM
2500만원에	2500/SN+만/NR+원/NNB+에/JKB
대해	대하/VV+아/EC
부과된	부과/NNG+되/XSV+ㄴ/ETM
세금을	세금/NNG+을/JKO
취소해	취소/NNG+하/XSV+아/EC
달라며	달/VX+라며/EC
동대문세무서장을	동대문/NNP+세무서장/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
원고	원고/NNG
패소	패소/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.16.4.1
재판부는 "이 돈은 브로커로부터 사례의 뜻으로 받은 것으로 소득세법상 세금 1200만원을 물리는 것은 정당하다"고 말했다.

재판부는	재판부/NNG+는/JX
"이	"/SS+이/MMD
돈은	돈/NNG+은/JX
브로커로부터	브로커/NNG+로부터/JKB
사례의	사례/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
소득세법상	소득세법/NNG+상/XSN
세금	세금/NNG
1200만원을	1200/SN+만/NR+원/NNB+을/JKO
물리는	물리/VV+는/ETM
것은	것/NNB+은/JX
정당하다"고	정당하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.16.4.2
세법은 사례금을 과세 대상으로 규정하고 있고 뇌물처럼 범죄로 얻은 이익에 대해 추징을 했더라도 다시 세금을 물릴 수 있다.

세법은	세법/NNG+은/JX
사례금을	사례금/NNG+을/JKO
과세	과세/NNG
대상으로	대상/NNG+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있고	있/VX+고/EC
뇌물처럼	뇌물/NNG+처럼/JKB
범죄로	범죄/NNG+로/JKB
얻은	얻/VV+은/ETM
이익에	이익/NNG+에/JKB
대해	대하/VV+아/EC
추징을	추징/NNG+을/JKO
했더라도	하/VV+았/EP+더라도/EC
다시	다시/MAG
세금을	세금/NNG+을/JKO
물릴	물리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.16.5.1
하씨는 서울에서 부장판사로 재직하던 2003~2004년 사법연수원 동기가 맡은 수원지법 재판과 관련해 브로커 김모(55)씨로부터 2500만원을 받은 혐의 등으로 기소돼 2006년 징역 8월형에 추징금 2500만원이 확정됐다.

하씨는	하/NNP+씨/NNB+는/JX
서울에서	서울/NNP+에서/JKB
부장판사로	부장/NNG+판사/NNG+로/JKB
재직하던	재직/NNG+하/XSV+던/ETM
2003~2004년	2003/SN+~/SO+2004/SN+년/NNB
사법연수원	사법/NNG+연수원/NNG
동기가	동기/NNG+가/JKS
맡은	맡/VV+은/ETM
수원지법	수원지법/NNP
재판과	재판/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
브로커	브로커/NNG
김모(55)씨로부터	김/NNP+모/NP+(/SS+55/SN+)/SS+씨/NNB+로부터/JKB
2500만원을	2500/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소돼	기소/NNG+되/XSV+어/EC
2006년	2006/SN+년/NNB
징역	징역/NNG
8월형에	8/SN+월/NNB+형/NNG+에/JKB
추징금	추징금/NNG
2500만원이	2500/SN+만/NR+원/NNB+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.16.5.2
하씨는 2004년 2월 퇴임 직후 자신이 부탁했던 수원지법 사건의 원고측 변호를 맡아 1심에서 원고 승소를 이끌어 냈다.

하씨는	하/NNP+씨/NNB+는/JX
2004년	2004/SN+년/NNB
