# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.352
metadata : {}


# id : NWRW1800000033.352.1.1
安 “대선의 강 이미 건너… 건너온 다리는 불살랐다”

安	安/SH
“대선의	“/SS+대선/NNG+의/JKG
강	강/NNG
이미	이미/MAG
건너…	건너/VV+어/EC+…/SE
건너온	건너오/VV+ㄴ/ETM
다리는	다리/NNG+는/JX
불살랐다”	불사르/VV+았/EP+다/EF+”/SS


# id : NWRW1800000033.352.2.1
완주 의지 강하게 표명… 박원암-박기백 교수 등 중도보수 인사도 포럼 참석

완주	완주/NNG
의지	의지/NNG
강하게	강하/VA+게/EC
표명…	표명/NNG+…/SE
박원암-박기백	박원암/NNP+-/SO+박기백/NNP
교수	교수/NNG
등	등/NNB
중도보수	중도/NNG+보수/NNG
인사도	인사/NNG+도/JX
포럼	포럼/NNG
참석	참석/NNG


# id : NWRW1800000033.352.3.1
무소속 안철수 후보가 정치와 경제 혁신을 주제로 한 포럼을 잇달아 개최하며 정책 관련 활동에 나서고 있다.

무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
정치와	정치/NNG+와/JC
경제	경제/NNG
혁신을	혁신/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
포럼을	포럼/NNG+을/JKO
잇달아	잇달/VV+아/EC
개최하며	개최/NNG+하/XSV+며/EC
정책	정책/NNG
관련	관련/NNG
활동에	활동/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.352.4.1
안 후보는 25일 서울 종로구의 사회적 기업인 마이크임팩트에서 ‘복지와 성장이 선순환하는 혁신경제’를 주제로 2차 정책네트워크 포럼을 열고 “우리 사회의 성장은 ‘포용적 성장’이어야 한다”며 “사회안전망을 통해 일자리를 만들고 일자리를 통해 만들어진 재원이 경제민주화와 복지로 연결되는 선순환 구조를 만들 것”이라고 말했다.

안	안/NNP
후보는	후보/NNG+는/JX
25일	25/SN+일/NNB
서울	서울/NNP
종로구의	종로구/NNP+의/JKG
사회적	사회/NNG+적/XSN
기업인	기업/NNG+이/VCP+ㄴ/ETM
마이크임팩트에서	마이크임팩트/NNP+에서/JKB
‘복지와	‘/SS+복지/NNG+와/JC
성장이	성장/NNG+이/JKS
선순환하는	선순환/NNG+하/XSV+는/ETM
혁신경제’를	혁신/NNG+경제/NNG+’/SS+를/JKO
주제로	주제/NNG+로/JKB
2차	2/SN+차/NNB
정책네트워크	정책/NNG+네트워크/NNG
포럼을	포럼/NNG+을/JKO
열고	열/VV+고/EC
“우리	“/SS+우리/NP
사회의	사회/NNG+의/JKG
성장은	성장/NNG+은/JX
‘포용적	‘/SS+포용/NNG+적/XSN
성장’이어야	성장/NNG+’/SS+이/VCP+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“사회안전망을	“/SS+사회/NNG+안전망/NNG+을/JKO
통해	통하/VV+아/EC
일자리를	일자리/NNG+를/JKO
만들고	만들/VV+고/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
재원이	재원/NNG+이/JKS
경제민주화와	경제/NNG+민주/NNG+화/XSN+와/JC
복지로	복지/NNG+로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
선순환	선순환/NNG
구조를	구조/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.352.5.1
또 “노인 자살률과 빈곤율이 높은 국가가 부끄럽게도 대한민국이다.

또	또/MAG
“노인	“/SS+노인/NNG
자살률과	자살/NNG+률/XSN+과/JC
빈곤율이	빈곤/NNG+율/XSN+이/JKS
높은	높/VA+은/ETM
국가가	국가/NNG+가/JKS
부끄럽게도	부끄럽/VA+게/EC+도/JX
대한민국이다.	대한민국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000033.352.5.2
가장 중점적으로 해결해야 할 부분이 노인 복지”라며 “‘노인 가난 제로’라는 목표를 어떻게 실행할지 대책을 마련하겠다”고 했다.

가장	가장/MAG
중점적으로	중점/NNG+적/XSN+으로/JKB
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
부분이	부분/NNG+이/JKS
노인	노인/NNG
복지”라며	복지/NNG+”/SS+이/VCP+라며/EC
“‘노인	“/SS+‘/SS+노인/NNG
가난	가난/NNG
제로’라는	제로/NNG+’/SS+이/VCP+라는/ETM
목표를	목표/NNG+를/JKO
어떻게	어떻/VA+게/EC
실행할지	실행/NNG+하/XSV+ㄹ지/EC
대책을	대책/NNG+을/JKO
