# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.211
metadata : {}


# id : NWRW1800000040.211.1.1
국민행복연금위 구성, 첫발부터 불안

국민행복연금위	국민/NNG+행복/NNG+연금위/NNG
구성,	구성/NNG+,/SP
첫발부터	첫발/NNG+부터/JX
불안	불안/NNG


# id : NWRW1800000040.211.2.1
기초·국민연금 통합 논의 기구

기초·국민연금	기초·국민연금/NNG
통합	통합/NNG
논의	논의/NNG
기구	기구/NNG


# id : NWRW1800000040.211.3.1
국정과제 발표 한달 안돼 급조

국정과제	국정/NNG+과제/NNG
발표	발표/NNG
한달	한/MMN+달/NNB
안돼	안/MAG+되/XSV+어/EC
급조	급조/NNG


# id : NWRW1800000040.211.4.1
진영 “구체안 만들라” 주문에

진영	진영/NNP
“구체안	“/SS+구체안/NNG
만들라”	만들/VV+라/EF+”/SS
주문에	주문/NNG+에/JKB


# id : NWRW1800000040.211.5.1
위원장 “합의기구 되기 힘들것”

위원장	위원장/NNG
“합의기구	“/SS+합의/NNG+기구/NNG
되기	되/VV+기/ETN
힘들것”	힘들/VA+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000040.211.6.1
반대 거센 40·50대 대표는 없어

반대	반대/NNG
거센	거세/VA+ㄴ/ETM
40·50대	40/SN+·/SP+50/SN+대/NNB
대표는	대표/NNG+는/JX
없어	없/VA+어/EF


# id : NWRW1800000040.211.7.1
기초연금과 국민연금을 통합하는 새로운 연금(국민행복연금) 제도의 세부안을 확정하기 위한 ‘국민행복연금위원회’가 어렵사리 첫걸음을 뗐지만, 40~50대가 세대위원에 포함되지 않는 등 문제점이 드러나고 있다.

기초연금과	기초/NNG+연금/NNG+과/JC
국민연금을	국민연금/NNG+을/JKO
통합하는	통합/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
연금(국민행복연금)	연금/NNG+(/SS+국민/NNG+행복/NNG+연금/NNG+)/SS
제도의	제도/NNG+의/JKG
세부안을	세부/NNG+안/NNG+을/JKO
확정하기	확정/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘국민행복연금위원회’가	‘/SS+국민/NNG+행복/NNG+연금/NNG+위원회/NNG+’/SS+가/JKS
어렵사리	어렵사리/MAG
첫걸음을	첫걸음/NNG+을/JKO
뗐지만,	떼/VV+었/EP+지만/EC+,/SP
40~50대가	40/SN+~/SO+50/SN+대/NNB+가/JKS
세대위원에	세대/NNG+위원/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
등	등/NNB
문제점이	문제점/NNG+이/JKS
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.211.7.2
대통령직인수위원회가 국민행복연금 도입 등의 국정과제를 발표한 지 한 달도 채 안돼 급하게 ‘국민적 합의기구’ 성격을 부여한 데다, 국민연금 가입기간에 따른 기초연금 차등지원 등 여러 가지 갈등 요소 때문에 합의안을 도출하기까지는 상당한 시일이 걸릴 것으로 보인다.

대통령직인수위원회가	대통령직/NNG+인수/NNG+위원회/NNG+가/JKS
국민행복연금	국민/NNG+행복/NNG+연금/NNG
도입	도입/NNG
등의	등/NNB+의/JKG
국정과제를	국정/NNG+과제/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
한	한/MMN
달도	달/NNB+도/JX
채	채/MAG
안돼	안/MAG+되/XSV+어/EC
급하게	급하/VA+게/EC
‘국민적	‘/SS+국민/NNG+적/XSN
합의기구’	합의/NNG+기구/NNG+’/SS
성격을	성격/NNG+을/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
국민연금	국민연금/NNG
가입기간에	가입/NNG+기간/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
기초연금	기초/NNG+연금/NNG
차등지원	차등/NNG+지원/NNG
등	등/NNB
여러	여러/MMN
가지	가지/NNB
갈등	갈등/NNG
요소	요소/NNG
때문에	때문/NNB+에/JKB
합의안을	합의안/NNG+을/JKO
도출하기까지는	도출/NNG+하/XSV+기/ETN+까지/JX+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
시일이	시일/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.211.8.1
보건복지부는 20일 오전 서울 중구 소공로 플라자호텔에서 국민행복연금위원회 첫 회의를 열었다고 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
20일	20/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
중구	중구/NNP
소공로	소공로/NNP
플라자호텔에서	플라자호텔/NNP+에서/JKB
국민행복연금위원회	국민/NNG+행복/NNG+연금/NNG+위원회/NNG
첫	첫/MMN
회의를	회의/NNG+를/JKO
열었다고	열/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.211.8.2
위원회 활동은 오는 8월까지로 예정돼 있으며, 복지부 장관의 요청이 있을 때 기간을 연장할 수 있다.

위원회	위원회/NNG
활동은	활동/NNG+은/JX
오는	오/VV+는/ETM
8월까지로	8/SN+월/NNB+까지/JX+로/JKB
예정돼	예정/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
복지부	복지부/NNG
장관의	장관/NNG+의/JKG
요청이	요청/NNG+이/JKS
있을	있/VA+을/ETM
때	때/NNG
기간을	기간/NNG+을/JKO
연장할	연장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.211.8.3
위원은 모두 13명이며, 복지부와 기획재정부 차관이 당연직 위원으로 참여한다.

위원은	위원/NNG+은/JX
모두	모두/MAG
13명이며,	13/SN+명/NNB+이/VCP+며/EC+,/SP
복지부와	복지부/NNG+와/JC
기획재정부	기획/NNG+재정부/NNG
차관이	차관/NNG+이/JKS
당연직	당연직/NNG
위원으로	위원/NNG+으로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.211.8.4
이밖에 사용자 대표 2명, 근로자 대표 2명, 지역대표 2명, 세대대표 4명이 민간위원으로 위촉됐다.

이밖에	이/NP+밖/NNG+에/JKB
사용자	사용자/NNG
대표	대표/NNG
2명,	2/SN+명/NNB+,/SP
근로자	근로자/NNG
지역대표	지역/NNG+대표/NNG
세대대표	세대/NNG+대표/NNG
4명이	4/SN+명/NNB+이/JKS
민간위원으로	민간/NNG+위원/NNG+으로/JKB
위촉됐다.	위촉/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.211.8.5
위원회에 연금전문가들이 없는 만큼, 복지부는 앞으로 10명 안팎의 자문위원단도 따로 구성할 예정이다.

위원회에	위원회/NNG+에/JKB
연금전문가들이	연금/NNG+전문가/NNG+들/XSN+이/JKS
없는	없/VA+는/ETM
만큼,	만큼/NNB+,/SP
복지부는	복지부/NNG+는/JX
앞으로	앞/NNG+으로/JKB
10명	10/SN+명/NNB
안팎의	안팎/NNG+의/JKG
자문위원단도	자문/NNG+위원단/NNG+도/JX
따로	따로/MAG
구성할	구성/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.211.8.6
위원회 설립의 법적 근거가 없어 복지부 장관의 자문기구가 될 것으로 보인다.

위원회	위원회/NNG
설립의	설립/NNG+의/JKG
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKS
없어	없/VA+어/EC
복지부	복지부/NNG
장관의	장관/NNG+의/JKG
자문기구가	자문/NNG+기구/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.211.9.1
그러나 이날 첫 회의부터 진영 복지부 장관과 일부 위원이 이견을 드러내는 등 위원회의 앞날은 험난할 것으로 전망된다.

그러나	그러나/MAJ
이날	이날/NNG
첫	첫/MMN
회의부터	회의/NNG+부터/JX
진영	진영/NNP
복지부	복지부/NNG
장관과	장관/NNG+과/JC
일부	일부/NNG
위원이	위원/NNG+이/JKS
이견을	이견/NNG+을/JKO
드러내는	드러내/VV+는/ETM
등	등/NNB
위원회의	위원회/NNG+의/JKG
앞날은	앞날/NNG+은/JX
험난할	험난하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.211.9.2
진영 장관은 회의 전 인삿말을 통해 “대통령직인수위에서 나온 기본골격에 대해 구체적인 시행계획과 실천방안을 만들어달라”고 당부했다.

진영	진영/NNP
장관은	장관/NNG+은/JX
회의	회의/NNG
전	전/MMD
인삿말을	인삿말/NNG+을/JKO
통해	통하/VV+아/EC
“대통령직인수위에서	“/SS+대통령직/NNG+인수위/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
기본골격에	기본/NNG+골격/NNG+에/JKB
대해	대하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
시행계획과	시행/NNG+계획/NNG+과/JC
실천방안을	실천/NNG+방안/NNG+을/JKO
만들어달라”고	만들/VV+어/EC+달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.211.9.3
반면 위원장인 김상균 서울대 명예교수(사회복지학)은 “장관은 협의를 넘어선 합의기구가 되기를 바라지만, 대단히 힘들 것으로 보인다”고 밝혔다.

반면	반면/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
김상균	김상균/NNP
서울대	서울대/NNP
명예교수(사회복지학)은	명예/NNG+교수/NNG+(/SS+사회/NNG+복지학/NNG+)/SS+은/JX
“장관은	“/SS+장관/NNG+은/JX
협의를	협의/NNG+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
합의기구가	합의/NNG+기구/NNG+가/JKC
되기를	되/VV+기/ETN+를/JKO
바라지만,	바라/VV+지만/EC+,/SP
대단히	대단히/MAG
힘들	힘들/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.211.9.4
상당한 진통을 예고하는 대목이다.

상당한	상당/NNG+하/XSA+ㄴ/ETM
진통을	진통/NNG+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.211.10.1
실제 인수위안을 기본골격으로 해달라는 장관의 당부에도, 회의에 참석한 한 위원은 “‘국민행복연금’이라는 이름부터 ‘행복기금’과 비슷해 혼돈을 준다는 의견이 있다.

실제	실제/MAG
인수위안을	인수위/NNG+안/NNG+을/JKO
기본골격으로	기본/NNG+골격/NNG+으로/JKB
해달라는	하/VV+아/EC+달/VX+라는/ETM
장관의	장관/NNG+의/JKG
당부에도,	당부/NNG+에/JKB+도/JX+,/SP
회의에	회의/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
한	한/MMN
위원은	위원/NNG+은/JX
“‘국민행복연금’이라는	“/SS+‘/SS+국민/NNG+행복/NNG+연금/NNG+’/SS+이/VCP+라는/ETM
이름부터	이름/NNG+부터/JX
‘행복기금’과	‘/SS+행복/NNG+기금/NNG+’/SS+과/JKB
비슷해	비슷하/VA+아/EC
혼돈을	혼돈/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.211.10.2
연금의 이름부터 원점에서 다시 논의해야 될 것 같다”고 말했다.

연금의	연금/NNG+의/JKG
이름부터	이름/NNG+부터/JX
원점에서	원점/NNG+에서/JKB
