# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.309
metadata : {}


# id : NWRW1800000029.309.1.1
[횡설수설] 움직이는 땅

[횡설수설]	[/SS+횡설수설/NNG+]/SS
움직이는	움직이/VV+는/ETM
땅	땅/NNG


# id : NWRW1800000029.309.2.1
“에베레스트여, 너는 자라지 못하지만 나는 자란다.”

“에베레스트여,	“/SS+에베레스트/NNP+여/JKV+,/SP
너는	너/NP+는/JX
자라지	자라/VV+지/EC
못하지만	못하/VX+지만/EC
나는	나/NP+는/JX
자란다.”	자라/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000029.309.2.2
최초로 에베레스트 산에 올랐던 에드먼드 힐러리 경은 평소 이렇게 말하며 세계 최고봉 등정에 의욕을 불태웠다.

최초로	최초/NNG+로/JKB
에베레스트	에베레스트/NNP
산에	산/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
에드먼드	에드먼드/NNP
힐러리	힐러리/NNP
경은	경/NNG+은/JX
평소	평소/NNG
이렇게	이렇/VA+게/EC
말하며	말/NNG+하/XSV+며/EC
세계	세계/NNG
최고봉	최고봉/NNG
등정에	등정/NNG+에/JKB
의욕을	의욕/NNG+을/JKO
불태웠다.	불태우/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.309.2.3
그러나 엄밀히 따지면 힐러리 경의 말은 틀렸다.

그러나	그러나/MAJ
엄밀히	엄밀히/MAG
따지면	따지/VV+면/EC
힐러리	힐러리/NNP
경의	경/NNG+의/JKG
말은	말/NNG+은/JX
틀렸다.	틀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.309.2.4
에베레스트 산이 있는 히말라야 산맥이 매년 조금씩 높아지고 있기 때문이다.

에베레스트	에베레스트/NNP
산이	산/NNG+이/JKS
있는	있/VA+는/ETM
히말라야	히말라야/NNP
산맥이	산맥/NNG+이/JKS
매년	매년/MAG
조금씩	조금/NNG+씩/XSN
높아지고	높아지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.309.2.5
히말라야에 존재하는 석회암층은 과거 이곳이 해저(海底)였음을 말해준다.

히말라야에	히말라야/NNP+에/JKB
존재하는	존재/NNG+하/XSV+는/ETM
석회암층은	석회암/NNG+층/XSN+은/JX
과거	과거/NNG
이곳이	이곳/NP+이/JKS
해저(海底)였음을	해저/NNG+(/SS+海底/SH+)/SS+이/VCP+었/EP+음/ETN+을/JKO
말해준다.	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.309.2.6
지금도 인도 대륙이 북상하면서 히말라야 산맥을 밀어올리고 있다.

지금도	지금/NNG+도/JX
인도	인도/NNP
대륙이	대륙/NNG+이/JKS
북상하면서	북상/NNG+하/XSV+면서/EC
히말라야	히말라야/NNP
산맥을	산맥/NNG+을/JKO
밀어올리고	밀/VV+어/EC+올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.309.3.1
▷지각 판이 움직인다는 사실을 처음 발견한 사람은 독일 기상학자 알프레트 베게너였다.

▷지각	▷/SW+지각/NNG
판이	판/NNG+이/JKS
움직인다는	움직이/VV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
처음	처음/NNG
발견한	발견/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
독일	독일/NNP
기상학자	기상학자/NNG
알프레트	알프레트/NNP
베게너였다.	베게너/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.309.3.2
여러 차례의 그린란드 탐험, 동식물 분포 및 화석 연구를 통해 대륙들이 처음엔 하나의 대륙이었고 그 후 서로 떨어져 지금의 위치로 움직여 갔다는 대륙이동설을 1912년 발표했다.

여러	여러/MMN
차례의	차례/NNG+의/JKG
그린란드	그린란드/NNP
탐험,	탐험/NNG+,/SP
동식물	동식물/NNG
분포	분포/NNG
및	및/MAG
화석	화석/NNG
연구를	연구/NNG+를/JKO
통해	통하/VV+아/EC
대륙들이	대륙/NNG+들/XSN+이/JKS
처음엔	처음/NNG+에/JKB+ㄴ/JX
하나의	하나/NR+의/JKG
대륙이었고	대륙/NNG+이/VCP+었/EP+고/EC
그	그/MMD
후	후/NNG
서로	서로/MAG
떨어져	떨어지/VV+어/EC
지금의	지금/NNG+의/JKG
위치로	위치/NNG+로/JKB
움직여	움직이/VV+어/EC
갔다는	가/VX+았/EP+다는/ETM
대륙이동설을	대륙/NNG+이동설/NNG+을/JKO
1912년	1912/SN+년/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.3.3
다만 어떤 힘이 대륙을 이동시켰는지를 몰랐기에 다른 학자들의 호된 비판을 받았다.

다만	다만/MAG
어떤	어떤/MMD
