# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.224
metadata : {}


# id : NWRW1800000022.224.1.1
조국은 반드시 그대들을 찾는다;DMZ에 묻힌 6·25 전사자 내년부터 유해 발굴 작업

조국은	조국/NNG+은/JX
반드시	반드시/MAG
그대들을	그대/NP+들/XSN+을/JKO
찾는다;DMZ에	찾/VV+는다/EF+;/SW+DMZ/SL+에/JKB
묻힌	묻히/VV+ㄴ/ETM
6·25	6/SN+·/SP+25/SN
전사자	전사자/NNG
내년부터	내년/NNG+부터/JX
유해	유해/NNG
발굴	발굴/NNG
작업	작업/NNG


# id : NWRW1800000022.224.2.1
6·25전쟁 60주년을 맞는 내년부터는 비무장지대(DMZ)에 묻혀 있는 전사자 유해 발굴에 들어가고 남북한 지역 유해 소재 지도를 만드는 등 유해 발굴 사업이 확대될 전망이다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
60주년을	60/SN+주년/NNB+을/JKO
맞는	맞/VV+는/ETM
내년부터는	내년/NNG+부터/JX+는/JX
비무장지대(DMZ)에	비/XPN+무장/NNG+지대/NNG+(/SS+DMZ/SL+)/SS+에/JKB
묻혀	묻히/VV+어/EC
있는	있/VX+는/ETM
전사자	전사자/NNG
유해	유해/NNG
발굴에	발굴/NNG+에/JKB
들어가고	들어가/VV+고/EC
남북한	남북한/NNP
지역	지역/NNG
소재	소재/NNG
지도를	지도/NNG+를/JKO
만드는	만들/VV+는/ETM
등	등/NNB
발굴	발굴/NNG
사업이	사업/NNG+이/JKS
확대될	확대/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.224.3.1
국방부 유해발굴감식단은 6·25 59주년을 맞아 24일 이같이 밝히고 "전국 산야(山野)에 흩어져 있는 전사자 유해를 찾을 수 있도록 지역 주민들이 적극적으로 제보하고 참여해달라"고 당부했다.

국방부	국방부/NNG
유해발굴감식단은	유해/NNG+발굴/NNG+감식단/NNG+은/JX
6·25	6/SN+·/SP+25/SN
59주년을	59/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
24일	24/SN+일/NNB
이같이	이/NP+같이/JKB
밝히고	밝히/VV+고/EC
"전국	"/SS+전국/NNG
산야(山野)에	산야/NNG+(/SS+山野/SH+)/SS+에/JKB
흩어져	흩어지/VV+어/EC
있는	있/VX+는/ETM
전사자	전사자/NNG
유해를	유해/NNG+를/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
지역	지역/NNG
주민들이	주민/NNG+들/XSN+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
제보하고	제보/NNG+하/XSV+고/EC
참여해달라"고	참여/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.224.4.1
현재 6·25전쟁으로 숨진 국군이 13만8000여명, 실종자는 2만여명이다.

현재	현재/MAG
6·25전쟁으로	6/SN+·/SP+25/SN+전쟁/NNG+으로/JKB
숨진	숨지/VV+ㄴ/ETM
국군이	국군/NNG+이/JKS
13만8000여명,	13/SN+만/NR+8000/SN+여/XSN+명/NNB+,/SP
실종자는	실종자/NNG+는/JX
2만여명이다.	2/SN+만/NR+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.224.4.2
이 중 국립묘지에 묻힌 2만8000여명을 제외하고 아직 시신을 찾지 못한 군인이 13만여명에 달한다.

이	이/NP
중	중/NNB
국립묘지에	국립묘지/NNG+에/JKB
묻힌	묻히/VV+ㄴ/ETM
2만8000여명을	2/SN+만/NR+8000/SN+여/XSN+명/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
아직	아직/MAG
시신을	시신/NNG+을/JKO
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
군인이	군인/NNG+이/JKS
13만여명에	13/SN+만/NR+여/XSN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.224.4.3
이 중 남한지역에 7만8000여명, 북한에 3만9000여명, DMZ에 1만3000여명이 묻혀 있는 것으로 발굴단은 추정하고 있다.

이	이/NP
중	중/NNB
남한지역에	남한/NNP+지역/NNG+에/JKB
7만8000여명,	7/SN+만/NR+8000/SN+여/XSN+명/NNB+,/SP
북한에	북한/NNP+에/JKB
3만9000여명,	3/SN+만/NR+9000/SN+여/XSN+명/NNB+,/SP
DMZ에	DMZ/SL+에/JKB
1만3000여명이	1/SN+만/NR+3000/SN+여/XSN+명/NNB+이/JKS
묻혀	묻히/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
발굴단은	발굴단/NNG+은/JX
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.224.4.4
유해발굴 사업은 지난 2000년 6·25 50주년을 맞아 시작했고 지금까지 국군 전사자 유해 3034구를 찾았다.

유해발굴	유해/NNG+발굴/NNG
사업은	사업/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
6·25	6/SN+·/SP+25/SN
50주년을	50/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
시작했고	시작/NNG+하/XSV+았/EP+고/EC
지금까지	지금/NNG+까지/JX
국군	국군/NNG
전사자	전사자/NNG
유해	유해/NNG
3034구를	3034/SN+구/NNB+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.224.4.5
전체 중 2% 정도이며 그나마 이 중 신원이 확인된 경우는 46명에 불과하다.

전체	전체/NNG
중	중/NNB
2%	2/SN+%/SW
정도이며	정도/NNG+이/VCP+며/EC
그나마	그나마/MAG
이	이/NP
신원이	신원/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
46명에	46/SN+명/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000022.224.4.6
신원 확인 작업을 서두르기 위해 유가족 9247명이 피를 뽑기도 했지만 여전히 속도는 더디다.

신원	신원/NNG
확인	확인/NNG
작업을	작업/NNG+을/JKO
서두르기	서두르/VV+기/ETN
위해	위하/VV+아/EC
유가족	유가족/NNG
9247명이	9247/SN+명/NNB+이/JKS
피를	피/NNG+를/JKO
뽑기도	뽑/VV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
여전히	여전히/MAG
속도는	속도/NNG+는/JX
더디다.	더디/VA+다/EF+./SF


# id : NWRW1800000022.224.5.1
발굴 과정도 유해가 훼손될 우려가 있어 굴착기를 쓰지 못하고 해당 지역을 일일이 삽으로 파야 하는 탓에 속도를 낼 수 없다는 어려움이 있다.

발굴	발굴/NNG
과정도	과정/NNG+도/JX
유해가	유해/NNG+가/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있어	있/VA+어/EC
굴착기를	굴착기/NNG+를/JKO
쓰지	쓰/VV+지/EC
못하고	못하/VX+고/EC
해당	해당/NNG
지역을	지역/NNG+을/JKO
일일이	일일이/MAG
삽으로	삽/NNG+으로/JKB
파야	파/VV+아야/EC
하는	하/VX+는/ETM
탓에	탓/NNG+에/JKB
속도를	속도/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
어려움이	어려움/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.224.6.1
발굴단은 내년부터 시작하는 DMZ 유해 발굴에 큰 기대를 걸고 있다.

발굴단은	발굴단/NNG+은/JX
내년부터	내년/NNG+부터/JX
시작하는	시작/NNG+하/XSV+는/ETM
DMZ	DMZ/SL
유해	유해/NNG
발굴에	발굴/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.224.6.2
다른 지역에 비해 인위적 훼손이 적기 때문에 전쟁 당시 기록과 제보만 잘 뒷받침되면 유해를 좀 더 쉽게 찾을 수 있을 것으로 보고 있다.

다른	다른/MMD
지역에	지역/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
인위적	인위/NNG+적/XSN
훼손이	훼손/NNG+이/JKS
적기	적/VA+기/ETN
때문에	때문/NNB+에/JKB
전쟁	전쟁/NNG
당시	당시/NNG
기록과	기록/NNG+과/JC
제보만	제보/NNG+만/JX
잘	잘/MAG
뒷받침되면	뒷받침/NNG+되/XSV+면/EC
유해를	유해/NNG+를/JKO
좀	좀/MAG
더	더/MAG
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.224.6.3
현재 다른 지역은 개발에 따른 지형 변화와 현장 훼손이 심해 증언이 있어도 유해가 좀처럼 발견되지 않기 때문이다.

현재	현재/MAG
다른	다른/MMD
지역은	지역/NNG+은/JX
개발에	개발/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지형	지형/NNG
변화와	변화/NNG+와/JC
현장	현장/NNG
훼손이	훼손/NNG+이/JKS
심해	심하/VA+아/EC
증언이	증언/NNG+이/JKS
있어도	있/VA+어도/EC
유해가	유해/NNG+가/JKS
좀처럼	좀처럼/MAG
발견되지	발견/NNG+되/XSV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.224.6.4
DMZ 유해 발굴을 위해서는 유엔군사령부와 북한측의 도움이 필요하다.

DMZ	DMZ/SL
유해	유해/NNG
발굴을	발굴/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
유엔군사령부와	유엔군/NNG+사령부/NNG+와/JC
북한측의	북한/NNP+측/NNB+의/JKG
도움이	도움/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.224.6.5
DMZ 출입 승인 권한은 유엔사에 있고, 발굴 작업 도중 북한군과 마찰을 피하려면 미리 양해를 구해야 하기 때문이다.

DMZ	DMZ/SL
출입	출입/NNG
승인	승인/NNG
권한은	권한/NNG+은/JX
유엔사에	유엔사/NNP+에/JKB
있고,	있/VA+고/EC+,/SP
발굴	발굴/NNG
작업	작업/NNG
도중	도중/NNG
북한군과	북한군/NNG+과/JKB
마찰을	마찰/NNG+을/JKO
피하려면	피하/VV+려면/EC
미리	미리/MAG
양해를	양해/NNG+를/JKO
구해야	구하/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.224.7.1
국방부 대변인실은 "DMZ의 경우, 지뢰를 제거하고 현장을 보전하면서 작업을 해야 하는 어려움이 있긴 하지만 다른 지역보다 유해 발굴 성과가 높을 것으로 본다"고 말했다.

국방부	국방부/NNG
대변인실은	대변인실/NNG+은/JX
"DMZ의	"/SS+DMZ/SL+의/JKG
경우,	경우/NNG+,/SP
지뢰를	지뢰/NNG+를/JKO
제거하고	제거/NNG+하/XSV+고/EC
현장을	현장/NNG+을/JKO
보전하면서	보전/NNG+하/XSV+면서/EC
작업을	작업/NNG+을/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
어려움이	어려움/NNG+이/JKS
있긴	있/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
다른	다른/MMD
지역보다	지역/NNG+보다/JKB
유해	유해/NNG
발굴	발굴/NNG
성과가	성과/NNG+가/JKS
높을	높/VA+을/ETM
것으로	것/NNB+으로/JKB
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.224.8.1
국방부는 전사(戰史) 자료를 통해 남북한 지역 유해 소재 세부 지도를 만들고 있다.

국방부는	국방부/NNG+는/JX
전사(戰史)	전사/NNG+(/SS+戰史/SH+)/SS
자료를	자료/NNG+를/JKO
통해	통하/VV+아/EC
남북한	남북한/NNP
지역	지역/NNG
유해	유해/NNG
소재	소재/NNG
세부	세부/NNG
지도를	지도/NNG+를/JKO
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.224.8.2
올해 남한 지역과 DMZ에 이어 2010년 북한 지역 유해 매장지에 대한 지도를 펴낼 예정이다.

올해	올해/NNG
남한	남한/NNP
지역과	지역/NNG+과/JC
DMZ에	DMZ/SL+에/JKB
이어	잇/VV+어/EC
2010년	2010/SN+년/NNB
북한	북한/NNP
지역	지역/NNG
유해	유해/NNG
매장지에	매장지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
